"FdLgthConversionEqID","LkupSpeciesID","FdLgthCoversionEq"
"348","91","SL= -9.74 + 0.84TL (r^2= 0.99 SE=1.92)"
"349","91","TL= 1.76 + 1.01FL (r^2= 0.998 SE=1.3)"
"350","91","TL= 13.51 + 1.182SL (r^2= 0.99 SE=2.82)"
"351","49","FL=-11.487 x TL (1.002); SE:1.204"
"352","49","SL=-6.478 x TL (0.876); SE:0.841"
"353","49","TL=12.395 x FL (0.990); SE:1.196"
"354","49","TL=8.031 x SL (1.135); SE:0.957"
"355","48","FL=3.476 x TL (0.864); SE:1.040"
"356","48","SL=0.966 x TL (0.823); SE:1.814"
"357","48","TL=0.516 x SL (1.190); SE:2.181"
"358","48","TL=-3.494 x FL (1.150); SE:1.199"
"359","16","ratio of DW to TL is 1:1.75"
