"FdSexParameterID","FdGrowthParameterID","VLSexType","FdLinf","FdLinfSE","FdK","FdKSE","FdTzero","FdTzeroSE","FdParameterRsquared"
"354","447","Both","72","","8","0.1","0.03","-1.89","1.08"
"355","448","Male","49.7","","1.5","0.237","0.04","0.139","0.581"
"356","448","Female","50.6","","2.7","0.26","0.072","0.769","0.831"
"358","449","Male","48.4","","2.2","0.23","0.039","-0.03","0.3876"
"359","449","Female","47.2","","1.2","0.307","0.039","0.524","0.259"
"361","450","Male","64.7","","2.2","0.275","0.071","4.87","0.862"
"362","450","Female","69.5","","4.8","0.138","0.044","2.295","1.572"
"366","451","Both","72.8","","","0.023","","",""
"367","452","Male","51.9","","","0.167","","-1.84",""
"368","452","Female","58.2","","","0.143","","-1.46",""
"369","452","Both","53.4","","","0.182","","-0.71",""
"371","455","Male","43.2","","","","","",""
"372","455","Female","49","","","","","",""
"374","456","Male","51.9","","","0.212","","-0.064",""
"375","456","Female","56.8","","","0.192","","0.169",""
"377","457","Male","52.1","","","0.168","","-1.66",""
"378","457","Female","58.6","","","0.137","","-1.62",""
"379","457","Both","53.5","","","0.177","","-0.87",""
"383","459","Both","133.8","","","0.151","","-1.309",""
"386","460","Both","120.7","","","0.523","","-0.424",""
"387","461","Male","31.22","","","0.366","","-0.827",""
"388","461","Female","43.22","","","0.253","","-0.675",""
"395","463","Both","12.91","","","0.136","","-1.9",""
"398","464","Both","12.87","","0.285","0.063","0.003","-0.038","0.023"
"401","465","Both","22.5","","0.093","0.39","0.001","-0.705","0.008"
"404","466","Both","17.37","","0.031","0.538","0.001","-0.257","0.011"
"407","467","Both","20.2","","0.056","0.425","0.001","-0.782","0.003"
"410","468","Both","35.13","","","0.108","","-6.99",""
"411","469","Male","19.9","","","0.28","","-0.28",""
"412","469","Female","21.5","","","0.21","","-0.72",""
"416","471","Male","28.1","","","","","",""
"417","471","Female","33.9","","","","","",""
"421","472","Both","102.25","","1.71","0.249","0.014","-0.769","0.941"
"422","473","Male","38.06","","1.68","0.094","0.014","-1.065","0.712"
"423","473","Female","45","","2.87","0.087","0.009","-3.107","0.822"
"425","474","Male","29.65","","0.55","0.121","0.009","-2.732","0.334"
"426","474","Female","37.26","","0.66","0.098","0.006","-2.36","0.288"
"428","475","Male","24.71","","10.77","0.063","0.082","-10.329","8.66"
"429","475","Female","25.25","","0.43","0.176","0.021","-3.358","0.708"
"431","476","Male","35.86","","2.6","0.06","0.018","-10.247","3.16"
"432","476","Female","49.99","","2.08","0.053","0.007","-4.936","1.031"
"434","477","Male","56.11","","1.77","0.058","0.004","-2.103","0.23"
"435","477","Female","57.99","","2.58","0.053","0.006","-2.468","0.429"
"437","478","Male","17.38","","5.81","0.186","0.194","-3.782","2.526"
"438","478","Female","33.05","","1.68","0.064","0.007","-4.634","0.433"
"440","479","Male","14.62","","0.15","0.15","0.037","-1.458","0.182"
"441","479","Female","18.14","","0.22","0.22","0.03","-1.368","0.176"
"443","480","Male","36.3","","1.6","0.12","0.02","-3.86","0.68"
"444","480","Female","44.3","","1.57","0.13","0.02","-1.9","0.42"
"446","481","Male","59.17","","0.29","0.033","0.03","-8.66","1.3"
"447","481","Female","60.72","","0.23","0.037","0.02","-7.54","1.1"
"451","482","Both","69.8","","3.76","0.06","0.008","-3.5","0.48"
"454","483","Both","66.2","","5.08","0.08","0.014","2.63","0.63"
"461","486","Male","53.5","","23","0.196","0.037","-0.153",""
"462","486","Female","62.2","","41.4","0.134","0.025","-0.845",""
"464","487","Male","97.3","","","0.07","","-4.5",""
"465","487","Female","128.5","","","0.036","","-6.9",""
"468","488","Female","114.94","","","0.044","","-3.557",""
"470","489","Male","1137.43","","","0.122","","0.1",""
"471","489","Female","1417.42","","","0.119","","0.38",""
"472","489","Both","1217.51","","","0.141","","0.407",""
"473","490","Male","52.8","","","0.162","","-1.66",""
"474","490","Female","61.6","","","0.111","","-2.56",""
"475","490","Both","53.9","","","0.168","","-1.16",""
"478","491","Both","46","","","0.071","","-22",""
"479","492","Male","49.47","","","0.132","","-4.32",""
"480","492","Female","52.93","","","0.132","","-3.22",""
"482","493","Male","50.94","","","0.143","","-5.04",""
