"FdGroupName","FdFamilyName","FdSciName","FdCommonName"
"Elasmobranchs ","Triakidae","Triakis semifasciata","leopard shark"
"Elasmobranchs ","Triakidae","Galeorhinus zyopterus","soupfin shark"
"Embiotocidae","Embiotocidae","Amphistichus argenteus","barred surfperch"
"Embiotocidae","Embiotocidae","Embiotoca jacksoni","black surfperch"
"Embiotocidae","Embiotocidae","Amphistichus koelzi","calico surfperch"
"Embiotocidae","Embiotocidae","Damalichthys vacca","pile surfperch"
"Embiotocidae","Embiotocidae","Amphistichus rhodoterus","redtail surfperch"
"Embiotocidae","Embiotocidae","Rhacochilus toxotes","rubberlip surfperch"
"Embiotocidae","Embiotocidae","Cymatogaster aggregata","shiner surfperch"
"Embiotocidae","Embiotocidae","Embiotoca lateralis","striped surfperch"
"Embiotocidae","Embiotocidae","Hyperprosopon argenteum","walleye surfperch"
"Embiotocidae","Embiotocidae","Phanerodon furcatus","white surfperch"
"Embiotocidae","Embiotocidae","Hyperprosopon ellipticum","silver surfperch"
"Embiotocidae","Embiotocidae","Hypsurus caryi","rainbow surfperch"
"Flatfish ","Bothidae","Paralichthys californicus","California halibut"
"Flatfish ","Bothidae","Citharichthys sordidus","Pacific sanddab"
"Flatfish ","Bothidae","Citharichthys stigmaeus","speckled sanddab"
"Flatfish ","Cynoglossidae","Symphurus atricauda","California tonguefish"
"Flatfish ","Pleuronectidae","Pleuronichthys coenosus","C-O turbot"
"Flatfish ","Pleuronectidae","Pleuronichthys decurrens","curlfin turbot"
"Flatfish ","Pleuronectidae","Hypsopsetta guttulata","diamond turbot"
"Flatfish ","Pleuronectidae","Parophrys vetulus","English sole"
"Flatfish ","Pleuronectidae","Pleuronichthys verticalis","hornyhead turbot"
"Flatfish ","Pleuronectidae","Eopsetta jordani","petrale sole"
"Flatfish ","Pleuronectidae","Lepidopsetta bilineata","rock sole"
"Flatfish ","Pleuronectidae","Psettichthys melanostictus","sand sole"
"Flatfish ","Pleuronectidae","Lyopsetta exilis","slender sole"
"Flatfish ","Pleuronectidae","Pleuronichthys ritteri","spotted turbot"
"Flatfish ","Pleuronectidae","Platichthys stellatus","starry flounder"
"Gobiidae","Gobiidae","Lythrypnus dalli","bluebanded goby"
"Gobiidae","Gobiidae","Gillichthys mirabilis","longjaw mudsucker"
"Gobiidae","Gobiidae","Lythrypnus zebra","zebra goby"
"Haemulidae","Haemulidae","Xenistius californiensis","salema"
"Haemulidae","Haemulidae","Anisotremus davidsoni","sargo"
"Hexagrammidae","Hexagrammidae","Ophiodon elongatus","lingcod"
"Hexagrammidae","Hexagrammidae","Hexagrammos decagrammus","kelp greenling"
"Hexagrammidae","Hexagrammidae","Hexagrammos superciliosus","rock greenling"
"Kyphosidae","Kyphosidae","Hermosilla azurea","zebra perch"
"Labridae","Labridae","Oxyjulis californica","senorita"
"Labridae","Labridae","Semicossyphus pulcher","California sheephead"
"Labridae","Labridae","Halichoeres semicinctus","rock wrasse"
"Malacanthidae","Malacanthidae","Caulolatilus princeps","ocean whitefish"
"Mugilidae ","Mugilidae","Mugil cephalus","striped mullet"
"Muraenidae","Muraenidae","Gymnothorax mordax","California moray eel"
"Osmeridae","Osmeridae","Thaleichthys pacificus","eulachon"
"Osmeridae","Osmeridae","Spirinchus thaleichthys","longfin smelt"
"Osmeridae","Osmeridae","Spirinchus starksi","night smelt"
"Osmeridae","Osmeridae","Hypomesus pretiosus","surf smelt"
"Pomacentridae","Pomacentridae","Chromis punctipinnis","blacksmith"
"Pomacentridae","Pomacentridae","Hypsypops rubicundus","garibaldi"
"Sciaenidae","Sciaenidae","Seriphus politus","queenfish"
"Sciaenidae","Sciaenidae","Atractoscion nobilis","white sea bass"
"Sciaenidae","Sciaenidae","Menticirrhus undulatus","California corbina"
"Sciaenidae","Sciaenidae","Roncador stearnsii","spotfin croaker"
"Sciaenidae","Sciaenidae","Genyonemus lineatus","white croaker"
"Sciaenidae","Sciaenidae","Umbrina roncador","yellowfin croaker"
"Scorpaenidae","Scorpaenidae","Sebastes melanops","black rockfish"
"Scorpaenidae","Scorpaenidae","Sebastes chrysomelas","black-and-yellow rockfish"
"Scorpaenidae","Scorpaenidae","Sebastes mystinus","blue rockfish"
"Scorpaenidae","Scorpaenidae","Sebastes auriculatus","brown rockfish"
"Scorpaenidae","Scorpaenidae","Sebastes dallii","calico rockfish"
"Scorpaenidae","Scorpaenidae","Sebastes nebulosus","China rockfish"
"Scorpaenidae","Scorpaenidae","Sebastes caurinus","copper rockfish"
"Scorpaenidae","Scorpaenidae","Sebastes rubrivinctus","flag rockfish"
"Scorpaenidae","Scorpaenidae","Sebastes carnatus","gopher rockfish"
"Scorpaenidae","Scorpaenidae","Sebastes rastrelliger","grass rockfish"
"Scorpaenidae","Scorpaenidae","Sebastes chlorostictus","greenspotted rockfish"
"Scorpaenidae","Scorpaenidae","Sebastes elongatus","greenstriped rockfish"
"Scorpaenidae","Scorpaenidae","Sebastes semicinctus","halfbanded rockfish"
"Scorpaenidae","Scorpaenidae","Sebastes atrovirens","kelp rockfish"
"Scorpaenidae","Scorpaenidae","Sebastolobus altivelis","longspine thornyhead"
"Scorpaenidae","Scorpaenidae","Sebastes serranoides","olive rockfish"
"Scorpaenidae","Scorpaenidae","Sebastes maliger","quillback rockfish"
"Scorpaenidae","Scorpaenidae","Sebastes rosaceus","rosy rockfish"
"Scorpaenidae","Scorpaenidae","Sebastolobus alascanus","shortspine thornyhead"
"Scorpaenidae","Scorpaenidae","Sebastes ovalis","speckled rockfish"
"Scorpaenidae","Scorpaenidae","Scorpaena guttata","spotted scorpionfish"
"Scorpaenidae","Scorpaenidae","Sebastes hopkinsi","squarespot rockfish"
"Scorpaenidae","Scorpaenidae","Sebastes constellatus","starry rockfish"
"Scorpaenidae","Scorpaenidae","Sebastes saxicola","stripetail rockfish"
"Scorpaenidae","Scorpaenidae","Sebastes nigrocinctus","tiger rockfish"
"Scorpaenidae","Scorpaenidae","Sebastes serriceps","treefish rockfish"
"Scorpaenidae","Scorpaenidae","Sebastes miniatus","vermilion rockfish"
"Scorpaenidae","Scorpaenidae","Sebastes ruberrimus","yelloweye rockfish"
"Scorpaenidae","Scorpaenidae","Sebastes rosenblatti","greenblotched rockfish"
"Scorpaenidae","Scorpaenidae","Sebastes helvomaculatus","rosethorn rockfish"
"Scorpaenidae","Scorpaenidae","Sebastes pinniger","canary rockfish"
"Scorpaenidae","Scorpaenidae","Sebastes proriger","redstripe rockfish"
"Serranidae","Serranidae","Paralabrax nebulifer","barred sand bass"
"Serranidae","Serranidae","Stereolepis gigas","giant sea bass"
"Serranidae","Serranidae","Paralabrax clathratus","kelp bass"
"Serranidae","Serranidae","Paralabrax maculatofasciatus","spottedsand bass"
"Sphyraenidae","Sphyraenidae","Sphyraena argentea","California barracuda"
"Stichaeidae","Stichaeidae","Cebidichthys violaceus","monkeyface eel"
"Stichaeidae","Stichaeidae","Xiphister mucosus","rock prickleback"
"Stromateidae ","Stromateidae","Peprilus simillimus","Pacific butterfish"
"Syngnathidae","Syngnathidae","Syngnathus leptorhynchus","bay pipefish"
"Syngnathidae","Syngnathidae","Syngnathus californiensis","kelp pipefish"
"Syngnathidae","Syngnathidae","Hippocampus ingens","Pacific seahorse"
"Kyphosidae","Girellidae","Girella nigricans","opaleye"
"Kyphosidae","Scorpididae","Medialuna californiensis","halfmoon"
