"FdMaturitySexID","FdMaturityID","VLSexType","FdLgthFirstMaturity","FdAgeFirstMaturity","FdLgth50%Maturity","FdAge50%Maturity"
"60","1751","Male","","at birth","","at birth"
"61","1752","Female","","2","","2"
"62","1752","Male","","at birth","","at birth"
"63","1753","Female","<5","<1","<5","<1"
"64","1753","Male","5","<1","5","<1"
"65","1754","Unspecified","9.2","","13.2",""
"66","1755","Female","","2","","2"
"67","1755","Male","","at birth","","at birth"
"68","1756","Female","","at birth","","at birth"
"69","1756","Male","","at birth","","at birth"
"70","1757","Female","","","","1"
"71","1758","Female","","1","",""
"72","1758","Male","","at birth","","at birth"
"73","1759","Male","","","32.8",""
"74","1760","Female","","","","4"
"75","1761","Female","","2","","3"
"76","1761","Male","","2?","",""
"77","1762","Unspecified","14.6","","23.4",""
"78","1763","Male","","1","",""
"79","1763","Female","12.1","1","",""
"80","1764","Female","","","","2"
"81","1765","Female","","1","","2"
"82","1766","Female","12.7","1","",""
"83","1766","Male","12.7","1","",""
"84","1767","Female","14.6","2","",""
"85","1768","Female","23 to 25","2","","3"
"86","1768","Male","23 to 25","2","","3"
"87","1769","Male","","","28.6",""
"88","1770","Female","","","","3"
"89","1771","Male","","2","","3"
"90","1771","Female","","3","","3"
"91","1772","Male","","","38","7"
"92","1772","Female","","","43","8"
"93","1773","Male","29","","36",""
"94","1773","Female","31","","40",""
"95","1774","Male","29.7","3","40.6","7"
"96","1774","Female","31.8","4","",""
"97","1775","Male","","","36 to 37","7"
"98","1775","Female","","","40 to 44","8"
"99","1776","Female","32","5","",""
"100","1777","Male","32","4","",""
"101","1777","Female","35","5","",""
"102","1778","Female","","","35.5",""
"103","1778","Male","","","35.5",""
"104","1779","Male","32","","38","7"
"105","1779","Female","35","","44","8"
"106","1780","Male","135","","~140",""
"107","1780","Female","150","","~155",""
"108","1781","Male","122 to 171","8","",""
"109","1781","Female","131 to 186","11","",""
"110","1782","Male","140","","",""
"111","1782","Female","155","","",""
"112","1783","Female",">152","","",""
"113","1783","Male","~152","","",""
"114","1784","Male","12","<1","14","1"
"115","1784","Female","13","<1","15","1"
"116","1785","Unspecified","13 to 15","","",""
"117","1786","Male","","","14","1"
"118","1786","Female","","","15.2","1"
"119","1787","Unspecified","14.7 to 16.4","3 to 4","",""
"120","1788","Female","5 to 8","2","",""
"121","1788","Male","5 to 8","2","",""
"122","1789","Unspecified","20 to 23","2 to 3","",""
"123","1791","Female","","2 to 3","",""
"124","1792","Female","","2","",""
"125","1792","Male","","5","",""
"126","1793","Male","22.0 to 31.3","4 to 6","",""
"127","1793","Female","28.7 to 38.5","4 to 6","",""
"128","1795","Female",">58","","",""
"129","1795","Male","58 to 71","","",""
"130","1796","Female","61","","",""
"131","1796","Male","61","","",""
"132","1797","Female","18.6","1 to 1.5","",""
"133","1797","Male","18.6","1 to 1.5","",""
"134","1798","Female","","2","",""
"135","1798","Male","","2","",""
"136","1799","Male","","","29.5","3 to 4"
"137","1799","Female","31.6","","29.5","3 to 4"
"138","1800","Female","","","","67% mature at age 3"
"139","1800","Male","","","","33% mature at age 2"
"140","1801","Female","29 to 35","3 to 4","29 to 35","3 to 4"
"141","1801","Male","29 to 35","3 to 4","29 to 35","3 to 4"
"142","1802","Male","309 to 331","","",""
"143","1803","Male","421","","",""
"144","1804","Male","335","","",""
"145","1804","Female","427","","",""
"146","1806","Male","20","","",""
"147","1806","Female","25","","",""
"148","1807","Male","6.5 to 9.5","<1","6.5 to 9.5","<1"
"149","1807","Female","9.5","<1","9.5","<1"
"150","1808","Male","","","20.6",""
"151","1809","Female","","","","1"
"152","1810","Female","11.4","1","",""
"153","1810","Male","11.4","1","",""
"154","1811","Male","14.1","1","14.1","1"
"155","1811","Female","17.1","2","17.1","2"
"156","1812","Unspecified","16.5","","19.7",""
"157","1813","Female","","","","2"
"158","1814","Male","15.2","1","",""
"159","1814","Female","17.8","2","",""
"160","1815","Female","","1 to 2","",""
"161","1816","Female","","1 to 2","",""
"162","1816","Male","","1 to 2","",""
"163","1817","Female","","1 to 2","",""
"164","1817","Male","","1 to 2","",""
"165","1818","Male","9","1","",""
"166","1819","Female","16.5","2 to 3","",""
"167","1820","Female","18","2 to 3","",""
"168","1821","Unspecified","13.1","","19.7",""
"169","1822","Female","13.1","","",""
"170","1823","Unspecified","20.3","3","20.3","3"
"171","1824","Unspecified","","5","",""
"172","1825","Male","21.7","6","",""
"173","1825","Female","21.8","6","",""
"174","1826","Male","21","4","",""
"175","1826","Female","25","5","",""
"176","1827","Male","","2","",""
"177","1827","Female","","3 to 4","",""
"178","1828","Male","28","4","",""
"179","1828","Female","31","4","",""
"180","1829","Female","","","<30","~4"
"181","1829","Male","","","32 to 33","4 to 5"
"182","1830","Female","12.8 to 15.3","1","",""
"183","1831","Female","12.0 to 12.2","1","",""
"184","1831","Male","12.0 to 12.2","1","",""
"185","1832","Female","","1","",""
"186","1832","Male","","1","",""
"187","1833","Female","","2","",""
"188","1833","Male","","2","",""
"189","1834","Male","","","14",""
"190","1834","Female","","","16",""
"191","1835","Male","","2 to 3","",""
"192","1835","Female","","3 to 5","",""
"193","1836","Female","1.63 to 2.09","","",""
"195","1837","Female","1.9","","",""
"196","1838","Female","1.94 to 2.16","","",""
"197","1839","Unspecified","19","2","",""
"198","1840","Unspecified","23","","",""
"199","1841","Male","","","25","2"
"200","1841","Female","","","33","3"
"201","1842","Female","23 to 35","2 to 3","",""
"202","1842","Male","23 to 35","2 to 3","",""
"203","1843","Male","23.6","2","",""
"204","1843","Female","25.5","3","",""
"205","1844","Female","31 to 37","6 to 8","",""
"206","1844","Male","31 to 37","6 to 8","",""
"207","1845","Female","23.5","2","",""
"208","1845","Male","23.5","2","",""
"209","1846","Female","","3","",""
"210","1846","Male","","3","",""
"211","1847","Male","40","5","",""
"212","1847","Female","41.5","5","",""
"213","1848","Male","23 to 29","3","",""
"214","1848","Female","24 to 31","3","",""
"215","1849","Male","33","1","",""
"216","1849","Female","35","1","",""
"217","1850","Male","33","2","",""
"218","1850","Female","35","2","",""
"219","1851","Female","30 to 34","3","",""
"220","1851","Male","30 to 34","3","",""
"221","1852","Female","31 to 35","3","",""
"222","1852","Male","31 to 35","3","",""
"223","1853","Male","32","3","",""
"224","1853","Female","35","3","",""
"225","1854","Female","25.8","3","",""
"226","1854","Male","26.3","3","",""
"227","1855","Male","58 to 64","1 to 2","",""
"228","1855","Female","70","2 to 3","",""
"229","1856","Female","87.5","","",""
"230","1857","Female","51 to 63.","2 to 3","",""
"231","1857","Male","52 to 66.","3","",""
"232","1858","Female","67","","",""
"233","1859","Female","61","","",""
"234","1859","Male","61","","",""
"235","1860","Female","","","88.1","5"
"236","1860","Male","45.0 to 62.2","2 to 3","",""
"237","1861","Female","105","","",""
"239","1862","Male","61","","",""
"240","1862","Female","91","","",""
"241","1863","Male","132","","",""
"242","1864","Male","140","","",""
"243","1864","Female","218","","",""
"244","1865","Female","66","3","",""
"245","1865","Male","66","3","",""
"246","1866","Female","58.4","3","",""
"247","1866","Male","58.4","3","",""
"248","1867","Male","50","2","",""
"249","1867","Female","80","7","61 to 75","3 to 5"
"250","1868","Male","52","","",""
"251","1868","Female","77","","",""
"252","1869","Male","39","2","46.1","3.2"
"253","1869","Female","43.7","2","55.7","3.8"
"254","1870","Female","","","83",""
"255","1871","Male","","","57.1","3.5"
"256","1871","Female","","","63.6","3.9"
"257","1872","Male","","","62.8","5"
"258","1872","Female","","","67.5","4.5"
"259","1873","Male","","","51.3","3.4"
"260","1873","Female","","","63.4","4.6"
"261","1874","Male","60","3","60","4"
"262","1874","Female","68","3","76","5"
"263","1875","Male","","all males examined were mature and resting","","all males examined were mature and resting"
"264","1875","Female","60","","65",""
"265","1875","Female","63","","69",""
"266","1876","Male","46","2","",""
"267","1876","Female","70","5","",""
"268","1877","Female","~60","","70",""
"269","1877","Male","<51","","<51",""
"270","1878","Male","39","2","","2"
"271","1878","Female","51","3","","~5"
"272","1879","Unspecified","14","1","",""
"273","1880","Unspecified","18 to 23","2","",""
"274","1881","Male","18","2","22","2.5"
"275","1881","Female","18","2","22.6","3"
"276","1882","Female","18","2 or 3","",""
"277","1882","Male","18","2 or 3","",""
"278","1883","Male","15","","",""
"279","1883","Female","16","","",""
"280","1884","Female","25","","",""
"281","1884","Male","25","","",""
"282","1885","Female","22.5","","25",""
"283","1885","Male","22.5","","25",""
"284","1886","Unspecified","17.8","2","",""
"285","1887","Female","15","<1","15","1.5"
"286","1887","Male","18","1.4","18","1.4"
"287","1888","Male","19","1","21.9","2.5"
"288","1888","Female","21","1","23.9","3"
"289","1889","Female","25.4","3 to 4","",""
"290","1889","Male","25.4","3 to 4","",""
"291","1890","Female","25","","",""
"292","1890","Male","25","","",""
"293","1891","Female","","","47.1","3 to 4"
"294","1891","Male","","","47.1","3 to 4"
"295","1892","Male","20","2 to 3","",""
"296","1892","Female","37.5","4 to 6","",""
"297","1893","Male","20 to 23","2","",""
"298","1893","Female","43 to 56","3 to 4","",""
"299","1894","Male","","","22.9","2"
"300","1894","Female","","","48.3","4 to 5"
"301","1895","Male","19","1","22.7","1.3"
"302","1895","Female","36","2","47.1","4.3"
"303","1896","Male","21","","26",""
"304","1896","Female","26","","31",""
"305","1897","Male","21","2","",""
"306","1897","Female","26","3","",""
"307","1898","Male","20 to 25","2","",""
"308","1898","Female","25 to 36","3","",""
"309","1899","Male","","2","26",""
"310","1899","Female","","3","29.5",""
"311","1900","Male","25","3","46",""
"312","1900","Female","30","","46",""
"313","1901","Male","","2","",""
"314","1901","Female","","3 to 4","",""
"315","1902","Female","14","","",""
"316","1902","Male","14","","",""
"317","1903","Male","","","25.4",""
"318","1904","Female","","","","2"
"319","1905","Male","22","3","",""
"320","1905","Female","30","4","",""
"321","1906","Male","","","36.8","2 to 3"
"322","1906","Female","","","40.6","3 to 4"
"323","1907","Male","22 to 28","2","",""
"324","1907","Female","24 to 36","3","",""
"325","1912","Male","10","","",""
"326","1912","Female","17","","",""
"327","1913","Female","","3 to 4","",""
"328","1913","Male","","3 to 4","",""
"329","1914","Female","14 to 15","","",""
"330","1914","Male","18 to 19","","",""
"331","1915","Male","","2","",""
"332","1915","Female","","2 to 3","",""
"333","1916","Male","23","2","",""
"334","1916","Female","28","3","",""
"335","1917","Male","100 to 110","7 to 8","",""
"336","1917","Female","130","12","",""
"337","1918","Female","52","","",""
"338","1918","Male","52","","",""
"339","1920","Male","60","5","",""
"340","1920","Female","70","8","",""
"341","1922","Male","","","29",""
"342","1923","Male","90 to 100","8","",""
"343","1923","Female","99","7","",""
"345","1924","Female","110","","",""
"346","1925","Female","23 to 24","","",""
"347","1926","Female","","","31.8","3"
"348","1926","Male","22.9","2","",""
"349","1927","Female","14","<1","18","2"
"350","1927","Male","15","<1","17","2"
"351","1928","Unspecified","19","","",""
"352","1929","Male","~33.9","2+","",""
"353","1929","Female","~44.5","3+","",""
"354","1930","Male","34.3","2","",""
"355","1930","Female","44.5","3","",""
"356","1931","Female","15.8","3","",""
"357","1932","Female","24.4","5","",""
"358","1932","Male","25.1","4","",""
"359","1933","Male","","","26","4 to 5"
"360","1934","Unspecified","16","2","",""
"361","1935","Male","23","2","25","3.9"
"362","1935","Female","23","3","26.4","4.2"
"363","1936","Unspecified","","","31","5"
"364","1937","Female","25","3","31","5"
"365","1937","Male","25","3","31","5"
"366","1938","Female","26","3","31","5"
"367","1938","Male","26","3","31","5"
"368","1939","Female","","3","","4"
"369","1940","Female","20.7","","",""
"370","1940","Male","23.7","10","",""
"371","1941","Unspecified","","","17","4"
"372","1942","Unspecified","14 to 15","3","",""
"373","1943","Female","13.5","3","",""
"374","1943","Male","13.5","3","",""
"375","1944","Female","17","4","17","4"
"376","1944","Male","17","4","17","4"
"377","1945","Female","29.5","","",""
"378","1945","Male","37","8","",""
"379","1946","Female","","","25","6"
"380","1946","Male","","","25","6"
"381","1947","Male","","","25","6"
"382","1948","Unspecified","","","34","6"
"383","1949","Male","31","3","33","4"
"384","1949","Female","31","5","34","6"
"385","1950","Male","30","3","32","4"
"386","1950","Female","31","5","34","6"
"387","1951","Female","","3","","4"
"388","1952","Female","","5","",""
"389","1952","Male","","5","",""
"390","1953","Female","29.9","10","",""
"391","1953","Male","33.3","11","",""
"392","1954","Female","15","","22",""
"393","1954","Male","20","","22",""
"394","1955","Unspecified","","","28","6 to 9"
"395","1956","Male","25","4","27","6"
"396","1956","Female","26","5","28","6"
"397","1957","Unspecified","","","15","3"
"398","1958","Male","14","3","16.5","3"
"399","1958","Female","16","3","16","4"
"400","1959","Male","13","3","13","3"
"401","1959","Female","14","3","13.5","3"
"402","1960","Male","23.9","4","",""
"403","1960","Female","24.3","6","",""
"404","1961","Female","13.5","3","",""
"405","1961","Male","13.5","3","",""
"406","1962","Female","14","3","15","3"
"407","1962","Male","14","3","16","3"
"408","1963","Male","26.5","","",""
"409","1963","Female","27","7","",""
"410","1964","Male","18","","19",""
"411","1964","Female","21","","22",""
"412","1965","Unspecified","","","27","6"
"413","1966","Male","","","20.3","6 to 7"
"414","1966","Female","","","25.4","8 to 9"
"415","1967","Female","23","5","27","6"
"416","1967","Male","28","6","30","7"
"417","1968","Male","7","","9",""
"418","1968","Female","9","","9",""
"419","1969","Unspecified","","","9","3 to 4"
"420","1970","Female","15","","21","7"
"421","1970","Male","15","","23","10"
"422","1971","Female","<22","","<22",""
"423","1971","Male","<22","","<22",""
"424","1972","Male","15","","18",""
"425","1972","Female","16","","19",""
"426","1973","Female","","","23",""
"427","1973","Male","","","23",""
"428","1974","Unspecified","","","23","7"
"429","1975","Female","","","15.2 to 25.4","4 to 10"
"430","1975","Male","","","15.2 to 25.4","4 to 10"
"431","1976","Female","18","5","23","7"
"432","1976","Male","23","7","23","7"
"433","1977","Female","19","","20.8","10"
"434","1977","Male","21","","22.8","13"
"435","1978","Female","18","","19",""
"436","1978","Male","19","","21",""
"437","1979","Female","","","21",""
"438","1979","Male","","","21",""
"439","1980","Female","","","20",""
"440","1980","Male","","","22",""
"441","1981","Unspecified","","","23","8"
"442","1982","Female","","","22.9 to 27.9","7 to 10"
"443","1982","Male","","","22.9 to 27.9","7 to 10"
"444","1983","Female","20","5","23","8"
"445","1983","Male","22","7","22","7"
"446","1984","Male","13","","13",""
"447","1984","Female","14","","14",""
"448","1985","Unspecified","","","18","5"
"449","1986","Female","","","15","2"
"450","1986","Male","","","15","4"
"451","1987","Male","15","4","16","5"
"452","1987","Female","17","5","18","5"
"453","1988","Unspecified","","","26","6"
"454","1989","Female","","","29.3","11"
"455","1990","Female","","","28.1","11"
"456","1990","Male","","","29.5","13"
"457","1991","Male","","","31","12"
"458","1991","Female","","","32","14"
"459","1992","Male","22","4","22","4"
"460","1992","Female","26","6","26","6"
"461","1993","Female","","5","",""
"462","1993","Male","","6","",""
"463","1994","Female","","2","","4"
"464","1995","Female","","","45.7","9 to 13"
"465","1995","Male","","","45.7","9 to 13"
"466","1996","Male","30","4","38.3","6.3"
"467","1996","Female","30","4","42.2","7.9"
"468","1997","Female","","4","","6"
"469","1997","Male","","4","","5"
"470","1998","Unspecified","","","41","7"
"471","1999","Female","","","35","6"
"472","1999","Male","","","40","7"
"473","2000","Female","","","38 to 42","9 to 12"
"474","2000","Male","","","40 to 42","10 to 13"
"475","2001","Male","25","3","36","6"
"476","2001","Female","30","5","41","7"
"477","2002","Female","","3","",""
"478","2002","Male","","3","",""
"479","2003","Female","31","","37",""
"480","2003","Male","32","","35",""
"481","2004","Female","36.5","","",""
"482","2004","Male","36.5","","",""
"483","2005","Male","","","37","5"
"484","2006","Unspecified","31.8","5 to 6","38.1","8 to 9"
"485","2007","Female","","","35.6","5 to 6"
"486","2007","Male","","","35.6","5 to 6"
"487","2008","Male","35","5","38","5"
"488","2008","Female","37","5","37","5"
"489","2009","Male","","","33","6"
"490","2009","Female","22.9","3","33","6"
"491","2010","Male","19","3","26","7"
"492","2010","Female","20","3","27","5.5"
"493","2011","Female","","3","","5"
"494","2011","Male","","4 to 5","","5 to 6"
"495","2012","Female","","2","","4"
"496","2012","Male","","3","","3"
"497","2013","Female","22","5","28.2","6"
"498","2013","Male","23","3","6","26.2"
"499","2014","Female","19.6","","",""
"500","2014","Male","21. 9","","",""
"501","2015","Unspecified","","","29","6"
"502","2016","Male","","3","26","5"
"503","2016","Female","","3","28","6"
"504","2017","Male","20.3 to 22.9","4","",""
"505","2017","Female","25.4","5","",""
"506","2018","Male","22","4","27","5"
"507","2018","Female","22","5","29","6"
"508","2019","Male","","3","","4"
"509","2019","Female","","5","",""
"510","2020","Female","26.2","","",""
"511","2020","Male","34.2","","",""
"512","2021","Unspecified","","","27","4 to 7"
"513","2022","Male","26","3","27","4"
"514","2022","Female","28","4","28","4"
"515","2024","Male","23","","24",""
"516","2024","Female","24","","25",""
"517","2025","Unspecified","","","28","4 to 10"
"518","2026","Female","28","4","28","4"
"519","2026","Male","28","4","28","4"
"520","2027","Female","","","","9.3"
"521","2028","Male","18.7","3","",""
"522","2028","Female","29.6","","",""
"523","2029","Male","","11","39","12"
"524","2029","Female","","11","42.6","10"
"525","2030","Female","27","","44",""
"526","2030","Male","28","","40",""
"527","2031","Female","43","","50",""
"528","2032","Male","","","39.5",""
"529","2032","Female","","","49.2",""
"530","2033","Female","","","48",""
"531","2033","Male","","","41",""
"532","2034","Unspecified","","","44","9"
"533","2035","Unspecified","33","5","40.6","7"
"534","2036","Female","","","41 to 43","7 to 9"
"535","2036","Male","","","41 to 43","7 to 9"
"536","2037","Female","","","47","8"
"537","2037","Male","","","7","39"
"538","2038","Female","27","9","44","9"
"539","2038","Male","28","4","40","9"
"540","2039","Male","","","35.6","5 to 6"
"541","2039","Female","24","3","35.6","5 to 6"
"542","2040","Male","21","","24.3","7"
"543","2040","Female","22","","26.2","6.5"
"544","2041","Male","<20","",">21",""
"545","2041","Female","28","","28",""
"546","2042","Male","","","28",""
"547","2042","Female","","","29",""
"548","2043","Female","32.4","5","",""
"549","2043","Male","35.9","8","",""
"550","2044","Female","22","","24","3.7"
"551","2044","Male","22","2","24.5","3.5"
"552","2045","Unspecified","20.3","3 to 4","",""
"553","2046","Female","12","","15","7"
"554","2046","Male","14","","15","7"
"555","2047","Male","21.8","","",""
"556","2047","Female","24.5","","",""
"557","2048","Unspecified","","","20","6"
"558","2049","Female","15","4","20","6"
"559","2049","Male","16","4","20","6"
"560","2050","Female","16","","28","12"
"561","2050","Male","23","","30","12"
"562","2051","Female","40.8","10","",""
"563","2051","Male","47.1","11","",""
"564","2052","Female","","10","","11"
"565","2052","Male","","9","","12"
"566","2053","Female","36","","41",""
"567","2053","Male","39","","45",""
"568","2054","Unspecified","","","40","7"
"569","2055","Female","","","","18"
"570","2055","Male","","","","15"
"571","2056","Female","","","50 to 52","15 to 20"
"572","2056","Male","","","52 to 60","15 to 20"
"573","2057","Female","36","6","40","7"
"574","2057","Male","36","6","40","7"
"575","2058","Female","","","38",""
"576","2058","Male","","","38",""
"577","2059","Unspecified","","","34","8"
"578","2060","Male","29","5","30","5"
"579","2060","Female","29","5","34","8"
"580","2061","Female","9","","10",""
"581","2061","Male","9","","10",""
"582","2062","Male","","","<17",""
"583","2062","Female","","","<20",""
"584","2063","Unspecified","","","17","2"
"585","2064","Male","15","3","16","3"
"586","2064","Female","17","2","17","2"
"587","2065","Male","12.7","2","14.6",""
"588","2065","Female","12.7","2","17.1","4"
"589","2066","Female","10","","11",""
"590","2066","Male","10","","11",""
"591","2067","Male","28.1","3","32","5"
"592","2067","Female","31.1","3","34","4"
"593","2068","Male","26.9","","",""
"594","2068","Female","28.5","","",""
"595","2069","Unspecified","","","35","5"
"596","2070","Unspecified","","","33 to 36","4 to 5"
"597","2071","Unspecified","18 to 22","","",""
"598","2072","Male","32","4","33","5"
"599","2072","Female","32","4","35","5"
"600","2074","Female","","","","13"
"601","2074","Male","","","","13"
"602","2075","Female","17","","22",""
"603","2076","Male","<16","","<16",""
"604","2076","Female","26","","30",""
"605","2077","Female","21.5","","",""
"606","2077","Male","21.5","","",""
"607","2078","Female","","","22",""
"608","2079","Female","","","23","12"
"609","2079","Male","","","23","12"
"610","2080","Female","16.5","5","21","13"
"611","2080","Male","16.5","5","21","13"
"612","2081","Female","","","19.2","12"
"613","2081","Male","13.5","5","19.2","12"
"614","2082","Female","19","","21.5",""
"615","2083","Male","","","21",""
"616","2084","Female","","","10 to 18",""
"617","2084","Male","","","10 to 18",""
"618","2085","Male","25.2","","",""
"619","2085","Female","27.6","","",""
"620","2086","Female","21.5","","",""
"621","2086","Male","21.5","","",""
"622","2087","Female","17","","",""
"623","2088","Female","","","19","14"
"624","2089","Male","","6","48","13 to 14"
"625","2089","Female","28 to 30","5","","6"
"626","2090","Female","","3 to 4","","3 to 4"
"627","2090","Male","","4","20 to 22","5 to 6"
"628","2091","Female","","3","","4 to 5"
"629","2091","Male","","5 to 6","26 to 28","6 to 7"
"630","2092","Female","","3 to 4","","3 to 4"
"631","2092","Male","","5","26 to 28","6 to 7"
"632","2093","Female","19","4","21","4"
"633","2093","Male","25","5","33","7"
"634","2094","Female","14","4","15","4"
"635","2094","Male","17","5","21","7"
"636","2095","Female","20","4 to 5","",""
"637","2095","Male","30","7 to 8","",""
"638","2096","Female","25 to 28","","",""
"639","2097","Female","1 to 2","50.6","",""
"640","2098","Female","55.9","2","71.1","3"
"641","2099","Unspecified","17","","",""
"642","2100","Female","10 to 10.5","1","11","2"
"643","2101","Female","","2","","2"
"644","2101","Male","","2","","2"
"645","2102","Male","33",">1","43","~2"
"646","2102","Female","44",">1","47","~2"
"647","2104","Female","8.8 to 15.2","2","",""
"648","2104","Male","8.8 to 15.2","2","",""
"649","2105","Male","","14","",""
"650","2105","Female","93.5","23","",""
"651","2106","Female","76","","93.5",""
"652","2107","Male","","","72",""
"653","2107","Female","","","93.5",""
"654","2108","Male","","","72.3",""
"655","2108","Female","","","94.2",""
"656","2109","Male","59","","",""
"657","2109","Female","72.8","","",""
"658","2110","Female","80","24","93.4","35.5"
"659","2111","Male","72","15","78.5","19"
"660","2111","Female","76","18","93.5","29"
"661","2112","Female","90 to 100","","",""
"662","2112","Male","90 to 100","","",""
"663","2113","Male","75 to 80","","",""
"664","2113","Female","86 to >108","","",""
"665","2114","Female","100 to 109","","",""
"666","2114","Male","102 to 107","","",""
"667","2115","Female","","11 to 13","",""
"668","2115","Male","","11 to 13","",""
"669","2116","Female","","7 to 8","",""
"670","2117","Unspecified","","11 to 12","",""
"671","2121","Female","16.9","3","",""
"672","2122","Female","","3","",""
"673","2122","Male","","3","",""
"674","2124","Male","100","7","",""
"675","2124","Female","105","10","",""
"676","2125","Female","118","","",""
"677","2126","Female","104","","",""
"678","2127","Female","110 to 129","12 to 14","",""
"679","2128","Female","100 to 129","10","",""
"680","2128","Male","70 to 119","7","",""
"681","2129","Female","100 to 129","11 to 21","",""
"682","2130","Unspecified","23","","",""
"683","2131","Female","14.5","2.6","",""
"684","2131","Male","14.6","2.6","",""
"685","2133","Unspecified","28 to 30","5","",""
