"ReferenceName","SizeRangeID"
"956","602"
"780","602"
"957","602"
"965","605"
"895","609"
"744","610"
"348","611"
"348","616"
"895","617"
"782","614"
"959","615"
"965","619"
"969","621"
"1419","628"
"941","628"
"969","629"
"941","629"
"976","629"
"966","630"
"1040","631"
"1419","638"
"976","639"
"969","639"
"966","640"
"969","499"
"55","524"
"55","534"
"55","540"
"55","548"
"963","554"
"1394","554"
"1124","561"
"156","570"
"969","571"
"789","572"
"969","581"
"1124","594"
"969","594"
"969","600"
"782","613"
"976","627"
"969","627"
"966","627"
"976","636"
"969","636"
"969","637"
"1105","386"
"1016","387"
"207","388"
"1016","391"
"207","392"
"1402","392"
"1016","395"
"496","396"
"207","397"
"1402","397"
"207","390"
"436","390"
"1402","390"
"207","394"
"1402","394"
"207","399"
"436","399"
"1402","399"
"207","389"
"207","393"
"207","398"
"178","654"
"1170","655"
"1285","656"
"577","656"
"1376","657"
"453","657"
"506","657"
"1285","660"
"1170","661"
"506","662"
"1285","658"
"1170","659"
"895","711"
"895","713"
"506","714"
"1194","712"
"1195","712"
"1194","54"
"1195","54"
"895","421"
"391","421"
"967","422"
"391","420"
"18","687"
"18","686"
"18","198"
"18","199"
