"FdGuildID","LkupSpeciesID","VLLifeStage","LkupForagingGuild"
"96","35","Adults","60"
"97","36","Adults","39"
"98","36","Adults","83"
"99","38","Juveniles","41"
"100","38","Adults","41"
"101","38","Larvae","68"
"102","119","Adults","41"
"103","10","Juveniles","47"
"104","10","Adults","47"
"105","10","Larvae","68"
"106","10","Adults","69"
"107","25","Juveniles","41"
"108","25","Adults","41"
"109","25","Larvae","68"
"110","125","Adults","41"
"111","125","Larvae","68"
"112","50","Larvae","48"
"113","50","Adults","48"
"114","50","Larvae","79"
"115","50","Adults","79"
"116","50","Juveniles","82"
"117","54","Adults","42"
"118","54","Juveniles","42"
"119","54","Larvae","79"
"120","126","Adults","41"
"121","126","Larvae","68"
"122","64","Juveniles","41"
"123","64","Adults","46"
"124","64","Adults","69"
"125","58","Juveniles","41"
"126","58","Adults","42"
"127","58","Larvae","79"
"128","14","Juveniles","41"
"137","14","Adults","41"
"143","14","Juveniles","60"
"147","14","Adults","60"
"151","14","Larvae","79"
"152","4","Adults","69"
"153","4","Larvae","79"
"154","4","Juveniles","79"
"155","4","Adults","79"
"156","60","Larvae","79"
"157","28","Adults","46"
"158","28","Adults","69"
"159","28","Larvae","79"
"160","30","Adults","46"
"161","30","Larvae","79"
"162","105","Adults","45"
"163","105","Adults","61"
"165","105","Adults","69"
"166","73","Larvae","41"
"167","73","Juveniles","41"
"168","73","Adults","42"
"169","44","Adults","66"
"170","44","Adults","71"
"171","44","Larvae","79"
"172","44","Juveniles","79"
"173","122","Juveniles","41"
"174","122","Adults","41"
"175","122","Larvae","68"
"176","121","Juveniles","41"
"177","121","Adults","41"
"178","121","Larvae","68"
"179","46","Juveniles","41"
"180","46","Adults","41"
"181","46","Larvae","68"
"182","46","Adults","75"
"183","37","Juveniles","41"
"184","37","Adults","41"
"185","37","Larvae","68"
"186","34","Juveniles","41"
"188","34","Adults","41"
"191","34","Adults","44"
"192","34","Adults","47"
"193","34","Adults","69"
"194","34","Larvae","77"
"195","34","Juveniles","77"
"198","34","Adults","77"
"201","40","Adults","44"
"202","40","Adults","46"
"203","40","Juveniles","53"
"204","40","Adults","69"
"205","40","Adults","79"
"206","109","Larvae","41"
"207","109","Juveniles","41"
"208","109","Adults","78"
"209","110","Juveniles","41"
"210","110","Adults","41"
"211","107","Larvae","41"
"212","107","Juveniles","41"
"213","107","Adults","41"
"214","6","Adults","41"
"215","6","Juveniles","41"
"216","6","Adults","77"
"217","6","Larvae","79"
"218","55","Juveniles","42"
"219","55","Adults","42"
"220","55","Larvae","79"
"221","116","Adults","41"
"222","26","Adults","42"
"223","26","Adults","46"
"224","26","Larvae","68"
"226","62","Juveniles","41"
"227","62","Adults","42"
"228","62","Larvae","79"
"229","51","Juveniles","42"
"230","51","Adults","42"
"231","51","Larvae","68"
"232","52","Juveniles","42"
"233","52","Adults","42"
"234","52","Larvae","79"
"235","53","Adults","41"
"236","53","Larvae","79"
"237","61","Juveniles","41"
"238","61","Adults","42"
"239","61","Larvae","79"
"240","56","Juveniles","41"
"241","56","Adults","42"
"242","56","Larvae","79"
"243","5","Adults","41"
"244","5","Larvae","79"
"245","5","Juveniles","79"
"246","59","Juveniles","41"
"247","59","Adults","41"
"248","59","Larvae","79"
"249","65","Juveniles","47"
"250","65","Adults","47"
"251","65","Larvae","68"
"252","66","Adults","41"
"253","66","Larvae","68"
"254","68","Larvae","68"
"255","67","Larvae","68"
"256","69","Larvae","68"
"257","22","Juveniles","41"
"258","22","Adults","44"
"259","22","Larvae","68"
"260","70","Juveniles","41"
"261","70","Adults","42"
"262","70","Larvae","68"
"263","74","Juveniles","41"
"264","74","Adults","41"
"265","97","Juveniles","41"
"266","97","Adults","44"
"267","97","Larvae","79"
"268","12","Juveniles","41"
"271","12","Adults","41"
"272","12","Adults","44"
"273","90","Adults","41"
"274","90","Larvae","79"
"275","90","Juveniles","86"
"276","80","Adults","41"
"277","80","Larvae","79"
"278","80","Juveniles","86"
"279","85","Adults","44"
"280","85","Larvae","79"
"281","85","Juveniles","86"
"282","83","Adults","41"
"283","83","Larvae","79"
"284","83","Juveniles","86"
"285","87","Adults","41"
"286","87","Larvae","79"
"287","87","Juveniles","86"
"288","78","Adults","41"
"289","78","Larvae","79"
"290","78","Juveniles","86"
"291","99","Adults","44"
"292","99","Larvae","79"
"293","99","Juveniles","86"
"294","81","Adults","44"
"295","81","Larvae","79"
"296","81","Juveniles","86"
"297","88","Adults","41"
"298","88","Larvae","79"
"299","88","Juveniles","86"
"300","128","Adults","41"
"301","128","Larvae","79"
"302","128","Juveniles","86"
"303","98","Larvae","79"
"304","98","Adults","79"
"305","98","Juveniles","86"
"306","93","Adults","41"
"307","93","Larvae","79"
"308","93","Juveniles","86"
"309","77","Adults","41"
"310","77","Larvae","79"
"311","77","Juveniles","86"
"312","103","Larvae","79"
"313","103","Adults","80"
"314","103","Juveniles","86"
"315","79","Adults","72"
"316","79","Larvae","79"
"317","79","Juveniles","86"
"318","82","Adults","41"
"319","82","Larvae","79"
"320","82","Juveniles","86"
"321","101","Adults","41"
"322","101","Larvae","79"
"323","101","Juveniles","86"
"324","96","Larvae","79"
"325","96","Adults","80"
"326","96","Juveniles","86"
"327","129","Larvae","79"
"328","129","Adults","80"
"329","129","Juveniles","86"
"330","130","Adults","41"
"331","130","Larvae","79"
"332","130","Juveniles","86"
"333","86","Adults","41"
"334","86","Larvae","79"
"335","86","Juveniles","86"
"336","94","Adults","41"
"337","94","Larvae","79"
"338","94","Juveniles","86"
"339","127","Adults","41"
"340","127","Larvae","79"
"341","127","Juveniles","86"
"342","104","Adults","41"
"343","104","Larvae","79"
"344","104","Juveniles","86"
"345","84","Adults","41"
"346","84","Larvae","79"
"347","84","Juveniles","86"
"348","100","Larvae","79"
"349","100","Adults","79"
"350","100","Juveniles","86"
"351","89","Larvae","79"
"352","89","Juveniles","86"
"353","92","Adults","44"
"354","92","Larvae","79"
"355","92","Juveniles","86"
"356","102","Adults","44"
"357","102","Larvae","79"
"358","102","Juveniles","86"
"359","95","Adults","41"
"360","95","Larvae","79"
"361","91","Adults","41"
"362","91","Juveniles","41"
"363","91","Larvae","79"
"364","41","Adults","50"
"365","9","Juveniles","41"
"366","9","Adults","41"
"367","71","Larvae","41"
"368","71","Juveniles","41"
"369","71","Adults","52"
"370","111","Larvae","41"
"371","111","Juveniles","41"
"372","111","Adults","41"
"373","49","Adults","79"
"374","48","Adults","41"
"375","48","Larvae","59"
"376","48","Juveniles","59"
"377","48","Adults","59"
"378","112","Juveniles","41"
"379","112","Adults","47"
"380","112","Adults","67"
"381","112","Larvae","68"
"382","112","Juveniles","79"
"383","113","Juveniles","41"
"384","113","Adults","41"
"385","113","Larvae","68"
"386","108","Juveniles","41"
"387","108","Adults","43"
"388","15","Adults","42"
"389","15","Larvae","79"
"390","118","Adults","41"
"391","118","Adults","46"
"392","117","Adults","41"
"393","47","Adults","79"
"394","47","Larvae","79"
"395","47","Juveniles","79"
"396","47","Adults","86"
"397","120","Juveniles","41"
"398","120","Adults","41"
"399","120","Larvae","68"
"400","123","Juveniles","41"
"401","123","Adults","42"
"402","123","Larvae","68"
"403","76","Adults","49"
"404","16","Adults","40"
"405","16","Juveniles","41"
"406","16","Larvae","68"
"407","115","Juveniles","57"
"408","115","Adults","61"
"409","115","Juveniles","64"
"410","115","Juveniles","74"
"411","115","Juveniles","85"
