"FdSizeRangeID","LkupSpeciesID","VLLifeStage","FdSizeRange"
"54","114","Juveniles","17 to maturity"
"55","106","Juveniles","130 to maturity"
"56","106","Larvae","NA"
"57","63","Eggs","1.5"
"58","63","Eggs","1.22 (1.14 to 1.32)"
"59","63","Eggs","1.1 to 1.3 X 0.6 to 0.7"
"60","63","Larvae","2.7 to 13.4"
"61","63","Larvae","3.06 to 3.1"
"62","7","Eggs","0.55 to 0.77"
"63","7","Eggs","0.78 to 0.84"
"64","7","Eggs","average: 0.1"
"65","7","Juveniles","approx. 42 to maturity"
"66","7","Larvae","<2.6 to 40"
"67","7","Larvae","2.0 to >39"
"68","8","Eggs","0.62 to 0.66"
"69","8","Juveniles","approx. 35 to maturity"
"70","8","Larvae","1.3 to 38"
"71","8","Larvae","2.0 to >35.5"
"72","8","Larvae","2.0 to >40"
"73","23","Eggs","0.25"
"74","23","Eggs","0.3"
"75","23","Juveniles","<50"
"76","23","Juveniles","27 to 36 to maturity"
"77","23","Juveniles","27 to 38 to maturity"
"78","23","Juveniles","29 to maturity"
"79","23","Juveniles","30 to maturity"
"80","23","Juveniles","33 (27 to 38) to maturity"
"81","23","Juveniles","34 to 38 to maturity"
"82","23","Juveniles","34 to 50 to maturity"
"83","23","Juveniles","35 to 40 to maturity"
"84","23","Juveniles","36 to maturity"
"85","23","Juveniles","38 to maturity"
"86","23","Juveniles","39 to 49 to maturity"
"87","23","Juveniles","41 to 43 to maturity"
"88","23","Juveniles","43.7 to maturity"
"89","23","Juveniles","56 to 78 to maturity"
"90","23","Larvae","No external larval stage"
"91","20","Eggs","Eggs"
"92","20","Juveniles","13 to maturity"
"93","20","Juveniles","76 to 85.7 to maturity"
"94","20","Larvae","No external larval stage"
"95","18","Eggs","0.53 to 0.92"
"96","18","Juveniles","31 to 48 to maturity (some pugheaded); 48 to 56 (normal)"
"97","18","Juveniles","45 to 57 to maturity"
"98","18","Juveniles","45 to maturity"
"99","18","Juveniles","52 to maturity"
"100","18","Juveniles","54 to maturity"
"101","18","Juveniles","55 to maturity"
"102","18","Larvae","No external larval stage"
"103","24","Eggs","0.3 to 0.81"
"104","24","Eggs","0.67 to 0.81"
"105","24","Juveniles","43 to 58 to maturity"
"106","24","Juveniles","50 to maturity"
"107","24","Juveniles","51 to maturity"
"108","24","Juveniles","55 to maturity"
"109","24","Juveniles","70 to maturity"
"110","24","Larvae","3 (TL) to birth size"
"111","24","Larvae","No external larval stage"
"112","57","Eggs","1.2 to 1.3"
"113","57","Eggs","1.21 to 1.25"
"114","57","Juveniles","22 to maturity"
"115","57","Larvae","2.8 to 17.6"
"116","57","Larvae","3.0 to <21"
"117","124","Eggs","NA"
"118","124","Juveniles","360 to maturity"
"119","124","Larvae","NA"
"120","75","Eggs","0.9"
"121","75","Eggs","0.5 to 0.9"
"122","75","Eggs","0.79 to 0.92"
"123","75","Eggs","0.81 (SD= 0.02)"
"124","75","Eggs","0.85 (0.5 to 0.9)"
"125","75","Juveniles","<19.2 to maturity"
"126","75","Juveniles","13 to maturity"
"127","75","Juveniles","17.2 to maturity"
"128","75","Larvae","1.5 to 1.8 to 17.2"
"129","75","Larvae","1.5 to 2.0 to"
"130","75","Larvae","1.57 to <19.2"
"131","75","Larvae","1.8 to 2.8 to 13"
"132","75","Larvae","2.2 to 2.8 to 13 (TL)"
"133","29","Eggs","2.8 to 3.4"
"134","29","Larvae","3.0 to ?"
"135","29","Larvae","mean: 3.5"
"136","27","Eggs","1.0 to 1.1"
"137","27","Juveniles","17.0 to maturity"
"138","27","Larvae","3.0 to 17.0"
"139","45","Eggs","3 to 4"
"140","45","Larvae","to >108"
"141","42","Larvae","1.5 to 2.0 to 21.9"
"142","13","Eggs","1.5 to 1.6"
"143","13","Eggs","1.5 to 1.7"
"144","13","Eggs","NG"
"145","13","Eggs","NG"
"146","13","Eggs","NG"
"147","13","Eggs","NG"
"148","13","Larvae","~5 to 20 NL"
"149","13","Larvae","16.5 to 22 FL"
"150","13","Larvae","22 FL (n=1)"
"151","13","Larvae","5 to 6 to >19 to 23"
"152","13","Larvae","6.5 to 10.5"
"153","39","Eggs","1.0 to 1.1"
"154","39","Juveniles","17.7 to"
"155","39","Larvae","<2.5 to 17.7"
"156","33","Juveniles","150 to maturity"
"157","33","Larvae","NA"
"158","11","Eggs","1.2 to 1.4"
"159","11","Eggs","1.35 (avg.)"
"160","11","Eggs","1.4 (avg.)"
"161","11","Juveniles","30 to 50 to maturity"
"162","11","Larvae","5.1 to 45.0"
"163","11","Larvae","5.5 to 50.0"
"164","35","Eggs","2.2 to 2.5"
"165","35","Eggs","2.2 to 2.5 (avg 2.3 ); (1580 to 9660 eggs/mass; mean 4340eggs)"
"166","35","Eggs","2.3"
"167","35","Eggs","NG"
"168","35","Eggs","NG"
"169","35","Eggs","NG"
"170","35","Eggs","NG"
"171","35","Juveniles","52 to 69 FL"
"172","35","Juveniles","53 to 56 FL"
"173","35","Juveniles","59 to 392 TL (juv & adult)"
"174","35","Juveniles","8.6 to 60 FL (larvae and juv)"
"175","35","Juveniles","NG (juvenile & adult)"
"176","35","Juveniles","NG (juvenile or adult)"
"177","35","Juveniles","NG (juvenile or adult)"
"178","35","Larvae","15.5 to 53 FL"
"179","35","Larvae","19 to 56 FL"
"180","35","Larvae","52 to 69 FL"
"181","35","Larvae","7 to 8 TL (hatching, December)"
"182","35","Larvae","7 to 9 at hatching"
"183","35","Larvae","8 at hatching"
"184","35","Larvae","8.6 to 60 FL (larvae and juv)"
"185","36","Eggs","2.0 to 2.6 (avg 2.5 )"
"186","36","Eggs","3"
"187","36","Eggs","NG"
"188","36","Eggs","NG"
"189","36","Juveniles","66 FL"
"190","36","Juveniles","NG"
"191","36","Larvae","7 to 9 at hatching"
"192","36","Larvae","9 at hatching"
"193","38","Eggs","NA"
"194","38","Juveniles","<1200"
"195","38","Juveniles","610 to maturity"
"196","38","Juveniles","650 to maturity"
"197","38","Larvae","NA"
"198","119","Eggs","< 4.0"
"199","119","Juveniles","approx.40"
"200","10","Eggs","egg capsule:2.9 by 1.9 by 1.3 cm"
"201","10","Eggs","egg:35 by 20 by 12"
"202","10","Larvae","NA"
"203","25","Eggs","0.7"
"204","25","Juveniles",">38 to maturity"
"205","25","Juveniles",">45 to maturity"
"206","25","Juveniles","40 to maturity"
"207","25","Larvae","1.5 to 2.0 to birth size"
"208","25","Larvae","No external larval stage"
"209","125","Juveniles","40 to maturity"
"210","125","Larvae","No external larval stage"
"211","50","Eggs","0.88 to 1.30"
"212","50","Eggs","0.93 to 1.24"
"213","50","Eggs","1.0"
"214","50","Eggs","1.0 to 1.2"
"215","50","Eggs","1.02"
"216","50","Eggs","1.1 (avg.)"
"217","50","Juveniles","35 to 45 TL (at hatching)"
"218","50","Juveniles","35 to 85 TL"
"219","50","Larvae","3.0 to 40"
"220","50","Larvae","4.0 to 70"
"221","50","Larvae","5.0 to 6.5 (at hatching), postlarvae are 17 to 35 TL"
"222","54","Eggs","0.78 to 0.89"
"223","54","Eggs","average: 0.84"
"224","54","Eggs","average:0.80"
"225","54","Juveniles","<13.2 to maturity"
"226","54","Larvae","1.7 to >8.8"
"227","54","Larvae","2.2 to 8.8"
"228","54","Larvae","average 1.6 to 9.6"
"229","126","Juveniles","48 to maturity"
"230","126","Juveniles","55 to maturity"
"231","126","Larvae","No external larval stage"
"232","64","Eggs","1 to 2"
"233","64","Eggs","1 X 2"
"234","64","Larvae","2.9 to 3.5 to 9.0"
"235","58","Eggs","0.87 to 1.0"
"236","58","Eggs","1.02 to 1.09"
"237","58","Eggs","average: 0.92"
"238","58","Juveniles","17 to maturity"
"239","58","Juveniles","19.1 to maturity"
"240","58","Larvae","3.1 to >17.7"
"241","58","Larvae","3.4 to <20"
"242","58","Larvae","3.4 to >17.7"
"243","58","Larvae","5 to <20"
"244","14","Eggs","1.36 to 1.50"
"245","14","Eggs","1.4 to 1.5 (avg 1.43 )"
"246","14","Juveniles","33 to 290 TL (juv & adult)"
"247","14","Juveniles","~26 to 31.4 TL (juv)"
"248","14","Juveniles","<100 TL"
"249","14","Juveniles","<70"
"250","14","Juveniles",">70"
"251","14","Juveniles","105 to 290 ? (juv & adult)"
"252","14","Juveniles","107 to 160 TL (juv & adult)"
"253","14","Juveniles","20 to 220 TL (juv & adult)"
"254","14","Juveniles","33 to 243 TL"
"255","14","Juveniles","45 to 245 TL (juv & adult)"
"256","14","Juveniles","45 to 79 TL"
"257","14","Juveniles","45 to 79 TL (juv)"
"258","14","Juveniles","54 to 140 ? (juv & adult)"
"259","14","Juveniles","59 to 220 ? (juv & adult)"
"260","14","Juveniles","60 to 118 TL (0+)"
"261","14","Juveniles","66 to 166 TL (juv & adult)"
"262","14","Juveniles","80 to 119 TL"
"263","14","Juveniles","80 to 119 TL (juv)"
"264","14","Juveniles","99 to 205 (juv & adult)"
"265","14","Juveniles","NG"
"266","14","Juveniles","NG (juvenile or adult)"
"267","14","Larvae","~3.9 to 20"
"268","14","Larvae","~4 to 11 TL"
"269","14","Larvae","3 to 11"
"270","14","Larvae","3.8 to 5.0 (hatching); 15 to 20 (transformation)"
"271","14","Larvae","3.8 to 5.0 TL (at hatching)"
"272","14","Larvae","4.5 (hatching); 15 to 20 (metamorphosis)"
"273","4","Eggs","<2.0"
"274","4","Eggs","1.5 to 1.6"
"275","4","Eggs","1.5 to 2.2"
"276","4","Eggs","1.75 to 2.20"
"277","4","Juveniles","31.0 to 38.8"
"278","4","Larvae","6.5 to 20.0"
"279","60","Eggs","1.47 to 1.71"
"280","60","Eggs","1.5 to 1.7"
"281","60","Larvae","5.2 to 24.7"
"282","60","Larvae","5.6 to 24.7"
"283","28","Eggs","0.4 to 0.6"
"284","28","Larvae","2.0 to ?"
"285","28","Larvae","3.0 to 11.0"
"286","30","Eggs","0.5 (avg.)"
"287","30","Larvae","3.0 to 11.0"
"288","30","Larvae","4 to ?"
"289","105","Eggs","1.0 to 1.1"
"290","105","Juveniles","13.8 to maturity"
"291","105","Larvae","2.6 to"
"292","105","Larvae","3.0 to 13.8"
"293","73","Eggs","0.80 to 0.82"
"294","73","Larvae","1.4 to 11.5"
"295","44","Eggs","0.60 to 0.72"
"296","44","Eggs","0.65 to 0.78"
"297","44","Eggs","0.65 to 0.85"
"298","44","Eggs","0.72 (avg.)"
"299","44","Eggs","0.74 to 0.82"
"300","44","Eggs","0.91 to 1.08"
"301","44","Juveniles","210 to maturity"
"302","44","Juveniles","23 to maturity"
"303","44","Larvae","2.0 to 20.0"
"304","44","Larvae","2.2 to 12.0"
"305","122","Eggs","NA"
"306","122","Juveniles","200 to maturity"
"307","122","Larvae","NA"
"308","121","Eggs","NA"
"309","121","Juveniles","190 to maturity"
"310","121","Juveniles","200 to maturity"
"311","121","Larvae","NA"
"312","46","Eggs","22 to 28 (internal eggs)"
"313","46","Juveniles","approx. 230 to maturity"
"314","46","Juveniles","approx. 500 TL and 350 DW"
"315","46","Larvae","NA"
"316","37","Eggs","8 to 77 (internal eggs)"
"317","37","Juveniles","430 to 1865 TL"
"318","37","Juveniles","450 to maturity"
"319","37","Larvae","NA"
"320","34","Eggs","2.24 to 3.23"
"321","34","Eggs","2.8 to 3.5"
"322","34","Eggs","2.8 to 3.5 ; nest: >76 cm diam, 5.6 kg"
"323","34","Eggs","2.8"
"324","34","Eggs","2.8 ; nest 45.7 x 33.0 x 43.3 cm"
"325","34","Eggs","2.8 to 3.5"
"326","34","Eggs","2.8 to 3.5"
"327","34","Eggs","3.5"
"328","34","Eggs","nest: 5 Liters"
"329","34","Eggs","nests: 0.5 to 2 liter volume"
"330","34","Eggs","NG"
"331","34","Eggs","NG"
"332","34","Eggs","NG"
"333","34","Eggs","NG"
"334","34","Eggs","NG (nest volume: 2 to 3 liter)"
"335","34","Juveniles","<400 FL"
"336","34","Juveniles","<70 TL (juv)"
"337","34","Juveniles",">70 FL (larvae & juv)"
"338","34","Juveniles",">70 TL"
"340","34","Juveniles","10 to < 460 TL males"
"341","34","Juveniles","10 to < 700 TL females"
"342","34","Juveniles","120 to 270 FL (YOY)"
"343","34","Juveniles","210 to 450 FL (juv estimate)"
"344","34","Juveniles","350 to 500 TL (juv)"
"345","34","Juveniles","470 to 740 (juv & adult)"
"346","34","Juveniles","65 FL"
"347","34","Juveniles","72 FL"
"348","34","Juveniles","77 FL"
"349","34","Juveniles","NG (juv age to 0)"
"350","34","Juveniles","NG (juv age to 1)"
"351","34","Juveniles","NG (juv age to 2)"
"352","34","Juveniles","NG (juv or adult)"
"353","34","Juveniles","NG (juvenile)"
"354","34","Juveniles","NG (juvenile)"
"355","34","Juveniles","NG (large juv)"
"356","34","Juveniles","NG (small juv)"
"357","34","Juveniles","see data (juv and adult)"
"359","34","Larvae",">70 FL (larvae & juv)"
"360","34","Larvae",">70 TL"
"361","34","Larvae","10 to 65 FL"
"362","34","Larvae","10 TL at hatching"
"363","34","Larvae","10 to 20 FL"
"364","34","Larvae","10 to 20 TL"
"365","34","Larvae","11 to 16.5 TL (6 to 24 days old)"
"366","34","Larvae","11 to 12 TL (hatching)"
"367","34","Larvae","15 to 51 FL"
"368","34","Larvae","18 to 49 FL"
"369","34","Larvae","19 to 55 FL"
"370","34","Larvae","21 to 30 FL"
"371","34","Larvae","21 to 30 TL"
"372","34","Larvae","31 to 50 FL"
"373","34","Larvae","31 to 50 TL"
"374","34","Larvae","51 to 70 FL"
"375","34","Larvae","51 to 70 TL"
"376","34","Larvae","6 to 10 TL at hatching"
"377","34","Larvae","6 to 12 FL (hatching)"
"378","34","Larvae","60 FL"
"379","34","Larvae","7 SL at hatching"
"380","34","Larvae","7 to 10 (avg 9.3 ) at hatching"
"381","34","Larvae","9.5 to 11 TL (hatching)"
"382","40","Eggs","0.75"
"383","40","Eggs","0.74 to 0.79"
"384","40","Larvae","2.0 to 18.6"
"385","40","Larvae","2.1 to 2.6 to (TL)"
"386","109","Eggs","0.04"
"387","109","Eggs","0.79 to 0.9 (in 70% ethanol)"
"388","109","Eggs","0.94 to 0.97"
"389","109","Juveniles","16.6 to maturity"
"390","109","Larvae","2.2 to 16.6"
"391","110","Eggs","0.79 to 0.9 (in 70% ethanol)"
"392","110","Eggs","0.8 to 0.89"
"393","110","Juveniles","12.3 to maturity"
"394","110","Larvae","2.2 to 12.3"
"395","107","Eggs","0.79 to 0.9 (in 70% ethanol)"
"396","107","Eggs","0.85 (SD= 0.02)"
"397","107","Eggs","0.94 to 0.97"
"398","107","Juveniles","13.3 to maturity"
"399","107","Larvae","to 13.3"
"400","6","Eggs","0.68 to 0.83"
"401","6","Eggs","0.74 to 0.82"
"402","6","Eggs","0.74 to 0.84"
"403","6","Juveniles","<20 to >220"
"404","6","Juveniles","7 to maturity"
"405","6","Juveniles","9 to maturity"
"406","6","Larvae","1.6 to 9.4"
"407","6","Larvae","2.0 to 8.0"
"408","6","Larvae","2.0 to 9.4"
"409","55","Eggs","0.80 to 1.1"
"410","55","Eggs","0.89 to 0.93"
"411","55","Eggs","0.93 to 1.05"
"412","55","Eggs","average: 0.98"
"413","55","Juveniles","180 to 260"
"414","55","Juveniles","19.6 to maturity"
"415","55","Larvae","<26"
"416","55","Larvae",">2.8"
"417","55","Larvae","2.0 to 26"
"418","55","Larvae","2.3 to 11.5"
"419","55","Larvae","2.3 to 20"
"420","116","Juveniles","27.9 to maturity"
"421","116","Larvae","1.8 to 20"
"422","116","Larvae","1.8 to 28"
"423","26","Juveniles","34 to maturity"
"424","26","Juveniles","43.5 to maturity"
"425","26","Juveniles","44 to 53 to maturity"
"426","26","Larvae","No external larval stage"
"427","62","Eggs","0.88 to 1.3"
"428","62","Eggs","0.89 to 0.94"
"429","62","Eggs","0.89 to 1.01"
"430","62","Juveniles","10 to maturity"
"431","62","Juveniles","11.5 to maturity"
"432","62","Larvae","1.9 to >6.0"
"433","62","Larvae","1.9 to 7.4"
"434","62","Larvae","1.93 to 10.5"
"435","62","Larvae","2.0 to 7.0"
"436","51","Eggs","NA"
"437","51","Larvae","NA"
"438","52","Eggs","1.2 to 1.6"
"439","52","Eggs","1.20 to 1.42 (King Harbor)"
"440","52","Eggs","1.20 to 1.56"
"441","52","Eggs","1.28 to 1.56 (CalCOFI)"
"442","52","Eggs","1.88"
"443","52","Larvae","> 5.5"
"444","52","Larvae","3.7 to 11.4"
"445","52","Larvae","3.9 to >11.4"
"446","53","Eggs","1.31 to 1.50"
"447","53","Eggs","1.8 to 2.1"
"448","53","Eggs","1.84 to 2.08"
"451","53","Larvae",">3.9"
"452","53","Larvae","3.88 (at hatching)"
"453","53","Larvae","3.88 to >21.0"
"454","53","Larvae","4.9 to >21.0"
"455","53","Larvae","4.9 to >22"
"456","61","Eggs","0.9 to 1.1"
"457","61","Eggs","0.94 to 1.08"
"458","61","Eggs","0.94 to 1.08"
"459","61","Larvae","2.1 to >10.0"
"460","61","Larvae","2.1 to 10.0"
"461","56","Eggs","1.0 to 1.2"
"462","56","Eggs","1.00 to 1.16"
"464","56","Eggs","1.03 to 1.11"
"465","56","Juveniles","11.0 to maturity"
"466","56","Larvae","<2.4 to 11.0"
"467","56","Larvae","2.4 to >11.0"
"468","56","Larvae","3.16 (newly hatched)"
"469","5","Eggs","4.0 to 6.0"
"470","5","Eggs","4.0 to 6.0 x 4.0 to 8.0"
"471","5","Eggs","4.0 to 7.5"
"472","5","Eggs","6"
"473","5","Larvae","7.0 to 19"
"474","5","Larvae","7.0 to 30 TL"
"475","59","Eggs","0.83 to 1.0"
"476","59","Eggs","average:1.0"
"477","59","Juveniles","20.9 to maturity"
"478","59","Juveniles","23 to maturity"
"479","59","Larvae","<3.0 to >22.6"
"480","59","Larvae","2.1 to >22.6"
"481","59","Larvae","2.8 to <23"
"482","65","Juveniles","<1300"
"483","65","Larvae","NA"
"484","66","Eggs","100 to 120"
"485","66","Larvae","NA"
"486","68","Larvae","NA"
"487","67","Eggs","80 to 120 (length)"
"488","67","Larvae","NA"
"489","69","Larvae","NA"
"490","22","Larvae","No external larval stage"
"491","70","Eggs","NA"
"492","70","Juveniles","150 to maturity"
"493","70","Larvae","NA"
"494","74","Eggs","0.66 to 0.76"
"495","74","Larvae","<1.9 to 14.0"
"496","97","Eggs","1.2"
"497","97","Eggs","eggs contained within a gelatinous floating mass"
"498","97","Eggs","ovoid: 1.16 to 1.119 & 1.22 to 1.29"
"499","97","Juveniles","20.5 to maturity"
"500","97","Larvae","1.9 to 20.5"
"501","12","Eggs","<0.40 to 1.5"
"502","12","Eggs","1.4 to 1.7"
"503","12","Eggs","1.4 to 1.9"
"504","12","Eggs","1.5 to 1.6"
"505","12","Eggs","1.5"
"506","12","Eggs","nests: 46 cm diam (5 to 10 cm thick)"
"507","12","Eggs","NG"
"508","12","Eggs","NG"
"509","12","Eggs","NG"
"510","12","Juveniles","200 to 499 (juv & adult )"
"511","12","Juveniles","201 to 400 TL (arbitrary: pre to adults)"
"512","12","Juveniles","41 to 200 TL (arbitrary: juvs)"
"513","12","Juveniles","NG"
"514","12","Larvae","10 to 40 TL"
"515","12","Larvae","14 to 22 FL"
"516","12","Larvae","3 to 6 (hatching); 14 (transformation)"
"517","12","Larvae","4 to 35 (hatch at 4 to 6 )"
"518","12","Larvae","6 TL (hatching)"
"519","12","Larvae","6 to 9 FL"
"520","12","Larvae","8 to 17 FL"
"521","12","Larvae","hatch: 3.1 to 4.8 TL"
"522","12","Larvae","NG"
"523","90","Eggs","0.42 to 0.76"
"524","90","Juveniles","23 to maturity"
"525","90","Larvae","4 to 23"
"526","90","Larvae","4.3 to"
"527","80","Eggs","1.3 to 1.5"
"528","80","Juveniles","NA"
"529","80","Larvae","4.7"
"530","80","Larvae","5"
"531","80","Larvae","5.5"
"532","80","Larvae","5.8 (TL)"
"533","85","Eggs","0.86"
"534","85","Juveniles","25 to maturity"
"535","85","Larvae","4.3 to 25"
"536","85","Larvae","4.6"
"537","85","Larvae","5.5 (TL)"
"538","85","Larvae","4.4"
"539","83","Eggs","0.62"
"540","83","Juveniles","3 to maturity"
"541","83","Larvae","5 to 23"
"542","83","Larvae","5.1"
"543","83","Larvae","5.3"
"544","87","Juveniles","NA"
"545","87","Larvae","4.2 to"
"546","78","Eggs","0.68 to 0.75"
"547","78","Eggs","0.78 to 0.91"
"548","78","Juveniles","25 to maturity"
"549","78","Larvae","to 25"
"550","99","Eggs","0.14 to 0.82"
"551","99","Juveniles","NA"
"552","99","Larvae","4.0 to"
"553","99","Larvae","4.2 to"
"554","81","Juveniles","20.0 to maturity"
"555","81","Larvae","4.9"
"556","81","Larvae","5.0 to 20.0"
"557","88","Juveniles","NA"
"558","88","Larvae","4.7 (TL)"
"559","88","Larvae","4.9"
"560","88","Larvae","5 (TL)"
"561","128","Juveniles","19.8 to maturity"
"562","128","Larvae","4.1 (TL) to"
"563","128","Larvae","4.1 to 19.8"
"564","98","Juveniles","NA"
"565","98","Larvae","4.7"
"566","93","Juveniles","NA"
"567","93","Larvae","5.0 (TL)"
"568","93","Larvae","5.4"
"569","77","Eggs","0.83"
"570","77","Juveniles","20 to maturity"
"571","77","Juveniles","24 to maturity"
"572","77","Juveniles","33.1 to maturity"
"573","77","Larvae","4.0 to ~24"
"574","77","Larvae","3.6 to"
"575","77","Larvae","3.8 to"
"576","77","Larvae","5.5 to 20"
"577","103","Juveniles","NA"
"578","103","Larvae","4.3 to"
"579","79","Eggs","0.12 to 0.16"
"580","79","Eggs","0.3 to 0.35"
"581","79","Juveniles",">21 to maturity"
"582","79","Larvae","3.5 to"
"583","79","Larvae","3.8 (NL) to 21"
"584","79","Larvae","3.8 to"
"585","82","Juveniles","NA"
"586","82","Larvae","5.7"
"587","101","Juveniles","NA"
"588","101","Larvae","~5.0 to"
"589","96","Eggs","0.66 to 0.96"
"590","96","Juveniles","NA"
"591","96","Larvae","4.7"
"592","96","Larvae","5.0"
"593","129","Eggs","0.84 to 1.45"
"594","129","Juveniles","18.6 to maturity"
"595","129","Larvae","3.6 to"
"596","129","Larvae","3.6 to 18.4"
"597","129","Larvae","4.0 to 18.4"
"598","130","Juveniles","NA"
"599","130","Larvae","5.4 (TL)"
"600","86","Juveniles","27 to maturity"
"601","86","Larvae","4.3 to 27"
"602","86","Larvae","4.6 to 27.7"
"603","94","Eggs","0.56 to 0.7"
"604","94","Juveniles","NA"
"605","94","Larvae","3.9 to"
"606","127","Juveniles","NA"
"607","104","Eggs","0.52 to 0.56"
"608","104","Juveniles","NA"
"609","104","Larvae","4.2 to"
"610","104","Larvae","4.2 (TL) to"
"611","104","Larvae","5.0 (TL)"
"612","84","Juveniles","NA"
"613","100","Juveniles","20 to maturity"
"614","100","Larvae","3.3 (NL) to 20"
"615","100","Larvae","3.7 to"
"616","100","Larvae","4.3 (TL)"
"617","100","Larvae","4.7"
"618","89","Juveniles","NA"
"619","89","Larvae","5.5"
"620","92","Juveniles","NA"
"621","92","Larvae","4.8"
"622","102","Eggs","0.7 to 1.0"
"623","102","Juveniles","NA"
"624","95","Eggs","1.3"
"625","95","Eggs","1.1 X 1.2"
"626","95","Eggs","1.2 to 1.4"
"627","95","Juveniles","20 to maturity"
"628","95","Larvae","2.6 (TL) to"
"629","95","Larvae","2.6 to 22"
"630","95","Larvae","3.0 to 20"
"631","95","Larvae","to ~25.4 (NA)"
"632","91","Eggs","1.1"
"633","91","Eggs","1.3"
"634","91","Eggs","1.1 X 1.2"
"635","91","Eggs","1.2 to 1.4"
"636","91","Juveniles","20 to maturity"
"637","91","Juveniles","22 to maturity"
"638","91","Larvae","2.6 (TL) to"
"639","91","Larvae","2.6 to 22"
"640","91","Larvae","3.0 to 20"
"641","41","Eggs","0.8"
"642","41","Larvae","2.5 to 15.6"
"643","9","Eggs","1.27"
"644","9","Eggs","1.4"
"645","9","Eggs","1.69"
"646","9","Eggs","0.8 to 1.6"
"647","9","Juveniles","24.5 to maturity"
"648","9","Larvae","3 to 4"
"649","9","Larvae","3.2 to 24.5"
"650","71","Eggs","0.478 to 0.523; eggs larger in larger females"
"651","71","Eggs","0.68; eggs larger in larger females"
"652","71","Eggs","0.73 to 0.78"
"653","71","Larvae","1.6 to 17.2"
"654","111","Eggs","1.02"
"655","111","Eggs","1.0 to 1.4"
"656","111","Eggs","1.0 to 1.6"
"657","111","Eggs","1.24 to 1.6"
"658","111","Juveniles","12 to maturity"
"659","111","Juveniles","30.8 to maturity"
"660","111","Larvae","2.2 to 12"
"661","111","Larvae","2.3 to 30.8"
"662","111","Larvae","2.5 to"
"663","49","Juveniles","35 to 45 TL (at hatching)"
"664","48","Eggs","0.9 to 1.1"
"665","48","Eggs","1.0 (avg.)"
"666","48","Eggs","1.2 (avg.)"
"667","48","Juveniles","22 to 88 TL"
"668","48","Juveniles","35 to 45 TL (at hatching)"
"669","48","Larvae","5.3 to 9.8 at hatching"
"670","112","Eggs","NA"
"671","112","Juveniles","200 to maturity (approx. 600)"
"672","112","Juveniles","approx. 240 to 760"
"673","112","Larvae","NA"
"674","113","Eggs","NA"
"675","113","Juveniles","210 to maturity"
"676","113","Juveniles","240 to maturity"
"677","113","Larvae","NA"
"678","108","Eggs","1.5 to 1.6"
"679","108","Juveniles","18.8 to maturity"
"680","108","Larvae","3.0 to 18.8"
"681","15","Eggs","0.71 to 0.78"
"682","15","Eggs","0.74 to 0.80"
"683","15","Juveniles","20.8 to maturity"
"684","15","Larvae","1.9 to 10.8"
"685","15","Larvae","1.9 to 24.2"
