"FdMaturityID","LkupSpeciesID","VLLgthType","LkupMaturityAgingStructure","LkupMaturityAgingMethod","ChkMaturityValidaton","LkupMaturityValidationMethod","ChkMaturityVerification","LkupMaturityVerificationMethod"
"1869","34","FL","","","False","","False",""
"1870","34","TL","","","False","","False",""
"1871","34","TL","","","False","","False",""
"1872","34","TL","","","False","","False",""
"1873","34","TL","","","False","","False",""
"1874","34","FL","","","False","","False",""
"1875","34","FL","","","False","","False",""
"1876","34","TL","10","","False","33","False","37"
"1877","34","FL","11","","False","","False",""
"1878","34","TL","25","","False","","False",""
"1879","40","TL","10","","False","33","False","37"
"1880","109","TL","","62","False","31","False","35"
"1881","109","TL","15","21","True","15","False","37"
"1882","109","TL","10","","False","33","False","37"
"1883","109","?L","10","","False","33","False","37"
"1884","109","FL","10","","False","33","False","37"
"1885","109","TL","10","","False","33","False","37"
"1886","109","SL","15","16","False","33","False","37"
"1887","110","SL","15","36","True","15","True","20"
"1888","107","TL","15","21","True","15","False","37"
"1889","107","TL","10","","False","33","False","37"
"1890","107","FL","10","","False","33","False","37"
"1891","6","TL","10","","False","33","False","37"
"1892","6","TL","10","","False","33","False","37"
"1893","6","TL","10","","False","33","False","37"
"1894","6","TL","10","","False","33","False","37"
"1895","6","TL","15","56","False","","False",""
"1896","55","TL","10","","False","33","False","37"
"1897","55","TL","10","","False","33","False","37"
"1898","55","TL","10","","False","33","False","37"
"1899","55","TL","10","","False","33","False","37"
"1900","55","TL","10","","False","33","False","37"
"1901","55","TL","10","","False","33","False","37"
"1902","116","TL","10","","False","33","False","37"
"1903","26","TL","28","","False","31","False","35"
"1904","26","TL","10","","False","33","False","37"
"1905","62","TL","10","","False","33","False","37"
"1906","62","TL","10","","False","33","False","37"
"1907","62","TL","20","","False","","False",""
"1912","56","TL","10","","False","33","False","37"
"1913","5","TL","10","","False","33","False","37"
"1914","5","TL","10","","False","33","False","37"
"1915","59","TL","10","","False","33","False","37"
"1916","59","TL","15","63","False","","False",""
"1917","65","TL","27","17","True","15","True","6"
"1918","66","TL","10","","False","33","False","37"
"1920","67","TL","27","17","True","15","True","6"
"1922","22","TL","9","","False","32","False","36"
"1923","70","TL","27","36","True","34","True","22"
"1924","70","TL","10","","False","33","False","37"
"1925","74","TL","28","","False","31","False","35"
"1926","74","TL","10","","False","33","False","37"
"1927","97","TL","19","21","True","15","True","22"
"1928","97","TL","10","","False","33","False","37"
"1929","12","TL","15","36","False","","True","7"
"1930","12","TL","10","","False","33","False","37"
"1931","90","SL","15","36","True","15","True","14"
"1932","90","TL","15","36","True","15","True","15"
"1933","90","TL","10","","False","33","False","37"
"1934","90","SL","15","","False","33","False","37"
"1935","80","TL","15","21","False","","True","22"
"1936","80","TL","10","","False","33","False","37"
"1937","80","TL","10","","False","33","False","37"
"1938","80","TL","15","36","False","","False",""
"1939","80","TL","15","36","False","","False",""
"1940","85","TL","15","36","True","15","True","33"
"1941","85","TL","10","","False","33","False","37"
"1942","85","SL","10","","False","33","False","37"
"1943","85","SL","15","36","False","33","False","37"
"1944","85","TL","15","36","False","","False",""
"1945","83","TL","15","36","False","","True","15"
"1946","83","TL","10","","False","33","False","37"
"1947","83","TL","10","","False","33","False","37"
"1948","83","TL","10","","False","33","False","37"
"1949","83","TL","10","","False","33","False","37"
"1950","83","TL","15","36","False","","False",""
"1951","83","TL","15","36","False","","False",""
"1952","83","TL","15","36","False","","False",""
"1953","87","TL","15","36","False","","True","15"
"1954","87","TL","10","","False","33","False","37"
"1955","87","TL","10","","False","33","False","37"
"1956","87","TL","15","36","False","","False",""
"1957","78","TL","","","False","","False",""
"1958","78","SL","15","36","True","18","True","14"
"1959","78","SL","15","36","True","18","True","14"
"1960","78","TL","15","36","True","15","True","33"
"1961","78","SL","15","36","False","33","False","37"
"1962","78","TL","15","36","False","","False",""
"1963","99","TL","15","36","False","","True","15"
"1964","99","TL","10","","False","33","False","37"
"1965","99","TL","10","","False","33","False","37"
"1966","99","TL","10","","False","33","False","37"
"1967","99","TL","15","36","False","","False",""
"1968","81","TL","10","","False","33","False","37"
"1969","81","TL","10","","False","33","False","37"
"1970","88","FL","15","4","False","","True","6"
"1971","88","FL","28","","False","31","False","35"
"1972","88","TL","10","","False","33","False","37"
"1973","88","FL","10","","False","33","False","37"
"1974","88","TL","10","","False","33","False","37"
"1975","88","TL","10","","False","33","False","37"
"1976","88","TL","15","36","False","33","False","37"
"1977","128","FL","15","4","False","","True","15"
"1978","128","FL","28","","False","31","False","35"
"1979","128","FL","10","","False","33","False","37"
"1980","128","FL","10","","False","33","False","37"
"1981","128","TL","10","","False","33","False","37"
"1982","128","TL","10","","False","33","False","37"
"1983","128","TL","15","36","False","","False",""
"1984","98","TL","10","","False","33","False","37"
"1985","98","TL","10","","False","33","False","37"
"1986","98","TL","10","","False","33","False","37"
"1987","98","TL","15","36","False","","False",""
"1988","93","TL","10","","False","33","False","37"
"1989","93","TL","10","","False","33","False","37"
"1990","93","TL","15","4","False","33","False","37"
"1991","93","FL","15","4","False","","False",""
"1992","93","TL","15","36","False","","False",""
"1993","93","TL","15","36","False","","False",""
"1994","93","TL","15","36","False","","False",""
"1995","77","TL","","","False","","False",""
"1996","77","TL","15","","True","18","True","17"
"1997","77","TL","15","36","False","","True","22"
"1998","77","TL","10","","False","33","False","37"
"1999","77","TL","10","","False","33","False","37"
"2000","77","FL","15","4","False","","False",""
"2001","77","TL","15","36","False","","False",""
"2002","77","TL","15","36","False","","False",""
"2003","103","TL","10","","False","33","False","37"
"2004","103","TL","10","","False","33","False","37"
"2005","103","TL","10","","False","33","False","37"
"2006","103","TL","10","","False","33","False","37"
"2007","103","TL","10","","False","33","False","37"
"2008","103","TL","15","36","False","","False",""
"2009","103","TL","20","","False","","False",""
"2010","79","TL","20","","False","","True","13"
"2011","79","TL","15","4","True","17","True","22"
"2012","79","FL","15","36","False","","True","22"
"2013","79","TL","20","","False","","True","22"
"2014","79","TL","10","","False","33","False","37"
"2015","79","TL","10","","False","33","False","37"
"2016","79","TL","10","","False","33","False","37"
"2017","79","TL","10","","False","33","False","37"
"2018","79","TL","15","36","False","","False",""
"2019","79","TL","20","","False","","False",""
"2020","82","TL","10","","False","33","False","37"
"2021","82","TL","10","","False","33","False","37"
"2022","82","TL","15","36","False","","False",""
"2024","96","TL","10","","False","33","False","37"
"2025","96","TL","10","","False","33","False","37"
"2026","96","TL","15","4","False","","False",""
"2027","129","TL","15","","False","33","True","15"
"2028","129","TL","15","36","False","","True","15"
"2029","129","FL","15","36","False","","True","22"
"2030","129","TL","28","","False","31","False","35"
"2031","129","FL","28","","False","31","False","35"
"2032","129","FL","10","","False","33","False","37"
"2033","129","FL","10","","False","33","False","37"
"2034","129","TL","10","","False","33","False","37"
"2035","129","TL","10","","False","33","False","37"
"2036","129","TL","10","","False","33","False","37"
"2037","129","FL","15","4","False","33","False","37"
"2038","129","TL","15","36","False","","False","37"
"2039","129","TL","20","","False","","False",""
"2040","130","FL","15","4","False","","True","15"
"2041","130","FL","28","","False","31","False","35"
"2042","130","FL","10","","False","33","False","37"
"2043","86","TL","15","36","True","15","True","15"
"2044","86","TL","15","21","False","","True","22"
"2045","86","TL","10","","False","33","False","37"
"2046","94","TL","10","","False","33","False","37"
"2047","94","TL","10","","False","33","False","37"
"2048","94","TL","10","","False","33","False","37"
"2049","94","TL","15","36","False","","False",""
"2050","127","TL","10","","False","33","False","37"
"2051","104","TL","15","36","False","","True","15"
"2052","104","FL","15","36","False","","True","22"
"2053","104","FL","28","","False","31","False","35"
"2054","104","TL","10","","False","33","False","37"
"2055","104","TL","10","","False","33","False","37"
"2056","104","FL","15","4","False","","False",""
"2057","104","TL","15","36","False","","False",""
"2058","84","TL","10","","False","33","False","37"
"2059","84","TL","10","","False","33","False","37"
"2060","84","TL","15","36","False","","False",""
"2061","100","TL","10","","False","33","False","37"
"2062","100","FL","10","","False","33","False","37"
"2063","100","TL","10","","False","33","False","37"
"2064","100","TL","15","36","False","","False",""
"2065","100","TL","20","","False","","False",""
"2066","89","TL","10","","False","33","False","37"
"2067","92","TL","15","36","False","","True","22"
"2068","92","TL","10","","False","33","False","37"
"2069","92","TL","10","","False","33","False","37"
"2070","92","TL","10","","False","33","False","37"
"2071","92","TL","10","","False","33","False","37"
"2072","92","TL","15","36","False","","False",""
"2074","95","TL","15","5","True","22","True","15"
"2075","95","TL","28","","False","31","False","35"
"2076","95","FL","28","","False","31","False","35"
"2077","95","TL","10","","False","33","False","37"
"2078","95","TL","10","","False","33","False","37"
"2079","95","TL","10","","False","33","False","37"
"2080","95","TL","15","21","False","","False","37"
"2081","95","SL","15","4","False","","False",""
"2082","91","TL","28","","False","31","False","35"
"2083","91","FL","28","","False","31","False","35"
"2084","91","TL","28","","False","31","False","35"
"2085","91","TL","10","","False","33","False","37"
"2086","91","TL","10","","False","33","False","37"
"2087","91","TL","10","","False","33","False","37"
"2088","91","TL","15","21","False","","False","37"
"2089","41","SL","3","","True","17","True","34"
"2090","41","SL","3","","True","17","True","34"
"2091","41","SL","3","","True","17","True","34"
"2092","41","SL","3","","True","17","True","34"
"2093","41","SL","3","","True","17","True","34"
"2094","41","SL","3","","True","17","True","34"
"2095","41","TL","3","","True","17","True","34"
"2096","41","TL","28","","False","31","False","35"
"2097","9","TL","10","","False","33","False","37"
"2098","9","TL","10","","False","33","False","37"
"2099","71","TL","28","","False","31","False","35"
"2100","71","TL","15","21","False","33","False","37"
"2101","111","TL","9","","False","32","False","36"
"2102","111","TL","20","","True","15","False",""
"2104","48","TL","10","","False","33","False","37"
"2105","112","TL","3","29","False","","True","15"
"2106","112","TL","10","","False","33","False","37"
"2107","112","TL","10","","False","33","False","37"
"2108","112","TL","10","","False","33","False","37"
"2109","112","TL","10","","False","33","False","37"
"2110","112","TL","3","","False","","False",""
"2111","112","TL","","57","False","","False",""
"2112","113","TL","10","","False","33","False","37"
"2113","113","TL","10","","False","33","False","37"
"2114","113","TL","10","","False","33","False","37"
"2115","108","TL","9","","False","32","False","36"
"2116","108","TL","9","","False","32","False","36"
"2117","108","TL","10","","False","33","False","37"
"2121","47","TL","15","58","False","","True","15"
"2122","47","TL","10","","False","33","False","37"
"2124","123","TL","27","59","True","28","True","6"
"2125","123","TL","10","","False","33","False","37"
"2126","123","TL","10","","False","33","False","37"
"2127","123","TL","10","","False","33","False","37"
"2128","123","TL","10","","False","33","False","37"
"2129","123","TL","10","","False","33","False","37"
"2130","76","TL","28","","False","31","False","35"
"2131","16","DW","","60","False","33","False","37"
"2133","115","TL","10","","False","33","False","37"
