"FdFoodTypeID","LkupSpeciesID","VLFoodStage","LkupFoodType"
"310","34","Adults","250"
"311","34","Adults","264"
"312","34","Adults","266"
"313","34","Adults","278"
"314","34","Adults","298"
"315","34","Adults","368"
"316","34","Adults","369"
"317","34","Adults","442"
"318","34","Juveniles","88"
"319","34","Juveniles","89"
"320","34","Juveniles","247"
"321","34","Juveniles","251"
"322","34","Juveniles","313"
"323","34","Juveniles","88"
"324","34","Juveniles","243"
"325","34","Juveniles","266"
"326","34","Juveniles","297"
"327","34","Juveniles","314"
"328","34","Juveniles","368"
"329","34","Juveniles","369"
"330","34","Juveniles","450"
"331","34","Juveniles","524"
"332","34","Larvae","313"
"333","34","Larvae","64"
"334","34","Larvae","87"
"335","34","Larvae","100"
"336","34","Larvae","101"
"337","34","Larvae","108"
"338","34","Larvae","118"
"339","34","Larvae","295"
"340","34","Larvae","332"
"341","34","Larvae","333"
"342","34","Larvae","334"
"343","34","Larvae","463"
"344","34","Larvae","464"
"345","34","Larvae","480"
"346","34","Larvae","497"
"347","40","Adults","325"
"348","40","Adults","302"
"349","40","Adults","445"
"350","40","Juveniles","327"
"351","109","Adults","274"
"352","109","Adults","445"
"353","109","Juveniles","169"
"354","109","Larvae","373"
"355","109","Larvae","506"
"356","110","Adults","202"
"357","110","Juveniles","488"
"358","107","Adults","490"
"359","107","Juveniles","203"
"360","107","Larvae","373"
"361","6","Adults","28"
"362","6","Adults","221"
"363","6","Adults","268"
"364","6","Adults","358"
"365","6","Adults","370"
"366","6","Adults","422"
"367","6","Juveniles","53"
"368","6","Juveniles","286"
"369","6","Juveniles","357"
"370","6","Juveniles","484"
"371","6","Larvae","503"
"372","55","Adults","420"
"373","55","Adults","1"
"374","55","Adults","12"
"375","55","Adults","31"
"376","55","Adults","65"
"377","55","Adults","401"
"378","55","Adults","416"
"379","55","Adults","439"
"380","55","Adults","462"
"381","55","Adults","495"
"382","55","Adults","515"
"383","55","Adults","519"
"384","55","Juveniles","293"
"385","55","Juveniles","330"
"386","55","Juveniles","356"
"387","55","Juveniles","495"
"388","55","Larvae","33"
"389","55","Larvae","105"
"390","55","Larvae","321"
"391","116","Adults","466"
"392","26","Adults","504"
"393","62","Adults","44"
"394","62","Adults","1"
"395","62","Adults","16"
"396","62","Adults","19"
"397","62","Adults","31"
"398","62","Adults","46"
"399","62","Adults","75"
"400","62","Adults","76"
"401","62","Adults","136"
"402","62","Juveniles","107"
"403","62","Juveniles","305"
"404","62","Juveniles","353"
"405","62","Juveniles","411"
"406","62","Juveniles","425"
"407","62","Larvae","71"
"408","62","Larvae","90"
"409","62","Larvae","116"
"410","62","Larvae","117"
"411","51","Adults","410"
"412","51","Adults","440"
"413","52","Adults","396"
"414","52","Adults","31"
"415","52","Adults","405"
"416","52","Adults","495"
"417","52","Adults","523"
"418","52","Juveniles","396"
"419","52","Juveniles","495"
"420","53","Adults","219"
"421","53","Adults","396"
"422","53","Adults","412"
"423","53","Adults","518"
"424","61","Adults","404"
"425","61","Adults","447"
"426","61","Juveniles","398"
"427","56","Adults","399"
"428","56","Adults","81"
"429","56","Adults","406"
"430","56","Adults","517"
"431","56","Juveniles","406"
"432","5","Adults","235"
"433","5","Adults","237"
"434","5","Adults","279"
"435","5","Adults","317"
"436","5","Adults","457"
"437","5","Juveniles","103"
"438","5","Juveniles","92"
"439","5","Juveniles","468"
"440","5","Larvae","92"
"441","5","Larvae","143"
"442","5","Larvae","142"
"443","59","Adults","1"
"444","59","Adults","21"
"445","59","Adults","227"
"446","59","Adults","256"
"447","59","Adults","263"
"448","59","Adults","277"
"449","59","Adults","498"
"450","59","Adults","500"
"451","59","Juveniles","124"
"452","59","Larvae","123"
"453","65","Adults","52"
"454","65","Adults","252"
"455","65","Juveniles","197"
"456","66","Adults","451"
"457","22","Adults","194"
"458","22","Juveniles","414"
"459","70","Adults","154"
"460","70","Adults","514"
"461","70","Juveniles","418"
"462","74","Adults","84"
"463","74","Juveniles","85"
"464","97","Adults","181"
"465","97","Juveniles","138"
"466","12","Adults","141"
"467","12","Adults","67"
"468","12","Adults","244"
"470","12","Juveniles","140"
"471","12","Juveniles","67"
"472","12","Juveniles","249"
"473","12","Larvae","35"
"474","12","Larvae","90"
"475","12","Larvae","99"
"476","12","Larvae","119"
"477","90","Adults","195"
"478","90","Juveniles","174"
"479","90","Larvae","351"
"480","80","Adults","191"
"481","80","Juveniles","159"
"482","80","Larvae","351"
"483","85","Adults","186"
"484","85","Juveniles","166"
"485","85","Larvae","351"
"486","83","Adults","483"
"487","83","Juveniles","165"
"488","83","Larvae","351"
"489","87","Adults","184"
"490","87","Juveniles","159"
"491","87","Larvae","351"
"492","78","Adults","187"
"493","78","Juveniles","159"
"494","78","Larvae","351"
"495","99","Adults","184"
"496","99","Juveniles","151"
"497","99","Larvae","351"
"498","81","Adults","374"
"499","81","Juveniles","159"
"500","81","Larvae","351"
"501","88","Adults","172"
"502","88","Juveniles","161"
"503","88","Larvae","351"
"504","128","Adults","183"
"505","128","Juveniles","159"
"506","128","Larvae","351"
"507","98","Adults","145"
"508","98","Juveniles","159"
"509","98","Larvae","351"
"510","93","Adults","190"
"511","93","Juveniles","163"
"512","93","Larvae","351"
"513","77","Adults","258"
"514","77","Juveniles","182"
"515","77","Larvae","351"
"516","103","Adults","70"
"517","103","Juveniles","159"
"518","103","Larvae","351"
"519","79","Adults","312"
"520","79","Juveniles","322"
"521","79","Larvae","351"
"522","82","Adults","364"
"523","82","Juveniles","159"
"524","82","Larvae","351"
"525","101","Adults","188"
"526","101","Juveniles","159"
"527","101","Larvae","351"
"528","96","Adults","531"
"529","96","Juveniles","159"
"530","96","Larvae","351"
"531","129","Adults","231"
"532","129","Juveniles","180"
"533","129","Larvae","351"
"534","130","Adults","486"
"535","130","Juveniles","159"
"536","130","Larvae","351"
"537","86","Adults","273"
"538","86","Juveniles","159"
"539","86","Larvae","351"
"540","94","Adults","204"
"541","94","Juveniles","159"
"542","94","Larvae","351"
"543","127","Adults","192"
"544","127","Juveniles","162"
"545","127","Larvae","351"
"546","104","Adults","259"
"547","104","Juveniles","159"
"548","104","Larvae","351"
"549","84","Adults","184"
"550","84","Juveniles","159"
"551","84","Larvae","351"
"552","100","Adults","193"
"553","100","Juveniles","160"
"554","100","Larvae","351"
"555","89","Juveniles","159"
"556","89","Larvae","351"
"557","92","Adults","257"
"558","92","Juveniles","167"
"559","92","Larvae","351"
"560","102","Adults","189"
"561","102","Juveniles","159"
"562","102","Larvae","351"
"563","95","Adults","171"
"564","91","Adults","365"
"565","91","Juveniles","375"
"566","41","Adults","446"
"567","9","Adults","501"
"568","9","Juveniles","372"
"569","71","Adults","475"
"570","71","Juveniles","300"
"571","71","Larvae","43"
"572","111","Adults","271"
"573","111","Juveniles","324"
"574","111","Larvae","373"
"575","49","Adults","496"
"576","48","Adults","61"
"577","48","Adults","144"
"578","48","Adults","343"
"579","48","Adults","366"
"580","48","Adults","430"
"581","48","Juveniles","60"
"582","48","Juveniles","92"
"583","48","Larvae","527"
"584","112","Adults","27"
"585","112","Adults","47"
"586","112","Adults","86"
"587","112","Adults","147"
"588","112","Adults","230"
"589","112","Adults","253"
"590","112","Adults","261"
"591","112","Adults","267"
"592","112","Adults","272"
"593","112","Adults","296"
"594","112","Adults","316"
"595","112","Adults","331"
"596","112","Adults","431"
"597","112","Adults","455"
"598","112","Juveniles","48"
"599","112","Juveniles","232"
"600","112","Juveniles","299"
"601","112","Juveniles","309"
"602","112","Juveniles","392"
"603","113","Adults","50"
"604","113","Adults","241"
"605","113","Adults","269"
"606","108","Adults","499"
"607","108","Juveniles","29"
"608","15","Adults","284"
"609","15","Adults","11"
"610","15","Adults","336"
"611","118","Adults","345"
"612","118","Adults","346"
"613","117","Adults","466"
"614","47","Adults","92"
"615","47","Adults","220"
"616","47","Adults","234"
"617","47","Adults","236"
"618","47","Adults","315"
"619","47","Juveniles","72"
"620","47","Juveniles","95"
"621","47","Juveniles","96"
"622","47","Juveniles","234"
"623","47","Juveniles","236"
"624","47","Juveniles","378"
"625","47","Juveniles","428"
"626","47","Larvae","95"
"627","47","Larvae","96"
"628","47","Larvae","377"
"629","47","Larvae","379"
"630","120","Adults","51"
"631","123","Adults","307"
"632","123","Adults","132"
"633","123","Adults","133"
"634","123","Adults","255"
"635","123","Adults","338"
"636","123","Juveniles","126"
"637","76","Adults","482"
"638","16","Adults","83"
"639","16","Adults","376"
"640","16","Adults","522"
"641","16","Juveniles","402"
"642","16","Juveniles","520"
"643","31","Adults","287"
"644","31","Adults","288"
"645","31","Adults","362"
"646","31","Juveniles","6"
"647","31","Juveniles","287"
"648","31","Juveniles","288"
"649","31","Juveniles","362"
"650","115","Adults","434"
"651","115","Adults","32"
"652","115","Adults","438"
"653","115","Juveniles","433"
"654","115","Juveniles","529"
"655","58","Adults","532"
"656","27","Juveniles","533"
"657","72","Larvae","534"
