"FdAgeID","LkupSpeciesID","VLSexType","FdLongevity","FdLongevityLength","VLLgthType","FdLongevityNotes"
"357","65","","12","1.607","",""
"358","32","","12","0.33","",""
"359","34","Male","12","","",""
"360","94","","13","","",""
"361","64","","13","","",""
"362","75","","13","","",""
"363","43","","13","","",""
"364","121","","13","","",""
"365","11","Male","3","","",""
"366","34","Female","13","0.96","FL",""
"367","122","Female","13","1","TL",""
"368","121","","13","1","",""
"369","67","","13","1.322","",""
"370","35","Female","13","0.379","SL",""
"371","43","","13","0.53","",""
"372","12","Female","13","0.72","TL",""
"373","34","Male","13","0.75","FL",""
"374","34","Male","13","0.855","FL",""
"375","110","","14","","",""
"376","94","","14","","",""
"377","42","","14","","",""
"378","47","","4","","",""
"379","44","","14","","",""
"380","34","Male","14","0.85","TL",""
"381","34","Female","14","1.11","FL",""
"382","34","Male","14","0.91","TL",""
"383","93","","15","","",""
"384","89","","15","","",""
"385","110","","15","","",""
"386","75","","15","","",""
"387","74","","15","","",""
"388","11","Female","5","","",""
"389","34","Male","15","0.74","TL","South"
"390","32","","15","0.43","",""
"391","34","Male","15","0.812","TL",""
"392","34","Female","15","","",""
"393","123","Female","16","","",""
"394","34","Male","16","0.88","TL","north"
"395","57","Male","16","0.55","",""
"396","34","Female","16","1.1","TL",""
"397","12","Female","16","0.725","TL",""
"398","100","","17","","",""
"399","64","","17","","",""
"400","79","Male","17","","",""
"401","64","","17","","",""
"402","55","","17","0.52","",""
"403","12","Male","17","0.648","TL",""
"404","84","","18","","",""
"406","94","","18","","",""
"407","114","","18","","",""
"408","80","","19","","",""
"409","98","","19","","",""
"410","34","Female","19","1.1","TL","south"
"411","57","Female","19","0.57","",""
"412","34","Female","19","1.122","TL",""
"413","34","Female","19","1.15","FL",""
"414","72","","20","","",""
"415","80","","20","","",""
"416","77","","20","","",""
"417","103","","20","","",""
"418","110","","20","","",""
"419","86","","20","","",""
"420","90","","20","","",""
"421","78","","20","","",""
"422","34","Female","20","1.23","TL",""
"423","34","","20","","","40 lbs"
"424","60","","20","0.84","",""
"425","87","","21","","",""
"426","77","","21","","",""
"427","78","","21","","",""
"428","44","","21","","",""
"429","97","","21","","",""
"430","103","","22","","",""
"431","78","","22","","",""
"432","100","Female","22","","",""
"433","55","","22","0.492","",""
"434","58","","22","0.52","",""
"435","86","","23","","",""
"436","79","","23","","",""
"437","107","","24","","",""
"438","85","","24","","",""
"439","79","","24","","",""
"440","62","","24","","",""
"441","46","","24","","",""
"442","79","Female","24","","",""
"443","46","","24","1","DW",""
"444","123","","24","1.3","",""
"445","46","","24","1.5","",""
"446","103","","25","","",""
"447","92","","25","","",""
"448","57","","25","","",""
"449","41","","25","","",""
"450","45","","26","","",""
"451","82","","26","","",""
"452","99","","28","","",""
"453","88","Female","28","","",""
"454","41","","29","","",""
"455","95","","29","","",""
"456","85","","30","","",""
"457","109","","30","","",""
"458","45","","30","","",""
"459","103","","30","","",""
"460","6","","30","","",""
"461","66","","30","","",""
"462","67","","30","","",""
"463","112","","30","","",""
"464","123","","30","2","TL",""
"465","109","","31","","",""
"466","107","","31","","",""
"467","93","","32","","",""
"468","99","","32","","",""
"469","109","","32","","",""
"470","109","","33","","",""
"471","87","","33","","",""
"472","109","","34","","",""
"473","130","","34","","",""
"474","77","Female","34","","",""
"476","83","","35","","",""
"477","77","Female","35","","",""
"478","77","","36","","",""
"479","96","","37","","",""
"481","88","Male","37","","",""
"482","100","","38","","",""
"483","93","","38","","",""
"484","130","","40","","",""
"485","112","","40","","",""
"486","83","","41","","",""
"487","79","Female","41","","",""
"488","77","Male","42","","",""
"489","103","","43","","",""
"490","79","Male","44","","",""
"491","91","","45","","",""
"492","88","","46","","",""
"493","77","Male","48","","",""
"494","127","","50","","",""
"495","41","","53","","",""
"496","93","","55","","",""
"497","83","","55","","",""
"498","95","","56","","",""
"499","129","","60","","",""
"500","112","","60","","",""
"501","95","","62","","",""
"502","128","","64","","",""
"503","129","Male","67","","",""
"504","104","","69","","",""
"505","129","","69","","",""
"506","129","Female","69","","",""
"508","129","","75","","",""
"509","108","","75","","",""
"510","93","","76","","",""
"511","95","","80","","",""
"512","104","","98","","",""
"513","95","","100","","",""
"514","108","","100","","",""
"515","104","","114","","",""
"516","104","","118","","",""
"517","34","Female","20","0.118","TL","north"
"518","117","","1","","",""
