"FdSpawningAreaID","LkupSpeciesID","LkupSpawnArea"
"365","84","184"
"366","100","112"
"367","100","120"
"368","100","115"
"369","100","122"
"370","100","152"
"371","100","172"
"372","89","172"
"373","92","120"
"374","92","115"
"375","92","122"
"376","92","172"
"377","95","106"
"378","95","120"
"379","95","115"
"380","95","144"
"381","95","152"
"382","91","120"
"383","91","115"
"384","91","148"
"385","91","144"
"386","91","152"
"387","41","172"
"388","9","115"
"389","9","138"
"390","9","172"
"391","9","186"
"392","71","115"
"393","71","172"
"394","111","115"
"395","111","172"
"396","49","115"
"397","48","112"
"398","48","115"
"399","48","120"
"400","48","137"
"401","48","160"
"402","48","189"
"403","112","154"
"404","112","162"
"405","112","176"
"406","112","180"
"407","113","154"
"408","108","115"
"409","15","114"
"410","15","115"
"411","15","154"
"412","15","172"
"413","118","172"
"414","117","115"
"415","117","190"
"416","47","112"
"417","47","123"
"418","47","135"
"419","123","130"
"420","123","154"
"421","123","162"
"422","123","189"
"423","76","115"
"424","16","154"
"425","16","172"
"426","115","115"
"427","17","172"
