"FdSpawnFertID","FdSpawningAreaID","LkupSpawnFertStage","VLMonth","Peaks/Notes"
"193","232","3","August",""
"195","231","3","May","Peak Spawning"
"196","231","3","June","Peak Spawning"
"197","231","3","July",""
"198","231","3","August",""
"199","233","3","May",""
"200","233","3","June",""
"201","233","3","July",""
"202","233","3","August",""
"203","233","3","September",""
"204","230","3","April",""
"205","230","3","May",""
"206","230","3","June",""
"207","230","3","July",""
"208","230","3","August",""
"209","391","2","April",""
"210","391","2","May",""
"211","391","2","June",""
"212","391","2","July",""
"213","391","2","August",""
"214","391","2","September",""
"215","391","2","October",""
"219","390","2","July",""
"220","390","2","August",""
"221","390","2","September",""
"222","390","2","October",""
"224","388","2","May",""
"225","388","2","June",""
"226","388","2","July","Peak Spawning"
"227","388","2","August","Peak Spawning"
"228","388","2","September",""
"229","388","2","October",""
"233","389","2","July",""
"234","389","2","August",""
"237","90","3","March",""
"238","90","3","April",""
"239","90","3","May",""
"240","90","3","June",""
"241","90","3","July",""
"242","91","3","February",""
"243","91","3","March",""
"244","91","3","April",""
"245","89","3","January",""
"246","89","3","February","Peak Spawning"
"247","89","3","March","Peak Spawning"
"248","89","3","April","Peak Spawning"
"249","89","3","May",""
"250","89","3","June",""
"251","89","3","July",""
"252","89","3","August",""
"253","89","3","September",""
"254","89","3","October",""
"255","89","3","November",""
"256","89","3","December",""
"257","93","3","January",""
"258","93","3","February",""
"259","93","3","March","Peak Spawning"
"260","93","3","April","Peak Spawning"
"261","93","3","May","Peak Spawning"
"262","93","3","June",""
"263","93","3","July",""
"264","93","3","August",""
"265","93","3","September",""
"266","93","3","October",""
"267","93","3","November",""
"268","93","3","December",""
"269","92","3","January","Peak Spawning"
"270","92","3","February","Peak Spawning"
"271","92","3","March","Peak Spawning"
"272","92","3","April","Peak Spawning"
"273","92","3","May","Peak Spawning"
"274","92","3","June",""
"275","92","3","July",""
"276","92","3","August",""
"277","92","3","September",""
"278","92","3","October",""
"279","92","3","November",""
"280","92","3","December",""
"281","84","2","January",""
"282","84","2","October",""
"283","84","2","November",""
"284","84","2","December",""
"285","133","2","January","Peak Spawning"
"286","133","2","February","Peak Spawning"
"287","133","2","March",""
"288","133","2","October",""
"289","133","2","November",""
"290","133","2","December",""
"291","132","2","January","Peak Spawning"
"292","132","2","February","Peak Spawning"
"293","132","2","March",""
"296","132","2","December",""
"297","131","2","January",""
"298","131","2","February",""
"299","131","2","March",""
"301","131","2","November",""
"302","131","2","December",""
"303","130","2","January","Peak Spawning"
"304","130","2","February","Peak Spawning"
"305","130","2","March",""
"308","130","2","December",""
"309","245","2","January",""
"310","245","2","February",""
"311","245","2","March",""
"313","246","2","February",""
"315","250","2","January",""
"316","250","2","February",""
"317","250","2","March",""
"318","249","2","January",""
"319","249","2","February",""
"320","249","2","March","Peak Spawning"
"321","249","2","April","Peak Spawning"
"322","249","2","May",""
"323","249","2","June",""
"324","249","2","July",""
"325","249","2","August",""
"326","249","2","September",""
"327","249","2","November",""
"328","249","2","December",""
"329","248","2","January",""
"330","248","2","February",""
"331","248","2","March",""
"338","248","2","November",""
"339","248","2","December","Peak Spawning"
"340","248","2","October",""
"341","247","2","January","Peak Spawning"
"342","247","2","February",""
"343","247","2","March",""
"344","247","2","November",""
"345","247","2","December",""
"346","247","2","October",""
"347","419","4","April",""
"348","419","4","May",""
"349","421","4","September",""
"350","421","4","October",""
"351","422","4","March",""
"352","422","4","April","Peak Spawning"
"353","422","4","May","Peak Spawning"
"354","422","4","June",""
"355","422","4","July",""
"356","422","4","August",""
"357","420","5","March",""
"358","420","5","April","Peak Fertilization"
"359","420","5","May","Peak Fertilization"
"360","420","5","June",""
"366","165","5","January",""
"367","165","5","February",""
"368","165","5","March",""
"369","165","5","April",""
"370","165","5","May",""
"371","165","5","December",""
"372","164","4","January",""
"373","164","4","February",""
"374","164","4","March",""
"375","164","4","April",""
"376","164","4","May",""
"377","164","4","June",""
"378","164","4","July",""
"379","164","4","August",""
"380","166","5","March",""
"381","166","5","April",""
"382","166","5","May",""
"383","166","5","June",""
"384","166","5","July",""
"385","166","5","August",""
"386","162","5","February",""
"387","162","6","March",""
"388","162","6","April",""
"389","162","6","May",""
"390","162","6","June",""
"391","163","4","January",""
"392","163","4","February",""
"393","163","4","March",""
"394","163","4","April",""
"395","163","4","May",""
"397","70","5","March",""
"398","70","5","April",""
"399","70","5","May",""
"400","405","6","January",""
"401","405","6","October",""
"402","405","6","November","Peak Spawning"
"403","405","6","December","Peak Fertilization"
"404","404","4","July",""
"405","404","4","August",""
"406","404","4","September",""
"407","403","6","January",""
"408","403","6","February",""
"409","403","6","March",""
"410","403","6","April",""
"411","403","6","May",""
"412","403","6","June",""
"413","403","6","July",""
"414","403","6","August",""
"415","403","6","September",""
"416","403","6","October",""
"417","403","6","November",""
"418","403","6","December",""
"419","406","5","September",""
"420","406","5","October",""
"421","406","5","November",""
"422","406","5","December",""
"423","407","6","March",""
"424","407","6","April",""
"425","407","6","May",""
"426","407","6","June",""
"427","87","4","January",""
"428","87","4","February",""
"429","87","4","March",""
"430","87","4","April",""
"431","86","5","January",""
"432","86","4","February",""
"433","86","4","March",""
"434","86","4","April",""
"435","86","5","December",""
"436","88","5","January",""
"437","88","4","February",""
"438","88","4","March",""
"439","88","4","April",""
"440","88","5","December",""
"441","101","4","June",""
"442","101","4","July",""
"443","101","4","August",""
"444","169","5","April",""
"445","169","5","May",""
"446","169","5","June",""
"447","169","5","July",""
"448","169","5","August",""
"449","240","5","June",""
"450","240","5","July",""
"451","240","5","August",""
"452","241","5","April",""
"453","241","5","May",""
"454","425","5","June",""
"455","425","4","September",""
"456","424","5","June",""
"457","424","4","August",""
"458","424","4","September",""
"459","167","4","June",""
"460","167","4","July",""
"461","167","4","August",""
"462","168","4","June",""
"463","168","4","July",""
"464","168","4","August",""
"465","216","5","June",""
"466","216","5","July",""
"467","216","5","August",""
"468","102","6","January",""
"469","102","6","February",""
"470","102","6","March",""
"471","102","6","April",""
"472","102","6","May",""
"473","102","6","June",""
"474","102","6","July","Peak Spawning"
"475","102","6","August","Peak Spawning"
"476","102","6","September","Peak Spawning"
"477","102","6","October","Peak Spawning"
"478","102","6","November",""
"479","102","6","December",""
"480","103","6","January",""
"481","103","6","February",""
"482","103","6","March",""
"483","103","6","April",""
"484","103","6","May",""
"485","103","6","June","Peak Spawning"
"486","103","6","July","Peak Spawning"
"487","103","6","August","Peak Spawning"
"488","103","6","September","Peak Spawning"
"489","103","6","October","Peak Spawning"
"490","103","6","November","Peak Spawning"
"491","103","6","December",""
"492","104","6","January",""
"493","104","6","February",""
"494","104","6","March",""
"495","104","6","April",""
"496","104","6","May",""
"497","104","6","June",""
"498","104","6","July","Peak Spawning"
"499","104","6","August","Peak Spawning"
"500","104","6","September","Peak Spawning"
"501","104","6","October","Peak Spawning"
"502","104","6","November",""
"503","104","6","December",""
"504","82","2","April",""
"505","82","2","May",""
"506","82","2","June","Peak Spawning"
"507","82","2","July","Peak Spawning"
"508","82","2","August",""
"509","82","2","September",""
"510","82","2","October",""
"511","82","2","November",""
"512","82","2","December",""
"513","85","2","July",""
"514","85","2","August",""
"515","85","2","September",""
"516","149","2","April",""
"517","149","2","May",""
"518","149","2","June",""
"519","149","2","July",""
"520","149","2","August",""
"521","149","2","September",""
"522","149","2","October",""
"523","83","3","June",""
"524","83","3","July","Peak Spawning"
"525","83","3","August",""
"526","83","3","September",""
"527","183","3","March",""
"528","183","3","April",""
"529","183","3","May",""
"530","183","3","June","Peak Spawning"
"531","183","3","July","Peak Spawning"
"532","183","3","August","Peak Spawning"
"533","183","3","September","Peak Spawning"
"534","183","3","October",""
"535","387","3","July","Peak Spawning"
"536","387","3","August","Peak Spawning"
"537","387","3","September","Peak Spawning"
"538","387","3","October","Peak Spawning"
"539","29","3","June",""
"540","29","3","July",""
"541","29","3","August",""
"543","30","3","June",""
"544","30","3","July","Peak Spawning"
"545","30","3","August",""
"546","31","3","January",""
"547","31","3","February",""
"548","31","3","March",""
"549","31","3","April",""
"550","31","3","May",""
"551","31","3","October",""
"552","31","3","November",""
"553","31","3","December",""
"554","28","3","January",""
"555","28","3","February",""
"556","28","3","March",""
"560","28","3","November",""
"561","28","3","December",""
"562","153","3","January",""
"563","153","3","February",""
"573","153","3","December",""
"582","156","3","September",""
"583","156","3","October","Peak Spawning"
"584","156","3","November","Peak Spawning"
"585","156","3","December",""
"586","154","3","January",""
"587","154","3","February",""
"588","154","3","March",""
"589","154","3","April",""
"590","154","3","May",""
"591","154","3","June",""
"592","154","3","July",""
"595","154","3","October",""
"596","154","3","November",""
"597","154","3","December",""
"598","160","3","January",""
"607","160","3","October",""
"608","160","3","November","Peak Spawning"
"609","160","3","December","Peak Spawning"
"619","157","3","October",""
"622","158","3","January",""
"630","158","3","September",""
"631","158","3","October",""
"632","158","3","November",""
"633","158","3","December",""
"638","151","3","May",""
"639","151","3","June",""
"640","151","3","July",""
"641","151","3","August",""
"646","159","3","January",""
"647","159","3","February",""
"648","159","3","March",""
"649","159","3","April",""
"650","159","3","May",""
"655","159","3","October",""
"656","159","3","November",""
"657","159","3","December",""
"660","152","3","March",""
"661","152","3","April",""
"662","152","3","May",""
"663","152","3","June",""
"664","152","3","July",""
"665","152","3","August",""
"671","161","3","February",""
"672","161","3","March",""
"673","161","3","April",""
"674","161","3","May",""
"675","161","3","June",""
"676","161","3","July",""
"682","155","3","January",""
"683","155","3","November",""
"684","155","3","December",""
"687","416","3","March","Peak Spawning"
"688","416","3","April",""
"689","416","3","May",""
"697","417","3","January",""
"698","417","3","February",""
"699","417","3","March",""
"700","417","3","April",""
"701","417","3","May",""
"708","417","3","December",""
"711","418","3","March",""
"712","418","3","April",""
"713","418","3","May",""
"729","397","3","September",""
"730","397","3","October",""
"731","397","3","November",""
"733","400","3","January",""
"734","400","3","February","Peak Spawning"
"735","400","3","March","Peak Spawning"
"736","400","3","April",""
"744","400","3","December",""
"745","401","3","January",""
"746","401","3","February",""
"747","401","3","March",""
"748","401","3","April",""
"756","401","3","December",""
"757","399","3","January",""
"758","399","3","February",""
"759","399","3","March",""
"760","399","3","April",""
"768","399","3","December",""
"769","398","3","January",""
"770","398","3","February",""
"780","398","3","December",""
"781","402","3","January",""
"782","402","3","February",""
"783","402","3","March",""
"790","402","3","October",""
"791","402","3","November",""
"792","402","3","December",""
"793","396","3","January",""
"794","396","3","February",""
"795","396","3","March",""
"796","396","3","April",""
"797","396","3","May",""
"798","396","3","June",""
"799","396","3","July",""
"800","396","3","August",""
"801","396","3","September",""
"805","109","3","January",""
"806","109","3","February",""
"807","109","3","March",""
"808","109","3","April",""
"809","109","3","May",""
"810","109","3","June","Peak Spawning"
"811","109","3","July","Peak Spawning"
"812","109","3","August","Peak Spawning"
"813","109","3","September","Peak Spawning"
"814","109","3","October",""
"818","113","3","January",""
"819","113","3","February",""
"820","113","3","March",""
"821","113","3","April",""
"822","113","3","May",""
"823","113","3","June",""
"824","113","3","July",""
"825","113","3","August",""
"826","113","3","September",""
"827","113","3","October",""
"828","113","3","November",""
"829","113","3","December",""
"830","114","3","January",""
"831","114","3","February",""
"832","114","3","March",""
"834","114","3","May",""
"835","114","3","June",""
"836","114","3","July",""
"837","114","3","August",""
"838","114","3","September",""
"839","114","3","October",""
"840","114","3","November",""
"841","114","3","December",""
"842","112","3","January",""
"843","112","3","February",""
"844","112","3","March",""
"845","112","3","April",""
"846","112","3","May",""
"847","112","3","June",""
"848","112","3","July",""
"849","112","3","August",""
"850","112","3","September",""
"851","112","3","October",""
"852","112","3","November",""
"853","112","3","December",""
"856","111","3","March",""
"857","111","3","April",""
"858","111","3","May",""
"859","111","3","June",""
"860","111","3","July",""
"861","111","3","August",""
"862","111","3","September",""
"866","110","3","January",""
"867","110","3","February",""
"868","110","3","March",""
"869","110","3","April",""
"870","110","3","May",""
"871","110","3","June",""
"872","110","3","July",""
"873","110","3","August",""
"874","110","3","September",""
"875","110","3","October",""
"878","408","2","June",""
"879","408","2","July",""
"880","408","2","August",""
"881","408","2","September",""
"882","33","2","June",""
"883","33","2","July",""
"884","33","2","August",""
"885","34","2","August",""
"886","34","2","September",""
"887","34","2","October",""
"888","121","2","March",""
"889","121","2","April",""
"890","121","2","May",""
"891","121","2","June",""
"892","121","2","July",""
"893","121","2","August",""
"894","121","2","September",""
"895","121","2","October",""
"898","26","3","March",""
"899","26","3","April",""
"900","26","3","May",""
"901","26","3","June",""
"902","26","3","July",""
"903","26","3","August",""
"920","25","3","January",""
"921","25","3","February","Peak Spawning"
"922","25","3","March",""
"923","25","3","April","Peak Spawning"
"924","25","3","May","Peak Spawning"
"925","25","3","June","Peak Spawning"
"926","25","3","July",""
"927","25","3","August",""
"934","27","3","March",""
"935","27","3","April",""
"936","27","3","May","Peak Spawning"
"937","27","3","June","Peak Spawning"
"938","27","3","July",""
"939","27","3","August",""
"940","27","3","September",""
"945","71","3","January",""
"946","71","3","February",""
"947","71","3","March",""
"948","71","3","April",""
"949","71","3","May",""
"955","71","3","November",""
"956","71","3","December",""
"957","73","3","January","Peak Spawning"
"958","73","3","February","Peak Spawning"
"959","73","3","March","Peak Spawning"
"960","73","3","April",""
"961","73","3","May",""
"962","73","3","June",""
"963","73","3","July",""
"964","73","3","August",""
"967","73","3","November",""
"968","73","3","December",""
"969","74","3","January",""
"970","74","3","February",""
"971","74","3","March",""
"972","74","3","April",""
"973","74","3","May",""
"977","74","3","September",""
"978","74","3","October",""
"979","74","3","November",""
"980","74","3","December",""
"981","72","3","January","Peak Spawning"
"982","72","3","February",""
"983","72","3","March",""
"987","72","3","July",""
"988","72","3","August",""
"989","72","3","September","Peak Spawning"
"990","72","3","October",""
"991","72","3","November",""
"992","72","3","December",""
"993","75","3","January","Peak Spawning"
"994","75","3","February","Peak Spawning"
"995","75","3","March","Peak Spawning"
"996","75","3","April",""
"997","75","3","May",""
"1002","75","3","October",""
"1003","75","3","November",""
"1004","75","3","December",""
"1010","150","3","June",""
"1011","150","3","July","Peak Spawning"
"1012","150","3","August","Peak Spawning"
"1013","150","3","September",""
"1014","150","3","October",""
"1021","242","3","May",""
"1022","242","3","June",""
"1023","242","3","July",""
"1024","242","3","August",""
"1030","392","3","February",""
"1031","392","3","March",""
"1032","392","3","April",""
"1033","392","3","May","Peak Spawning"
"1034","392","3","June","Peak Spawning"
"1035","392","3","July","Peak Spawning"
"1036","392","3","August",""
"1037","392","3","September",""
"1038","392","3","October",""
"1043","393","3","March","Peak Spawning"
"1044","393","3","April","Peak Spawning"
"1045","393","3","May",""
"1046","393","3","June",""
"1047","393","3","July",""
"1048","393","3","August",""
"1049","393","3","September",""
"1050","393","3","October",""
"1055","423","3","March",""
"1056","423","3","April",""
"1057","423","3","May",""
"1058","423","3","June",""
"1059","423","3","July",""
"1060","423","3","August",""
"1068","184","3","April",""
"1069","184","3","May","Peak Spawning"
"1070","184","3","June","Peak Spawning"
"1071","184","3","July","Peak Spawning"
"1072","184","3","August","Peak Spawning"
"1073","184","3","September","Peak Spawning"
"1074","184","3","October",""
"1075","184","3","November",""
"1082","185","3","June",""
"1083","185","3","July",""
"1084","185","3","August",""
"1085","185","3","September",""
"1092","186","3","April",""
"1093","186","3","May",""
"1094","186","3","June",""
"1095","186","3","July","Peak Spawning"
"1096","186","3","August","Peak Spawning"
"1097","186","3","September",""
"1098","186","3","October",""
"1099","186","3","November",""
"1101","394","2","April",""
"1102","394","2","May","Peak Spawning"
"1103","394","2","June","Peak Spawning"
"1104","394","2","July","Peak Spawning"
"1105","394","2","August",""
"1106","394","2","September",""
"1110","395","2","July",""
"1111","32","3","January",""
"1112","32","3","February","Peak Spawning"
"1113","32","3","March","Peak Spawning"
"1114","32","3","April","Peak Spawning"
"1115","32","3","May",""
"1116","426","3","October",""
"1117","426","3","November",""
"1118","426","3","December",""
"1121","201","3","March",""
"1122","201","3","April",""
"1123","201","3","May",""
"1124","201","3","June",""
"1125","201","3","July",""
"1126","201","3","August",""
"1131","202","3","January",""
"1132","202","3","February",""
"1133","202","3","March",""
"1134","202","3","April",""
"1135","202","3","May",""
"1136","202","3","June",""
"1137","202","3","July",""
"1138","202","3","August",""
"1139","202","3","September",""
"1140","202","3","October",""
"1141","202","3","November",""
"1142","202","3","December",""
"1156","203","3","February",""
"1157","203","3","March",""
"1158","203","3","April",""
"1159","203","3","May",""
"1160","203","3","June",""
"1192","415","6","February",""
"1193","415","6","March",""
"1194","415","6","April",""
"1195","415","6","May",""
"1196","415","6","June",""
"1197","415","6","July",""
"1203","414","6","May",""
"1204","414","6","June",""
"1205","413","6","January",""
"1206","413","6","February",""
"1207","413","6","March",""
"1208","413","6","April",""
"1209","413","6","May",""
"1210","413","6","June",""
"1211","413","6","July",""
"1212","413","6","August",""
"1213","413","6","September",""
"1214","413","6","October",""
"1215","413","6","November",""
"1216","413","6","December",""
"1221","244","3","May",""
"1222","244","3","June",""
"1223","244","3","July","Peak Spawning"
"1224","244","3","August",""
"1225","244","3","September",""
"1232","243","3","April",""
"1233","243","3","May",""
"1234","243","3","June",""
"1235","243","3","July",""
"1236","243","3","August",""
"1237","243","3","September",""
"1241","251","7","January",""
"1242","251","3","February",""
"1243","251","3","March",""
"1244","251","3","April","Peak Spawning"
"1245","251","3","May","Peak Fertilization"
"1246","251","3","June","Peak Spawning"
"1247","251","2","July",""
"1252","251","3","December",""
"1253","253","3","March",""
"1254","253","3","April",""
"1255","252","2","February","Peak Spawning"
"1256","252","2","March","Peak Spawning"
"1257","252","2","April","Peak Spawning"
"1258","252","2","May","Peak Spawning"
"1259","252","7","December",""
"1260","254","2","January",""
"1261","254","2","February",""
"1262","254","2","March",""
"1263","254","2","April",""
"1271","254","2","December",""
"1272","259","7","January",""
"1273","259","7","February",""
"1274","259","3","March",""
"1275","259","3","April","Peak Spawning"
"1276","259","3","May","Peak Spawning"
"1277","259","3","June",""
"1278","259","3","July",""
"1288","257","2","May",""
"1289","257","2","June",""
"1296","256","2","January",""
"1300","256","3","May","Peak Fertilization"
"1301","256","2","June","Peak Spawning"
"1302","256","2","July",""
"1307","256","2","December",""
"1308","258","3","January","Peak Spawning"
"1309","258","3","February",""
"1310","258","3","March",""
"1311","258","3","April",""
"1312","258","3","May",""
"1313","258","2","June",""
"1314","258","2","July",""
"1315","258","2","August",""
"1316","258","7","September",""
"1317","258","7","October","Peak Fertilization"
"1318","258","7","November",""
"1319","258","7","December","Peak Fertilization"
"1320","255","2","January","Peak Spawning"
"1324","255","2","May","Peak Spawning"
"1325","255","2","June","Peak Spawning"
"1331","255","2","December","Peak Spawning"
"1334","262","3","March","Peak Spawning"
"1335","262","3","April",""
"1336","262","3","May",""
"1344","260","3","January",""
"1345","260","3","February","Peak Fertilization"
"1346","260","3","March","Peak Fertilization"
"1347","260","2","April",""
"1348","260","2","May","Peak Spawning"
"1349","260","2","June",""
"1350","260","2","July",""
"1353","260","7","October",""
"1354","260","7","November",""
"1355","260","7","December",""
"1356","263","7","January",""
"1357","263","7","February",""
"1360","263","2","May",""
"1369","261","2","February","Peak Spawning"
"1370","261","2","March","Peak Spawning"
"1382","264","3","March",""
"1383","264","3","April",""
"1384","264","3","May",""
"1385","264","2","June",""
"1386","264","2","July",""
"1392","269","7","January",""
"1393","269","7","February",""
"1394","269","3","March","Peak Fertilization"
"1395","269","3","April","Peak Spawning"
"1396","269","3","May",""
"1397","269","2","June",""
"1398","269","2","July",""
"1403","269","7","December",""
"1416","268","2","May",""
"1417","267","7","January","Peak Fertilization"
"1418","267","2","February","Peak Spawning"
"1429","265","2","January",""
"1430","265","2","February",""
"1431","265","2","March",""
"1432","265","2","April",""
"1436","265","7","August",""
"1437","265","7","September",""
"1438","265","7","October",""
"1439","265","7","November",""
"1441","266","2","February",""
"1442","266","2","June",""
"1443","273","2","April",""
"1444","273","2","May",""
"1448","272","3","April","Peak Fertilization"
"1449","272","2","May","Peak Spawning"
"1450","272","2","June",""
"1451","272","2","July",""
"1452","272","2","August",""
"1453","272","2","September",""
"1459","270","7","March",""
"1460","270","2","April",""
"1461","270","2","May",""
"1462","270","2","June",""
"1467","270","7","November",""
"1470","274","2","February",""
"1471","274","2","March",""
"1472","274","2","April","Peak Spawning"
"1473","274","2","May",""
"1474","274","2","June",""
"1475","274","2","July",""
"1481","271","2","May","Peak Spawning"
"1482","271","2","June","Peak Spawning"
"1484","277","7","January","Peak Fertilization"
"1485","277","2","February","Peak Spawning"
"1486","277","2","March",""
"1487","275","3","January",""
"1488","275","3","February",""
"1489","275","2","March",""
"1490","275","2","April",""
"1491","275","2","May",""
"1492","275","7","October",""
"1493","275","7","November",""
"1494","275","7","December","Peak Fertilization"
"1507","278","7","January",""
"1508","278","7","February",""
"1510","278","2","April",""
"1511","278","2","May",""
"1512","278","2","June",""
"1513","278","2","July",""
"1519","276","2","February","Peak Spawning"
"1520","276","2","March","Peak Spawning"
"1525","281","7","February","Peak Fertilization"
"1526","281","2","March",""
"1527","281","2","April","Peak Spawning"
"1528","281","2","May",""
"1529","279","2","January",""
"1530","279","2","March",""
"1531","279","2","April",""
"1532","279","2","May",""
"1533","279","2","June",""
"1534","279","7","September",""
"1540","282","2","February",""
"1541","282","2","March",""
"1542","282","2","April",""
"1543","282","2","May","Peak Spawning"
"1544","282","2","June",""
"1545","282","2","July",""
"1551","280","2","April","Peak Spawning"
"1552","280","2","May","Peak Spawning"
"1553","284","2","January",""
"1554","284","2","February","Peak Spawning"
"1555","284","2","March",""
"1556","284","2","April",""
"1557","284","2","May",""
"1563","284","7","November",""
"1564","284","7","December",""
"1565","283","2","February","Peak Spawning"
"1566","285","7","February",""
"1567","285","7","May",""
"1568","286","2","June","Peak Spawning"
"1569","290","7","March",""
"1570","290","7","April",""
"1571","290","3","May",""
"1572","290","2","June","Peak Spawning"
"1573","290","2","July",""
"1577","289","7","April","Peak Fertilization"
"1578","289","2","May","Peak Spawning"
"1579","289","2","June",""
"1580","289","2","July",""
"1586","287","7","March",""
"1587","287","2","May",""
"1588","287","2","June","Peak Spawning"
"1589","287","2","July","Peak Spawning"
"1590","287","2","August",""
"1591","291","2","January",""
"1592","291","2","February",""
"1593","291","2","March",""
"1594","291","2","April","Peak Spawning"
"1595","291","2","May",""
"1596","291","2","June",""
"1597","291","2","July",""
"1605","288","2","March","Peak Spawning"
"1606","288","2","April","Peak Spawning"
"1607","288","2","May","Peak Spawning"
"1608","288","2","June","Peak Spawning"
"1615","295","2","May","Peak Spawning"
"1617","292","3","February",""
"1618","292","3","March",""
"1619","292","3","April",""
"1620","292","3","May",""
"1621","292","3","June",""
"1622","292","3","July",""
"1623","292","2","August",""
"1624","292","3","September",""
"1628","293","2","June","Peak Spawning"
"1629","297","7","April",""
"1630","297","3","May","Peak Spawning"
"1631","297","3","June","Peak Spawning"
"1632","296","2","May",""
"1633","296","2","June",""
"1634","294","2","May","Peak Spawning"
"1635","294","2","June","Peak Spawning"
"1636","299","3","February","Peak Fertilization"
"1637","299","2","March","Peak Spawning"
"1638","300","2","January","Peak Spawning"
"1639","300","2","February","Peak Spawning"
"1640","300","2","March",""
"1641","300","2","April",""
"1642","298","2","March","Peak Spawning"
"1643","304","2","May",""
"1644","304","2","June",""
"1645","304","2","July",""
"1647","301","7","January",""
"1648","301","7","February",""
"1649","301","3","March",""
"1650","301","3","April",""
"1651","301","3","May",""
"1652","301","3","June",""
"1653","301","3","July",""
"1687","302","2","April","Peak Spawning"
"1688","307","7","March",""
"1689","307","3","April","Peak Spawning"
"1690","307","2","May",""
"1691","306","2","June",""
"1692","305","3","January","Peak Fertilization"
"1693","305","2","February","Peak Spawning"
"1694","305","2","March",""
"1695","305","2","April",""
"1696","305","2","May",""
