"ReferenceName","MaturityID"
"808","1932"
"1307","1932"
"1110","1933"
"1307","1933"
"303","1934"
"831","1935"
"1110","1936"
"1110","1937"
"1451","1938"
"110","1938"
"842","1938"
"1392","1939"
"536","1939"
"1451","1944"
"1307","1944"
"808","1940"
"1307","1940"
"1503","1943"
"1110","1941"
"795","1942"
"1451","1950"
"842","1950"
"808","1945"
"1392","1951"
"536","1951"
"83","1952"
"1113","1946"
"303","1947"
"1110","1948"
"7","1949"
"1451","1956"
"849","1954"
"842","1954"
"808","1953"
"1110","1955"
"1451","1962"
"1307","1962"
"808","1960"
"1307","1960"
"1503","1961"
"1473","1958"
"1473","1959"
"1110","1957"
"1451","1967"
"849","1964"
"808","1963"
"1110","1965"
"842","1966"
"849","1968"
"1110","1969"
"842","1969"
"1451","1976"
"1307","1976"
"1201","1970"
"849","1972"
"1419","1973"
"1110","1974"
"100","1971"
"842","1975"
"1451","1983"
"1201","1977"
"1419","1979"
"1419","1980"
"1110","1981"
"100","1978"
"842","1982"
"1451","1987"
"849","1984"
"1110","1985"
"842","1986"
"1451","1992"
"1307","1992"
"1156","1991"
"1392","1994"
"536","1994"
"83","1993"
"1113","1990"
"1110","1988"
"1453","1989"
"1451","2001"
"842","2001"
"1156","2000"
"916","1997"
"83","2002"
"1110","1998"
"1501","1999"
"1379","1996"
"842","1995"
"1451","2008"
"1307","2008"
"849","2003"
"808","2004"
"1074","2009"
"1110","2005"
"1073","2006"
"842","2007"
"1451","2018"
"1307","2018"
"808","2014"
"942","2010"
"916","2012"
"944","2013"
"1374","2019"
"1307","2019"
"1110","2015"
"1501","2016"
"842","2016"
"934","2017"
"784","2011"
"1451","2022"
"842","2022"
"808","2020"
"1110","2021"
"1451","2026"
"849","2024"
"1110","2025"
"1451","2038"
"808","2028"
"547","2032"
"1419","2033"
"916","2029"
"1074","2039"
"1110","2034"
"8","2030"
"1167","2027"
"100","2031"
"102","2037"
"1071","2035"
"842","2036"
"1201","2040"
"1419","2042"
"100","2041"
"831","2044"
"808","2043"
"454","2045"
"1451","2049"
"849","2046"
"842","2046"
"808","2047"
"1110","2048"
"849","2050"
"842","2050"
"1451","2057"
"808","2051"
"1156","2056"
"916","2052"
"1110","2054"
"100","2053"
"1453","2055"
"1307","2055"
"1451","2060"
"842","2060"
"244","2058"
"1110","2059"
"1451","2064"
"849","2061"
"1419","2062"
"1074","2065"
"1110","2063"
"849","2066"
"1451","2072"
"842","2072"
"836","2067"
"838","2067"
"935","2067"
"808","2068"
"1110","2069"
"1406","2070"
"443","2071"
"756","2077"
"1040","2080"
"1147","2078"
"201","2074"
"691","2075"
"100","2076"
"941","2081"
"842","2079"
"145","2085"
"756","2086"
"244","2087"
"1040","2088"
"691","2082"
"100","2083"
"1307","2084"
"436","1882"
"1285","1883"
"284","1884"
"288","1885"
"856","1881"
"303","1886"
"1","1880"
"38","1887"
"842","1887"
"1030","1889"
"284","1890"
"856","1888"
"1285","2101"
"577","2101"
"42","2101"
"1376","2102"
"506","2102"
"1104","1741"
"886","1740"
"1307","1740"
"842","1740"
"453","1742"
"1307","1742"
"506","2133"
"842","2133"
"1","1902"
"817","1839"
"454","1839"
"842","1839"
"1500","2016"
"1500","1999"
