"ReferenceName","ForagingGuildID"
"1","120"
"613","222"
"170","223"
"59","223"
"1095","258"
"193","54"
"33","217"
"453","43"
"1","46"
"1032","228"
"244","228"
"436","220"
"244","220"
"244","67"
"912","67"
"436","119"
"785","119"
"244","127"
"1","248"
"1","234"
"1","242"
"1","239"
"1","236"
"1","156"
"1","389"
"436","215"
"244","41"
"471","45"
"244","226"
"244","218"
"1333","218"
"1","65"
"436","118"
"785","118"
"244","125"
"1","246"
"40","232"
"615","232"
"1","240"
"1","237"
"1","214"
"1098","216"
"842","42"
"1","44"
"47","227"
"40","219"
"771","219"
"748","219"
"771","66"
"436","117"
"787","126"
"477","126"
"1","247"
"615","233"
"40","233"
"40","241"
"1","238"
"40","235"
"40","388"
"1","159"
"1","161"
"580","157"
"443","158"
"580","160"
"1378","76"
"1","75"
"1138","93"
"1077","194"
"1138","94"
"92","186"
"1077","195"
"197","195"
"255","195"
"472","195"
"483","95"
"598","96"
"1477","97"
"759","98"
"942","188"
"1301","188"
"483","188"
"1096","191"
"248","192"
"1072","193"
"472","198"
"1001","79"
"1","86"
"1095","77"
"1215","78"
"1257","78"
"655","78"
"613","78"
"948","78"
"1407","78"
"1222","80"
"96","80"
"97","80"
"96","84"
"655","84"
"613","84"
"1407","84"
"451","84"
"97","87"
"1095","162"
"655","163"
"613","163"
"1407","163"
"451","163"
"1222","165"
"97","165"
"609","203"
"1222","82"
"1095","201"
"581","202"
"394","202"
"581","204"
"394","204"
"595","205"
"1222","364"
"394","364"
"431","23"
"1","22"
"1322","171"
"1322","172"
"1324","169"
"1322","170"
"1","81"
"436","394"
"436","375"
"1","114"
"436","112"
"436","395"
"436","376"
"1","116"
"842","393"
"436","393"
"983","396"
"1","374"
"436","377"
"454","373"
"436","113"
"842","115"
"454","115"
"189","115"
"1","386"
"1095","387"
"817","39"
"581","39"
"172","39"
"1","122"
"177","37"
"1085","37"
"610","37"
"581","37"
"173","37"
"399","37"
"394","37"
"609","37"
"540","37"
"662","37"
"172","37"
"177","40"
"1085","40"
"610","40"
"581","40"
"173","40"
"399","40"
"394","40"
"609","40"
"540","40"
"662","40"
"172","40"
"1095","38"
"394","123"
"335","124"
"1225","124"
"436","19"
"1","72"
"1","166"
"1","367"
"436","20"
"39","74"
"1","167"
"1","263"
"1","368"
"436","21"
"852","73"
"1387","73"
"1003","168"
"1","264"
"227","369"
"609","403"
"1","267"
"1","265"
"1","274"
"1","275"
"1","273"
"1","277"
"1","278"
"1","276"
"1","280"
"1","281"
"1","283"
"1","284"
"1","282"
"1","286"
"1","287"
"1","285"
"1","289"
"1","290"
"1","288"
"1","292"
"1","293"
"1","295"
"1","296"
"1","298"
"1","299"
"1","297"
"1","301"
"1","302"
"1","300"
"1","303"
"1","305"
"1","304"
"1","307"
"1","306"
"1","308"
"1","310"
"1","311"
"1","309"
"1","312"
"1","314"
"1","313"
"1","316"
"1","317"
"394","315"
"172","315"
"1","319"
"1","320"
"1","318"
"1","322"
"1","323"
"1","321"
"1","324"
"1","325"
"1","326"
"1","327"
"1","328"
"1","329"
"1","330"
"1","331"
"1","332"
"1","334"
"1","333"
"1","335"
"1","337"
"1","338"
"1","336"
"1","339"
"1","340"
"1","341"
"1","342"
"1","343"
"1","344"
"1","345"
"1","347"
"1","346"
"1","348"
"1","349"
"1","350"
"1","351"
"1","352"
"1","354"
"1","355"
"1095","353"
"1095","356"
"1","357"
"1","358"
"1","359"
"1","360"
"1","361"
"1","362"
"1","363"
"1095","266"
"1095","279"
"1095","291"
"1095","294"
"1","206"
"1","211"
"1","207"
"1","209"
"1","212"
"817","208"
"335","208"
"1","210"
"1","213"
"1","370"
"1","371"
"1","372"
"1104","24"
"1194","24"
"657","24"
"659","24"
"952","24"
"1195","24"
"107","26"
"1104","28"
"1194","28"
"657","28"
"659","28"
"1195","28"
"417","28"
"107","30"
"1350","29"
"1350","25"
"952","32"
"593","33"
"1194","34"
"657","407"
"1194","407"
"657","409"
"1194","409"
"659","409"
"319","410"
"1194","411"
"1257","27"
"698","27"
"655","27"
"593","27"
"1195","27"
"613","27"
"1307","27"
"1","31"
"1287","408"
"952","408"
"655","408"
"1195","408"
"319","408"
"613","408"
"653","221"
"1","392"
"1","390"
"1096","391"
"1","102"
