Fish:,,,,,,
"",,,"$2,733","$2,277",$256,"$5,266"
"Skate................ 145,460","35,017","48,514","45,649",417,,275.057
"$34,909","$8,237","$4,747","$5,513",$121,,"$53,527"
"Smelt, top or jack....",,867,"2,176","5,153",490,"8,686"
"",,$175,$285,$755,$120,"$1,335"
"Smelt, true.......... 67,041",3.697,"10,741","2,864",23.451,74,"107,868"
"$9,775","$1,338","$2,832",$419,"$2,959",$30,"$17,353"
"Smelt, whitebait..... 260,346","3,751",,55,297,,"264,449"
"$74,563",$882,,$7,$45,,"$75,497"
"Sole, Dover.......... 14,049,473","4,344,325","2,262,845","113,443",,,"20,770.086"
"$2,651,932","$828,421","$427,828","$17,654",,,"$3,925,835"
"Sole, English........ 1,878,088","1,270,847","342,896","482,911",,40,"3,974,782"
"$509,886","$349,565","$76,423","$116,507",,$13,"$1,052,394"
"Sole, petrale........ 1,160,490","739,199","274,689","459,604",62,,"2,634,044"
"$437,968","$272,576","$101,013","$174,856",$36,,"$986,449"
"1,083,564","299,956","118,711","34,901",215,,"1,537,347"
"$303,658","$85,392","$30,541","$8,511",$97,,"$428,199"
"Sole, sand........... 78,425","157,849",542,"12,699",,,"249,515"
"$25,747","$51,654",$176,"$4,148",,,"$81,725"
"Sole, miscellaneous.... 33,251","15,129","2,361","7,372","1,465",255,"59,833"
"$6,293","$4,719",$898,"$2,165",$483,$102,"$14,660"
"Surfperch............ 48,145","19,814","1,224","55,644","25,036","24,201","174,064"
"$18,881","$11,019",$543,"$36,251","$8,234","$10,428","$85,356"
Swordfish............ 190,,480,"333,106","1,753,864","516,593","2,604,233"
"$285",,$840,"$571,384","$3,080,665","$921,439","$4,574,613"
"Thornyhead........... 2,012,201","618,221","285,643","12,882",,,"2,929,147"
"$369,447","$113,830","$53,226","$2,475",,,"$538,978"
"Tuna, albacore....... 2,472,626","1,998,062","5,908,093","3,511,394","3,043,255","4,615,998","21,549,428"
"$1,464,258","$1,213,956","$3,608,121","$2,133,607","$2,397,027","$2,802,477","$13,619,446"
"Tuna, bigeye.........",,,,"2,474,625","313,703","2,788.328"
"",,,,"$1,039,346","$131,790","$1,171,136"
"Tuna, bluefin........",,,,"6,908,588","2,652,755","9.561,343"
"",,,,"$2,959,597","$1,105,925","$4,065,522"
"Tuna, skipjack....... 120",382,275,"7,562","75,255,853","61,921,799","137,185,991"
"$73",$148,$202,"$2,935","$29,705,318","$22,986,876","$52,695,552"
"Tuna, skipjack, black.. 36",,,,"824,680","364,281","1,188,997"
"$8",,,,"$82,476","$36,912","$119,396"
"Tuna, yellowfin......","1,196",,"16,797","109,478,172","81,604,139","191,100,304"
"",$471,,"$6,962","$46,094,926","$33,470,273","$79,572,632"
"Tuna, miscellaneous— .",,,,944,,"1,602",134,"2,680"
"",,,,$500,,"$1,243",$44,"$1,787"
Turbot...............,"7,660",,"5,000",210,"5,287","3,681",64,"21,902"
"","$2,448",,"$1,357",$75,"$1,079","$2,942",$18,"$7,915"
Wahoo................,,,,,,280 $140,"8,059 $3,784","8,339$3,924"
"Whitefish, ocean.....",,,,,"1,268 $499",732 $200,371 $132,"2,371$831"
Yellowtal1...........,,,,,532 $236,"248,399 $74,991","211,851 $72,829","460,782$148,056"
"MisceFllIaSneHou s BfUisLh.L.E..TIN 171,3510",$365,,"2,621 $750","4,562 $722","29,575 $7,745","25,465 $8,911","1,894 $812","65,627$19,305"
Crustacean:,,,,,,,,
"Crab, Dungeness......","8,335,616",,"942,097","6,150","78,114",83,137,"9,362,197"
"","$6,353,637",,"$884,637","$6,240","$39,941",$42,$49,"$7,284,546"
"Crab, California king..",,,,,811 $778,"1,628 $410",,"2,439$1,188"
"Crab, rock...........","34,327",,"2,121",,"618,313","222,038","80,075","956,874"
"","$7,735",,"$1,617",,"$189,604","$101,572","$31,668","$332,196"
"Crab, spider.........",,,,,511 $142,"1,408 $365",,"1,919$507"
"Lobster, California",,,254,,"164,675","188,629","207,428","560,986"
"Prawn, ridgeback..... spiny.......",,,$953,,"$411,481 45,716","$510,450","$564,486","$1,487,37045,716"
"",,,,,"$29,166",,,"$29,166"
"Prawn, spot..........","1,263",,,"11,137","55,147",,,"67,547"
"",,,,"$31,464","$81,801",,,"$113,265"
"Shrimp, Pacific ocean..","13,879,587",,"2,776",79,"4,937",,,"13,887,379"
"","$3,643,429",,"$3,098",$13,"$7,600",,,"$3,654,140"
"Shrimp, miscellaneous..",,,,,52 $185,,,52$185
Miscellaneous,,,,,56,38,,94
crustacean— .,,,,,$20,$10,,$30
Echinoderm:,,,,,,,,
Sea cucumber.........,,,,,"1,413 $714","7,367 $3,705",,"8,780$4,419"
Sea urchin...........,"7,542",,"39,251","4,880","10,095,292","2,685,772","1,594,810","14,427,547"
"",$880,,"$8,563",$747,"$1,181,950","$313,937","$159,303","$1,665,380"
Miscellaneous,,,,,,"4,290",,"4,290"
echinoderm....,,,,,,$661,,$661
Mo Husk:,,,,,,,,
"Abalone, black.......",,,27,,"272,004","136,979","10,966","419,976"
"",,,$66,,"$197,655","$93,965","$8,366","$300,052"
"Abalone, green.......",,,,,"3,903 $6,634","74,227 $113,584","14,912 $23,121","93,042$143,339"
"Abalone, pink........",,,8,,"163,829","98,164","25,334","287,335"
"",,,$13,,"$230,991","$146,185","$35,371","$412,560"
"Abalone, red.........",,,"84,331",,"369,839","6,025","28,952","489,147"
"",,,"$122,039",,"$500,408","$8,237","$35,023","$665,707"
"Abalone, white.......",,,,184,"2,552",912,"3,648"
"",,,,$338,"$4,191","$1,629","$6,158"
"Abalone, miscellaneous.",,192,,1.678,,7,"1,877"
"",,$448,,"$1,696",,$10,"$2,154"
Clam.................,48,400,,43,,100,591
"",§34,$80,,$22,,$60,$196
Mussel...............,,"12,415",723,,,,"13,138"
"",,"$13,307",$362,,,,"$13,669"
Octopus..............,"32,743","3,363",893,1.679,147,165,"38,990"
"","$12,673","$1,243",$414,$476,$68,$98,"$14,972"
"Oyster, eastern......",,270,,,,,270
"",,"$1,426",,,,,"$1,426"
"Oyster, European flat..",,423,,,,,423
"",,"$2,438",,,,,"$2,438"
"Oyster, giant Pacific..","636,325","309,737",,"78,372",,,"1,024,434"
"","$591,782","$472,126",,"$72,888",,,"$1,136,796"
"Snail, sea...........",,315,,201,"20,415",96,"21,027"
"",,$28,,$67,"$4,864",$25,"$4,984"
"Squid, jumbo.........",,,,,"31,000 $1,860",,"31,000$1,860"
"Squid, market.......",202,143,"20,655,397","2,584,009","14,558,476",401,"37,798,628"
"",$75,$57,"$2,192,416","$97,916","$631,480",$55,"$2,921,999"
Total pounds......,65.340.990,29.281.262,40.952.680,49.909.463,"326,175,745","158,393,534","670,053,674"
Total value.......,"$25,694,168","$11,633,995","$10,191,364","$9,824,549","$95,551,490","$63,847,575","$216,743,141"
SHIPMENTS:,,,,,,,
Fish:,,,,,,,
"Tuna, albacore.......",,,,,"27,109,806","8,989,274","36,099,080"
"",,,,,"$19,834,550","$7,048,675","$26,883,225"
"Tuna, bigeye.........",,,,,"2,532,622","392,522","2,925,144"
"",,,,,"$1,809,700","$145,825","$1,955,525"
"Tuna, bluefin........",,,,,"41,790","385,682","427,472"
"",,,,,"$17,134","$158,130","$175,264"
"Tuna, skipjack.......",,,,,"74,191,130","70,067,070","144,258,200"
"",,,,,"$32,728,099","$29,268,253","$61,996,352"
"Tuna, skipjack, black..",,,,,"139,935",,"139,935"
"",,,,,"$14,223",,"$14,223"
"Tuna, yellowfin......",,,,,"26,009,237","38,122,483","64,131,720"
"",,,,,"$15,623,910","$17,572,342","$33,196,252"
Total pounds......,,,,,"130,024,520","117.957,031","247.981,551"
Total value.......,,,,,"$70,027,616","$54,193,225","$124,220,841"
Grand total pounds..,65.340.990,29.281.262,40.952.680,49.909.463,"456,200,265","276,350,565","918,035,225"
Grand total value—,"$25,694,168","$11,633,995","$10,191,364","$9,824,549","$165,579,106","$118,040,800","$340,963,982"
