Fish:,,,,,,,
"$45,112,988Turbot............... $7Wahoo................ 19,985$1,808 $75,831,9966,529 $1,623 5,930",,237 $71,,"7,266 $954",,"$30,719,008 23 4,065 8,386","$4,46312,451"
"Yellowtail........... $381,065Miscellaneous fish.... $1,808Crustacean:1,896 6,986$96 $125 451",,394 $37,,"$5,757422 $124 1,814,650$86 530",,"$2,173 1,669,059 $343,947 1,391 $634 $37,032 145,169 $3,584 2,324 $792",
"Crab, Dungeness...... $25,641Lobster, California 33,647,863$15,553,166 33,325,545 $15,751,140565 $178,594 299,304 216 1,083,015$93",,"8,058 $5,664 $15 29",,"14,956 $13,716 $118,185 492,860 $316,09548,853",,"510,226 $172,161 88,770 113,945 79,119","251,568"
"$271,521Prawn, ridgeback..... spiny.......",,,,"$116,045 2,972$1,487 2,972",,"$219,297","$606,863$1,487"
"Prawn, spot.......... $3,609,446Miscellaneous $576Echinoderm: $97,488Shrimp, Pacific Ocean.. 2,472crustacean.—  15,871,332$3,143,369 13,863,465 2,002,159 $458,598",,"53,838$37,955 $6,521 13,506 2,120",,"40,332 $59,533 3,588 $958 $50 200",,"2,272",$626
"Sea urchin........... $161Mollusk: $1,629,253Miscellaneous 1,259echinoderm.... 16,536,295$35,545 355,520 $6,058 26,281",,"4,213 $331",,"13,065,912 $1,290,301",,"1,668,650 $170,163 1,259 1,415,719 $126,855",$161
"Abalone, black....... $271,700Abalone, green.......",,,,"463,301$213,597 360,718 3,409",,"83,605 $48,967 65,529 $9,136 28,519 18,978","97,457"
"$118,613Abalone, pink........",,,,"$4,280 151,220",,"$82,555 85,900 $31,778 81,374","318,494"
"$372,988Abalone, red......... $598,922Abalone, threaded.... 537,450$114,667 97,672 30",,,,"$174,139 $425,608 382,756 804",,"$107,546 $12,014 12,328 $91,303 $46,633 44,694 19",853
"$559Abalone, white....... $32",,,,"$508 1,532",,"$19 10,248 5,823","17,603"
"$2,680Abalone, miscellaneous.",,,,"$25,020921",,"$13,515 $8,825 27",988
"$27Mussel............... $3,328Octopus.............. $11,274Oyster, eastern...... $12,417Oyster, giant Pacific.. 926,552$620,003 568,810 110$8,715 27,471 $300,421 2,992$12,417 275,616 4,290$3,305 $1,197 $7364,245 2,992 3,583",,"45 $23 1,906 34,411$941",,"$668 1,198 82,126 $89,517 $304",,143 $63 $54,"$1,009,941"
"Snail, sea........... $79Squid, market........ $1,480,754Miscellaneous mollusk.. 28,243,779$120 436 89$29 $3,336932",271$14 288 51,,"4,468,975 $462,281",,"16,658$50 5,365,607 $191,821",,,"15,811 $3,164 18,387,169 $824,595 92",,,,,"21,096 $1,937",,,,380
"",$173,,,,,,,$32,,,,,,,,,$205
"Total pounds...... 856,144,240Total value....... $33,013,705 89.018.040","29.674.779 $9,742,967",,"41.976.724 $6,882,817",,"71.150.916 $7,084,780",,,"490,363,581 $80,489,467",,,,,"133,960,200 $51,075,771",,,,"$188,289,507"
SHIPMENTS:,,,,,,,,,,,,,,,,,
Fish:,,,,,,,,,,,,,,,,,
"Tuna, albacore.......",,,,,,,,"15,767,490",,,,,"1,402,803",,,,"17,170,293"
"$13,271,150Tuna, bigeye.........",,,,,,,,"$12,225,593 464,773",,,,,"$1,045,557 207,383",,,,"672,156"
"",,,,,,,,"$243,179",,,,,"$92,168",,,,"$335,347"
"Tuna, bluefin........",,,,,,,,"557,022",,,,,"1,708,516",,,,"2,265,538"
"$908,785Tuna, skipjack.......",,,,,,,,"$226,652 104,394,086",,,,,"$682,133 30,533,080",,,,"134,927,166"
"$56,531,361Tuna, skipjack,black—",,,,,,,,"$43,414,024 286,966",,,,,"$13,117,337",,,,"286,966"
"",,,,,,,,"$21,957",,,,,,,,,"$21,957"
"Tuna, yellowfin......",,,,,,,,"14,119,866",,,,,"19,560,520",,,,"33,680,386"
"",,,,,,,,"$6,650,331",,,,,"$7,729,280",,,,"$14,379,611"
"Total pounds...... 189,002,505Total value.......",,,,,,,,"135.590,203 $62,781,736",,,,,"53,412,302 $22,666,475",,,,"$85,448,211"
"Grand total pounds.. 1,045,146,745Grand total value— $33,013,705 89.018.040","29.674.779 $9,742,967",,"41.976.724 $6,882,817",,"71.150.916 $7,084,780",,,"625,953,784 $143,271,203",,,,,"187,372,502 $73,742,246",,,,"$273,737,718"
