"year","filename","region","port_complex","species","landings_n"
2001,"landings01_cpfv2.pdf","Southern","San Diego-Mission Bay","Barracuda, California",44206
2001,"landings01_cpfv2.pdf","Southern","San Diego-Mission Bay","Bass, barred sand",67164
2001,"landings01_cpfv2.pdf","Southern","San Diego-Mission Bay","Bass, kelp (calico)",67457
2001,"landings01_cpfv2.pdf","Southern","San Diego-Mission Bay","Bass, striped",0
2001,"landings01_cpfv2.pdf","Southern","San Diego-Mission Bay","Bonito, Pacific",4687
2001,"landings01_cpfv2.pdf","Southern","San Diego-Mission Bay","Cabezon",225
2001,"landings01_cpfv2.pdf","Southern","San Diego-Mission Bay","Croaker, white",1071
2001,"landings01_cpfv2.pdf","Southern","San Diego-Mission Bay","Dolphinfish",3440
2001,"landings01_cpfv2.pdf","Southern","San Diego-Mission Bay","Fishes, unspecified",4196
2001,"landings01_cpfv2.pdf","Southern","San Diego-Mission Bay","Flatfishes, unspecified",152
2001,"landings01_cpfv2.pdf","Southern","San Diego-Mission Bay","Halfmoon",92
2001,"landings01_cpfv2.pdf","Southern","San Diego-Mission Bay","Halibut, California",507
2001,"landings01_cpfv2.pdf","Southern","San Diego-Mission Bay","Lingcod",629
2001,"landings01_cpfv2.pdf","Southern","San Diego-Mission Bay","Mackerel, jack",1319
2001,"landings01_cpfv2.pdf","Southern","San Diego-Mission Bay","Mackerel, Pacific",16697
2001,"landings01_cpfv2.pdf","Southern","San Diego-Mission Bay","Rockfishes, unspecified",56612
2001,"landings01_cpfv2.pdf","Southern","San Diego-Mission Bay","Salmon, king (Chinook)",1
2001,"landings01_cpfv2.pdf","Southern","San Diego-Mission Bay","Salmon, silver (coho)",0
2001,"landings01_cpfv2.pdf","Southern","San Diego-Mission Bay","Scorpionfish, California",32542
2001,"landings01_cpfv2.pdf","Southern","San Diego-Mission Bay","Seabass, white",614
2001,"landings01_cpfv2.pdf","Southern","San Diego-Mission Bay","Shark, blue",80
2001,"landings01_cpfv2.pdf","Southern","San Diego-Mission Bay","Shark, leopard",4
2001,"landings01_cpfv2.pdf","Southern","San Diego-Mission Bay","Shark, unspecified",160
2001,"landings01_cpfv2.pdf","Southern","San Diego-Mission Bay","Sheephead, California",2235
2001,"landings01_cpfv2.pdf","Southern","San Diego-Mission Bay","Sturgeon, unspecified",0
2001,"landings01_cpfv2.pdf","Southern","San Diego-Mission Bay","Tuna, albacore",178843
2001,"landings01_cpfv2.pdf","Southern","San Diego-Mission Bay","Tuna, bluefin",19573
2001,"landings01_cpfv2.pdf","Southern","San Diego-Mission Bay","Tuna, skipjack",7512
2001,"landings01_cpfv2.pdf","Southern","San Diego-Mission Bay","Tuna, yellowfin",30194
2001,"landings01_cpfv2.pdf","Southern","San Diego-Mission Bay","Whitefish, ocean",23551
2001,"landings01_cpfv2.pdf","Southern","San Diego-Mission Bay","Yellowtail",57576
2002,"landings02_cpfv2.pdf","Southern","San Diego-Mission Bay","Barracuda, California",53861
2002,"landings02_cpfv2.pdf","Southern","San Diego-Mission Bay","Bass, barred sand",114353
2002,"landings02_cpfv2.pdf","Southern","San Diego-Mission Bay","Bass, kelp (calico)",60518
2002,"landings02_cpfv2.pdf","Southern","San Diego-Mission Bay","Bass, striped",0
2002,"landings02_cpfv2.pdf","Southern","San Diego-Mission Bay","Bonito, Pacific",5066
2002,"landings02_cpfv2.pdf","Southern","San Diego-Mission Bay","Cabezon",82
2002,"landings02_cpfv2.pdf","Southern","San Diego-Mission Bay","Croaker, white",391
2002,"landings02_cpfv2.pdf","Southern","San Diego-Mission Bay","Fishes, unspecified",3540
2002,"landings02_cpfv2.pdf","Southern","San Diego-Mission Bay","Flatfishes, unspecified",34
2002,"landings02_cpfv2.pdf","Southern","San Diego-Mission Bay","Greenling, kelp",0
2002,"landings02_cpfv2.pdf","Southern","San Diego-Mission Bay","Halibut, California",402
2002,"landings02_cpfv2.pdf","Southern","San Diego-Mission Bay","Invertebrates, unspecified",7814
2002,"landings02_cpfv2.pdf","Southern","San Diego-Mission Bay","Lingcod",5352
2002,"landings02_cpfv2.pdf","Southern","San Diego-Mission Bay","Mackerel, jack",200
2002,"landings02_cpfv2.pdf","Southern","San Diego-Mission Bay","Mackerel, Pacific",16279
2002,"landings02_cpfv2.pdf","Southern","San Diego-Mission Bay","Other highly migratory spp",51277
2002,"landings02_cpfv2.pdf","Southern","San Diego-Mission Bay","Rockfish, blue",33
2002,"landings02_cpfv2.pdf","Southern","San Diego-Mission Bay","Rockfish, canary",86
2002,"landings02_cpfv2.pdf","Southern","San Diego-Mission Bay","Rockfish, copper",122
2002,"landings02_cpfv2.pdf","Southern","San Diego-Mission Bay","Rockfish, gopher",182
2002,"landings02_cpfv2.pdf","Southern","San Diego-Mission Bay","Rockfish, yelloweye",37
2002,"landings02_cpfv2.pdf","Southern","San Diego-Mission Bay","Rockfishes, unspecified",59919
2002,"landings02_cpfv2.pdf","Southern","San Diego-Mission Bay","Salmon, king (Chinook)",1
2002,"landings02_cpfv2.pdf","Southern","San Diego-Mission Bay","Sanddab",100
2002,"landings02_cpfv2.pdf","Southern","San Diego-Mission Bay","Scorpionfish, California",18927
2002,"landings02_cpfv2.pdf","Southern","San Diego-Mission Bay","Seabass, white",227
2002,"landings02_cpfv2.pdf","Southern","San Diego-Mission Bay","Shark, unspecified",48
2002,"landings02_cpfv2.pdf","Southern","San Diego-Mission Bay","Sheephead, California",1545
2002,"landings02_cpfv2.pdf","Southern","San Diego-Mission Bay","Sturgeon, unspecified",0
2002,"landings02_cpfv2.pdf","Southern","San Diego-Mission Bay","Tuna, albacore",272349
2002,"landings02_cpfv2.pdf","Southern","San Diego-Mission Bay","Whitefish, ocean",15626
2002,"landings02_cpfv2.pdf","Southern","San Diego-Mission Bay","Yellowtail",58730
2003,"landings03_cpfv2.pdf","Southern","San Diego-Mission Bay","Barracuda, California",28082
2003,"landings03_cpfv2.pdf","Southern","San Diego-Mission Bay","Bass, barred sand",100025
2003,"landings03_cpfv2.pdf","Southern","San Diego-Mission Bay","Bass, kelp (calico)",69054
2003,"landings03_cpfv2.pdf","Southern","San Diego-Mission Bay","Bass, striped",1
2003,"landings03_cpfv2.pdf","Southern","San Diego-Mission Bay","Bonito, Pacific",11618
2003,"landings03_cpfv2.pdf","Southern","San Diego-Mission Bay","Cabezon",164
2003,"landings03_cpfv2.pdf","Southern","San Diego-Mission Bay","Croaker, white",166
2003,"landings03_cpfv2.pdf","Southern","San Diego-Mission Bay","Fishes, unspecified",5673
2003,"landings03_cpfv2.pdf","Southern","San Diego-Mission Bay","Flatfishes, unspecified",35
2003,"landings03_cpfv2.pdf","Southern","San Diego-Mission Bay","Greenling, kelp",0
2003,"landings03_cpfv2.pdf","Southern","San Diego-Mission Bay","Halibut, California",306
2003,"landings03_cpfv2.pdf","Southern","San Diego-Mission Bay","Invertebrates, unspecified",523
2003,"landings03_cpfv2.pdf","Southern","San Diego-Mission Bay","Lingcod",7690
2003,"landings03_cpfv2.pdf","Southern","San Diego-Mission Bay","Mackerel, jack",155
2003,"landings03_cpfv2.pdf","Southern","San Diego-Mission Bay","Mackerel, Pacific",14034
2003,"landings03_cpfv2.pdf","Southern","San Diego-Mission Bay","Other highly migratory spp",80476
2003,"landings03_cpfv2.pdf","Southern","San Diego-Mission Bay","Rockfish, blue",123
2003,"landings03_cpfv2.pdf","Southern","San Diego-Mission Bay","Rockfish, canary",910
2003,"landings03_cpfv2.pdf","Southern","San Diego-Mission Bay","Rockfish, copper",136
2003,"landings03_cpfv2.pdf","Southern","San Diego-Mission Bay","Rockfish, gopher",267
2003,"landings03_cpfv2.pdf","Southern","San Diego-Mission Bay","Rockfish, yelloweye",19
2003,"landings03_cpfv2.pdf","Southern","San Diego-Mission Bay","Rockfishes, unspecified",51401
2003,"landings03_cpfv2.pdf","Southern","San Diego-Mission Bay","Salmon, king (Chinook)",0
2003,"landings03_cpfv2.pdf","Southern","San Diego-Mission Bay","Sanddab",73
2003,"landings03_cpfv2.pdf","Southern","San Diego-Mission Bay","Scorpionfish, California",20006
2003,"landings03_cpfv2.pdf","Southern","San Diego-Mission Bay","Seabass, white",243
2003,"landings03_cpfv2.pdf","Southern","San Diego-Mission Bay","Shark, unspecified",59
2003,"landings03_cpfv2.pdf","Southern","San Diego-Mission Bay","Sheephead, California",1893
2003,"landings03_cpfv2.pdf","Southern","San Diego-Mission Bay","Sturgeon, unspecified",0
2003,"landings03_cpfv2.pdf","Southern","San Diego-Mission Bay","Tuna, albacore",217726
2003,"landings03_cpfv2.pdf","Southern","San Diego-Mission Bay","Whitefish, ocean",12538
2003,"landings03_cpfv2.pdf","Southern","San Diego-Mission Bay","Yellowtail",59442
2004,"landings04_cpfv2.pdf","Southern","San Diego-Mission Bay","Barracuda, California",44015
2004,"landings04_cpfv2.pdf","Southern","San Diego-Mission Bay","Bass, barred sand",52799
2004,"landings04_cpfv2.pdf","Southern","San Diego-Mission Bay","Bass, kelp (calico)",98616
2004,"landings04_cpfv2.pdf","Southern","San Diego-Mission Bay","Bass, striped",0
2004,"landings04_cpfv2.pdf","Southern","San Diego-Mission Bay","Bonito, Pacific",30760
2004,"landings04_cpfv2.pdf","Southern","San Diego-Mission Bay","Cabezon",112
2004,"landings04_cpfv2.pdf","Southern","San Diego-Mission Bay","Croaker, white",88
2004,"landings04_cpfv2.pdf","Southern","San Diego-Mission Bay","Fishes, unspecified",5764
2004,"landings04_cpfv2.pdf","Southern","San Diego-Mission Bay","Flatfishes, unspecified",6
2004,"landings04_cpfv2.pdf","Southern","San Diego-Mission Bay","Greenling, kelp",0
2004,"landings04_cpfv2.pdf","Southern","San Diego-Mission Bay","Halibut, California",448
2004,"landings04_cpfv2.pdf","Southern","San Diego-Mission Bay","Invertebrates, unspecified",977
2004,"landings04_cpfv2.pdf","Southern","San Diego-Mission Bay","Lingcod",2274
2004,"landings04_cpfv2.pdf","Southern","San Diego-Mission Bay","Mackerel, jack",24
2004,"landings04_cpfv2.pdf","Southern","San Diego-Mission Bay","Mackerel, Pacific",6556
2004,"landings04_cpfv2.pdf","Southern","San Diego-Mission Bay","Other highly migratory spp",80026
2004,"landings04_cpfv2.pdf","Southern","San Diego-Mission Bay","Rockfish, blue",122
2004,"landings04_cpfv2.pdf","Southern","San Diego-Mission Bay","Rockfish, canary",70
2004,"landings04_cpfv2.pdf","Southern","San Diego-Mission Bay","Rockfish, copper",117
2004,"landings04_cpfv2.pdf","Southern","San Diego-Mission Bay","Rockfish, gopher",259
2004,"landings04_cpfv2.pdf","Southern","San Diego-Mission Bay","Rockfish, yelloweye",2
2004,"landings04_cpfv2.pdf","Southern","San Diego-Mission Bay","Rockfishes, unspecified",58330
2004,"landings04_cpfv2.pdf","Southern","San Diego-Mission Bay","Salmon, king (Chinook)",0
2004,"landings04_cpfv2.pdf","Southern","San Diego-Mission Bay","Sanddab",300
2004,"landings04_cpfv2.pdf","Southern","San Diego-Mission Bay","Scorpionfish, California",25647
2004,"landings04_cpfv2.pdf","Southern","San Diego-Mission Bay","Seabass, white",227
2004,"landings04_cpfv2.pdf","Southern","San Diego-Mission Bay","Shark, unspecified",112
2004,"landings04_cpfv2.pdf","Southern","San Diego-Mission Bay","Sheephead, California",1517
2004,"landings04_cpfv2.pdf","Southern","San Diego-Mission Bay","Sturgeon, unspecified",0
2004,"landings04_cpfv2.pdf","Southern","San Diego-Mission Bay","Tuna, albacore",174047
2004,"landings04_cpfv2.pdf","Southern","San Diego-Mission Bay","Whitefish, ocean",11339
2004,"landings04_cpfv2.pdf","Southern","San Diego-Mission Bay","Yellowtail",104513
2005,"landings05_cpfv2.pdf","Southern","San Diego-Mission Bay","Barracuda, California",17387
2005,"landings05_cpfv2.pdf","Southern","San Diego-Mission Bay","Bass, barred sand",76938
2005,"landings05_cpfv2.pdf","Southern","San Diego-Mission Bay","Bass, kelp (calico)",46988
2005,"landings05_cpfv2.pdf","Southern","San Diego-Mission Bay","Bass, striped",0
2005,"landings05_cpfv2.pdf","Southern","San Diego-Mission Bay","Bonito, Pacific",7938
2005,"landings05_cpfv2.pdf","Southern","San Diego-Mission Bay","Cabezon",46
2005,"landings05_cpfv2.pdf","Southern","San Diego-Mission Bay","Croaker, white",353
2005,"landings05_cpfv2.pdf","Southern","San Diego-Mission Bay","Fishes, unspecified",4210
2005,"landings05_cpfv2.pdf","Southern","San Diego-Mission Bay","Flatfishes, unspecified",12
2005,"landings05_cpfv2.pdf","Southern","San Diego-Mission Bay","Greenling, kelp",0
2005,"landings05_cpfv2.pdf","Southern","San Diego-Mission Bay","Halibut, California",332
2005,"landings05_cpfv2.pdf","Southern","San Diego-Mission Bay","Invertebrates, unspecified",10365
2005,"landings05_cpfv2.pdf","Southern","San Diego-Mission Bay","Lingcod",3014
2005,"landings05_cpfv2.pdf","Southern","San Diego-Mission Bay","Mackerel, jack",82
2005,"landings05_cpfv2.pdf","Southern","San Diego-Mission Bay","Mackerel, Pacific",13344
2005,"landings05_cpfv2.pdf","Southern","San Diego-Mission Bay","Other highly migratory spp",72676
2005,"landings05_cpfv2.pdf","Southern","San Diego-Mission Bay","Rockfish, blue",76
2005,"landings05_cpfv2.pdf","Southern","San Diego-Mission Bay","Rockfish, canary",191
2005,"landings05_cpfv2.pdf","Southern","San Diego-Mission Bay","Rockfish, copper",562
2005,"landings05_cpfv2.pdf","Southern","San Diego-Mission Bay","Rockfish, gopher",807
2005,"landings05_cpfv2.pdf","Southern","San Diego-Mission Bay","Rockfish, yelloweye",66
2005,"landings05_cpfv2.pdf","Southern","San Diego-Mission Bay","Rockfishes, unspecified",79186
2005,"landings05_cpfv2.pdf","Southern","San Diego-Mission Bay","Salmon, king (Chinook)",0
2005,"landings05_cpfv2.pdf","Southern","San Diego-Mission Bay","Sanddab",484
2005,"landings05_cpfv2.pdf","Southern","San Diego-Mission Bay","Scorpionfish, California",30287
2005,"landings05_cpfv2.pdf","Southern","San Diego-Mission Bay","Seabass, white",195
2005,"landings05_cpfv2.pdf","Southern","San Diego-Mission Bay","Shark, unspecified",167
2005,"landings05_cpfv2.pdf","Southern","San Diego-Mission Bay","Sheephead, California",1473
2005,"landings05_cpfv2.pdf","Southern","San Diego-Mission Bay","Sturgeon, unspecified",0
2005,"landings05_cpfv2.pdf","Southern","San Diego-Mission Bay","Tuna, albacore",94679
2005,"landings05_cpfv2.pdf","Southern","San Diego-Mission Bay","Whitefish, ocean",15413
2005,"landings05_cpfv2.pdf","Southern","San Diego-Mission Bay","Yellowtail",61565
2006,"landings06_cpfv2.pdf","Southern","San Diego-Mission Bay","Barracuda, California",24707
2006,"landings06_cpfv2.pdf","Southern","San Diego-Mission Bay","Bass, barred sand",48505
2006,"landings06_cpfv2.pdf","Southern","San Diego-Mission Bay","Bass, kelp (calico)",48175
2006,"landings06_cpfv2.pdf","Southern","San Diego-Mission Bay","Bass, striped",0
2006,"landings06_cpfv2.pdf","Southern","San Diego-Mission Bay","Bonito, Pacific",53319
2006,"landings06_cpfv2.pdf","Southern","San Diego-Mission Bay","Cabezon",60
2006,"landings06_cpfv2.pdf","Southern","San Diego-Mission Bay","Croaker, white",300
2006,"landings06_cpfv2.pdf","Southern","San Diego-Mission Bay","Fishes, unspecified",5420
2006,"landings06_cpfv2.pdf","Southern","San Diego-Mission Bay","Flatfishes, unspecified",25
2006,"landings06_cpfv2.pdf","Southern","San Diego-Mission Bay","Greenling, kelp",22
2006,"landings06_cpfv2.pdf","Southern","San Diego-Mission Bay","Halibut, California",167
2006,"landings06_cpfv2.pdf","Southern","San Diego-Mission Bay","Invertebrates, unspecified",684
2006,"landings06_cpfv2.pdf","Southern","San Diego-Mission Bay","Lingcod",2444
2006,"landings06_cpfv2.pdf","Southern","San Diego-Mission Bay","Mackerel, jack",7
2006,"landings06_cpfv2.pdf","Southern","San Diego-Mission Bay","Mackerel, Pacific",5573
2006,"landings06_cpfv2.pdf","Southern","San Diego-Mission Bay","Other highly migratory spp",97974
2006,"landings06_cpfv2.pdf","Southern","San Diego-Mission Bay","Rockfish, blue",40
2006,"landings06_cpfv2.pdf","Southern","San Diego-Mission Bay","Rockfish, canary",71
2006,"landings06_cpfv2.pdf","Southern","San Diego-Mission Bay","Rockfish, copper",841
2006,"landings06_cpfv2.pdf","Southern","San Diego-Mission Bay","Rockfish, gopher",598
2006,"landings06_cpfv2.pdf","Southern","San Diego-Mission Bay","Rockfish, yelloweye",48
2006,"landings06_cpfv2.pdf","Southern","San Diego-Mission Bay","Rockfishes, unspecified",61870
2006,"landings06_cpfv2.pdf","Southern","San Diego-Mission Bay","Salmon, king (Chinook)",0
2006,"landings06_cpfv2.pdf","Southern","San Diego-Mission Bay","Sanddab",230
2006,"landings06_cpfv2.pdf","Southern","San Diego-Mission Bay","Scorpionfish, California",18936
2006,"landings06_cpfv2.pdf","Southern","San Diego-Mission Bay","Seabass, white",218
2006,"landings06_cpfv2.pdf","Southern","San Diego-Mission Bay","Shark, unspecified",115
2006,"landings06_cpfv2.pdf","Southern","San Diego-Mission Bay","Sheephead, California",2420
2006,"landings06_cpfv2.pdf","Southern","San Diego-Mission Bay","Sturgeon, unspecified",0
2006,"landings06_cpfv2.pdf","Southern","San Diego-Mission Bay","Tuna, albacore",19898
2006,"landings06_cpfv2.pdf","Southern","San Diego-Mission Bay","Whitefish, ocean",9733
2006,"landings06_cpfv2.pdf","Southern","San Diego-Mission Bay","Yellowtail",143263
2007,"landings07_cpfv2.pdf","Southern","San Diego-Mission Bay","Barracuda, California",42729
2007,"landings07_cpfv2.pdf","Southern","San Diego-Mission Bay","Bass, barred sand",38848
2007,"landings07_cpfv2.pdf","Southern","San Diego-Mission Bay","Bass, kelp (calico)",59052
2007,"landings07_cpfv2.pdf","Southern","San Diego-Mission Bay","Bass, striped",0
2007,"landings07_cpfv2.pdf","Southern","San Diego-Mission Bay","Bonito, Pacific",16956
2007,"landings07_cpfv2.pdf","Southern","San Diego-Mission Bay","Cabezon",69
2007,"landings07_cpfv2.pdf","Southern","San Diego-Mission Bay","Croaker, white",182
2007,"landings07_cpfv2.pdf","Southern","San Diego-Mission Bay","Fishes, unspecified",3145
2007,"landings07_cpfv2.pdf","Southern","San Diego-Mission Bay","Flatfishes, unspecified",2
2007,"landings07_cpfv2.pdf","Southern","San Diego-Mission Bay","Greenling, kelp",0
2007,"landings07_cpfv2.pdf","Southern","San Diego-Mission Bay","Halibut, California",555
2007,"landings07_cpfv2.pdf","Southern","San Diego-Mission Bay","Invertebrates, unspecified",15607
2007,"landings07_cpfv2.pdf","Southern","San Diego-Mission Bay","Lingcod",4269
2007,"landings07_cpfv2.pdf","Southern","San Diego-Mission Bay","Mackerel, jack",4
2007,"landings07_cpfv2.pdf","Southern","San Diego-Mission Bay","Mackerel, Pacific",5679
2007,"landings07_cpfv2.pdf","Southern","San Diego-Mission Bay","Other highly migratory spp",24778
2007,"landings07_cpfv2.pdf","Southern","San Diego-Mission Bay","Rockfish, blue",23
2007,"landings07_cpfv2.pdf","Southern","San Diego-Mission Bay","Rockfish, canary",882
2007,"landings07_cpfv2.pdf","Southern","San Diego-Mission Bay","Rockfish, copper",1432
2007,"landings07_cpfv2.pdf","Southern","San Diego-Mission Bay","Rockfish, gopher",1402
2007,"landings07_cpfv2.pdf","Southern","San Diego-Mission Bay","Rockfish, yelloweye",55
2007,"landings07_cpfv2.pdf","Southern","San Diego-Mission Bay","Rockfishes, unspecified",93891
2007,"landings07_cpfv2.pdf","Southern","San Diego-Mission Bay","Salmon, king (Chinook)",0
2007,"landings07_cpfv2.pdf","Southern","San Diego-Mission Bay","Sanddab",410
2007,"landings07_cpfv2.pdf","Southern","San Diego-Mission Bay","Scorpionfish, California",18036
2007,"landings07_cpfv2.pdf","Southern","San Diego-Mission Bay","Seabass, white",112
2007,"landings07_cpfv2.pdf","Southern","San Diego-Mission Bay","Shark, unspecified",43
2007,"landings07_cpfv2.pdf","Southern","San Diego-Mission Bay","Sheephead, California",1697
2007,"landings07_cpfv2.pdf","Southern","San Diego-Mission Bay","Sturgeon, unspecified",0
2007,"landings07_cpfv2.pdf","Southern","San Diego-Mission Bay","Tuna, albacore",91827
2007,"landings07_cpfv2.pdf","Southern","San Diego-Mission Bay","Whitefish, ocean",10690
2007,"landings07_cpfv2.pdf","Southern","San Diego-Mission Bay","Yellowtail",66960
2008,"landings08_cpfv2.pdf","Southern","San Diego-Mission Bay","Barracuda, California",23429
2008,"landings08_cpfv2.pdf","Southern","San Diego-Mission Bay","Bass, barred sand",53273
2008,"landings08_cpfv2.pdf","Southern","San Diego-Mission Bay","Bass, kelp (calico)",40790
2008,"landings08_cpfv2.pdf","Southern","San Diego-Mission Bay","Bass, striped",0
2008,"landings08_cpfv2.pdf","Southern","San Diego-Mission Bay","Bonito, Pacific",27539
2008,"landings08_cpfv2.pdf","Southern","San Diego-Mission Bay","Cabezon",45
2008,"landings08_cpfv2.pdf","Southern","San Diego-Mission Bay","Croaker, white",221
2008,"landings08_cpfv2.pdf","Southern","San Diego-Mission Bay","Fishes, unspecified",4744
2008,"landings08_cpfv2.pdf","Southern","San Diego-Mission Bay","Flatfishes, unspecified",7
2008,"landings08_cpfv2.pdf","Southern","San Diego-Mission Bay","Greenling, kelp",0
2008,"landings08_cpfv2.pdf","Southern","San Diego-Mission Bay","Halibut, California",281
2008,"landings08_cpfv2.pdf","Southern","San Diego-Mission Bay","Invertebrates, unspecified",1297
2008,"landings08_cpfv2.pdf","Southern","San Diego-Mission Bay","Lingcod",2603
2008,"landings08_cpfv2.pdf","Southern","San Diego-Mission Bay","Mackerel, jack",1
2008,"landings08_cpfv2.pdf","Southern","San Diego-Mission Bay","Mackerel, Pacific",13390
2008,"landings08_cpfv2.pdf","Southern","San Diego-Mission Bay","Other highly migratory spp",79502
2008,"landings08_cpfv2.pdf","Southern","San Diego-Mission Bay","Rockfish, blue",120
2008,"landings08_cpfv2.pdf","Southern","San Diego-Mission Bay","Rockfish, canary",117
2008,"landings08_cpfv2.pdf","Southern","San Diego-Mission Bay","Rockfish, copper",839
2008,"landings08_cpfv2.pdf","Southern","San Diego-Mission Bay","Rockfish, gopher",990
2008,"landings08_cpfv2.pdf","Southern","San Diego-Mission Bay","Rockfish, yelloweye",1
2008,"landings08_cpfv2.pdf","Southern","San Diego-Mission Bay","Rockfishes, unspecified",82668
2008,"landings08_cpfv2.pdf","Southern","San Diego-Mission Bay","Salmon, king (Chinook)",0
2008,"landings08_cpfv2.pdf","Southern","San Diego-Mission Bay","Sanddab",1149
2008,"landings08_cpfv2.pdf","Southern","San Diego-Mission Bay","Scorpionfish, California",14752
2008,"landings08_cpfv2.pdf","Southern","San Diego-Mission Bay","Seabass, white",153
2008,"landings08_cpfv2.pdf","Southern","San Diego-Mission Bay","Shark, unspecified",213
2008,"landings08_cpfv2.pdf","Southern","San Diego-Mission Bay","Sheephead, California",2004
2008,"landings08_cpfv2.pdf","Southern","San Diego-Mission Bay","Sturgeon, unspecified",0
2008,"landings08_cpfv2.pdf","Southern","San Diego-Mission Bay","Tuna, albacore",33864
2008,"landings08_cpfv2.pdf","Southern","San Diego-Mission Bay","Whitefish, ocean",8421
2008,"landings08_cpfv2.pdf","Southern","San Diego-Mission Bay","Yellowtail",66141
2009,"landings09_cpfv1.pdf","Southern","San Diego-Mission Bay","Barracuda, California",21759
2009,"landings09_cpfv1.pdf","Southern","San Diego-Mission Bay","Bass, barred sand",30680
2009,"landings09_cpfv1.pdf","Southern","San Diego-Mission Bay","Bass, kelp (calico)",64856
2009,"landings09_cpfv1.pdf","Southern","San Diego-Mission Bay","Bass, striped",0
2009,"landings09_cpfv1.pdf","Southern","San Diego-Mission Bay","Bonito, Pacific",15748
2009,"landings09_cpfv1.pdf","Southern","San Diego-Mission Bay","Cabezon",46
2009,"landings09_cpfv1.pdf","Southern","San Diego-Mission Bay","Croaker, white",396
2009,"landings09_cpfv1.pdf","Southern","San Diego-Mission Bay","Fishes, unspecified",3809
2009,"landings09_cpfv1.pdf","Southern","San Diego-Mission Bay","Flatfishes, unspecified",34
2009,"landings09_cpfv1.pdf","Southern","San Diego-Mission Bay","Greenling, kelp",0
2009,"landings09_cpfv1.pdf","Southern","San Diego-Mission Bay","Halibut, California",459
2009,"landings09_cpfv1.pdf","Southern","San Diego-Mission Bay","Invertebrates, unspecified",699
2009,"landings09_cpfv1.pdf","Southern","San Diego-Mission Bay","Lingcod",1689
2009,"landings09_cpfv1.pdf","Southern","San Diego-Mission Bay","Mackerel, jack",0
2009,"landings09_cpfv1.pdf","Southern","San Diego-Mission Bay","Mackerel, Pacific",7100
2009,"landings09_cpfv1.pdf","Southern","San Diego-Mission Bay","Other highly migratory spp",106273
2009,"landings09_cpfv1.pdf","Southern","San Diego-Mission Bay","Rockfish, blue",3
2009,"landings09_cpfv1.pdf","Southern","San Diego-Mission Bay","Rockfish, canary",179
