"source","table","region","port_complex_group","port_complex","year","cpfvs_n","anglers_n","landings_n"
"CDFW 2001","landings00_cpfv2.pdf","Northern","Monterey","Monterey-Moss Landing-Santa Cruz",2000,20,38371,146928
"CDFW 2001","landings00_cpfv2.pdf","Northern","Morro Bay","Avila Beach-Morro Bay",2000,12,17768,123801
"CDFW 2001","landings00_cpfv2.pdf","Southern","San Diego","San Diego-Mission Bay",2000,78,165447,561388
"CDFW 2001","landings00_cpfv2.pdf","Northern","San Francisco","San Francisco-SF Bay-Delta",2000,45,58751,139744
"CDFW 2001","landings00_cpfv2.pdf","Southern","Santa Barbara","Port Hueneme-Oxnard-Ventura-Santa Barbara",2000,35,73538,375934
"CDFW 2002","landings01_cpfv2.pdf","Northern","Bodega Bay","Princeton-Bodega Bay",2001,21,25626,138321
"CDFW 2002","landings01_cpfv2.pdf","Northern","Fort Bragg","Fort Bragg-Eureka-Crescent City",2001,15,13823,43767
"CDFW 2002","landings01_cpfv2.pdf","Southern","Los Angeles","Newport Beach",2001,21,59527,270004
"CDFW 2002","landings01_cpfv2.pdf","Southern","Los Angeles","Oceanside-Dana Harbor",2001,23,60010,229364
"CDFW 2002","landings01_cpfv2.pdf","Southern","Los Angeles","Redondo-Marina del Rey-Malibu",2001,21,59922,269316
"CDFW 2002","landings01_cpfv2.pdf","Southern","Los Angeles","Seal Beach-Long Beach-San Pedro",2001,60,140184,890921
"CDFW 2002","landings01_cpfv2.pdf","Northern","Monterey","Monterey-Moss Landing-Santa Cruz",2001,19,27565,109355
"CDFW 2002","landings01_cpfv2.pdf","Northern","Morro Bay","Avila Beach-Morro Bay",2001,9,15864,113708
"CDFW 2002","landings01_cpfv2.pdf","Southern","San Diego","San Diego-Mission Bay",2001,81,182428,621339
"CDFW 2002","landings01_cpfv2.pdf","Northern","San Francisco","San Francisco-SF Bay-Delta",2001,48,55966,105440
"CDFW 2002","landings01_cpfv2.pdf","Southern","Santa Barbara","Port Hueneme-Oxnard-Ventura-Santa Barbara",2001,33,68671,344672
"CDFW 2003","landings02_cpfv2.pdf","Northern","Bodega Bay","Princeton-Bodega Bay",2002,25,22777,113996
"CDFW 2003","landings02_cpfv2.pdf","Northern","Fort Bragg","Fort Bragg-Eureka-Crescent City",2002,16,13790,59610
"CDFW 2003","landings02_cpfv2.pdf","Southern","Los Angeles","Newport Beach",2002,26,58268,309687
"CDFW 2003","landings02_cpfv2.pdf","Southern","Los Angeles","Oceanside-Dana Harbor",2002,29,66344,270159
"CDFW 2003","landings02_cpfv2.pdf","Southern","Los Angeles","Redondo-Marina del Rey-Malibu",2002,22,46731,198336
"CDFW 2003","landings02_cpfv2.pdf","Southern","Los Angeles","Seal Beach-Long Beach-San Pedro",2002,63,125229,787881
"CDFW 2003","landings02_cpfv2.pdf","Northern","Monterey","Monterey-Moss Landing-Santa Cruz",2002,21,30331,141786
"CDFW 2003","landings02_cpfv2.pdf","Northern","Morro Bay","Avila Beach-Morro Bay",2002,13,17606,145398
"CDFW 2003","landings02_cpfv2.pdf","Southern","San Diego","San Diego-Mission Bay",2002,80,152848,747101
"CDFW 2003","landings02_cpfv2.pdf","Northern","San Francisco","San Francisco-SF Bay-Delta",2002,50,56131,135360
"CDFW 2003","landings02_cpfv2.pdf","Southern","Santa Barbara","Port Hueneme-Oxnard-Ventura-Santa Barbara",2002,27,45404,290412
"CDFW 2004","landings03_cpfv2.pdf","Northern","Bodega Bay","Princeton-Bodega Bay",2003,24,19379,101469
"CDFW 2004","landings03_cpfv2.pdf","Northern","Fort Bragg","Fort Bragg-Eureka-Crescent City",2003,16,14225,70159
"CDFW 2004","landings03_cpfv2.pdf","Southern","Los Angeles","Newport Beach",2003,23,47551,188155
"CDFW 2004","landings03_cpfv2.pdf","Southern","Los Angeles","Oceanside-Dana Harbor",2003,28,60627,169145
"CDFW 2004","landings03_cpfv2.pdf","Southern","Los Angeles","Redondo-Marina del Rey-Malibu",2003,13,39494,156863
"CDFW 2004","landings03_cpfv2.pdf","Southern","Los Angeles","Seal Beach-Long Beach-San Pedro",2003,56,102758,528039
"CDFW 2004","landings03_cpfv2.pdf","Northern","Monterey","Monterey-Moss Landing-Santa Cruz",2003,20,23440,135246
"CDFW 2004","landings03_cpfv2.pdf","Northern","Morro Bay","Avila Beach-Morro Bay",2003,11,14319,121193
"CDFW 2004","landings03_cpfv2.pdf","Southern","San Diego","San Diego-Mission Bay",2003,105,147700,682838
"CDFW 2004","landings03_cpfv2.pdf","Northern","San Francisco","San Francisco-SF Bay-Delta",2003,44,52747,150031
"CDFW 2004","landings03_cpfv2.pdf","Southern","Santa Barbara","Port Hueneme-Oxnard-Ventura-Santa Barbara",2003,29,38253,217264
"CDFW 2005","landings04_cpfv2.pdf","Northern","Bodega Bay","Princeton-Bodega Bay",2004,28,25067,100231
"CDFW 2005","landings04_cpfv2.pdf","Northern","Fort Bragg","Fort Bragg-Eureka-Crescent City",2004,15,16543,80606
"CDFW 2005","landings04_cpfv2.pdf","Southern","Los Angeles","Newport Beach",2004,29,50659,227413
"CDFW 2005","landings04_cpfv2.pdf","Southern","Los Angeles","Oceanside-Dana Harbor",2004,22,61068,226126
"CDFW 2005","landings04_cpfv2.pdf","Southern","Los Angeles","Redondo-Marina del Rey-Malibu",2004,16,47098,239669
"CDFW 2005","landings04_cpfv2.pdf","Southern","Los Angeles","Seal Beach-Long Beach-San Pedro",2004,62,105463,662390
"CDFW 2005","landings04_cpfv2.pdf","Northern","Monterey","Monterey-Moss Landing-Santa Cruz",2004,21,25381,107092
"CDFW 2005","landings04_cpfv2.pdf","Northern","Morro Bay","Avila Beach-Morro Bay",2004,11,17481,155370
"CDFW 2005","landings04_cpfv2.pdf","Southern","San Diego","San Diego-Mission Bay",2004,98,149383,699067
"CDFW 2005","landings04_cpfv2.pdf","Northern","San Francisco","San Francisco-SF Bay-Delta",2004,50,58545,182583
"CDFW 2005","landings04_cpfv2.pdf","Southern","Santa Barbara","Port Hueneme-Oxnard-Ventura-Santa Barbara",2004,29,43753,351070
"CDFW 2006","landings05_cpfv2.pdf","Northern","Bodega Bay","Princeton-Bodega Bay",2005,28,22781,142691
"CDFW 2006","landings05_cpfv2.pdf","Northern","Fort Bragg","Fort Bragg-Eureka-Crescent City",2005,14,15301,81779
"CDFW 2006","landings05_cpfv2.pdf","Southern","Los Angeles","Newport Beach",2005,18,51537,190165
"CDFW 2006","landings05_cpfv2.pdf","Southern","Los Angeles","Oceanside-Dana Harbor",2005,21,55784,156621
"CDFW 2006","landings05_cpfv2.pdf","Southern","Los Angeles","Redondo-Marina del Rey-Malibu",2005,13,51711,230128
"CDFW 2006","landings05_cpfv2.pdf","Southern","Los Angeles","Seal Beach-Long Beach-San Pedro",2005,46,101520,512860
"CDFW 2006","landings05_cpfv2.pdf","Northern","Monterey","Monterey-Moss Landing-Santa Cruz",2005,19,24512,136252
"CDFW 2006","landings05_cpfv2.pdf","Northern","Morro Bay","Avila Beach-Morro Bay",2005,6,16892,159203
"CDFW 2006","landings05_cpfv2.pdf","Southern","San Diego","San Diego-Mission Bay",2005,98,126783,538836
"CDFW 2006","landings05_cpfv2.pdf","Northern","San Francisco","San Francisco-SF Bay-Delta",2005,47,48741,157064
"CDFW 2006","landings05_cpfv2.pdf","Southern","Santa Barbara","Port Hueneme-Oxnard-Ventura-Santa Barbara",2005,32,46382,306362
"CDFW 2007","landings06_cpfv2.pdf","Northern","Bodega Bay","Princeton-Bodega Bay",2006,29,23059,178377
"CDFW 2007","landings06_cpfv2.pdf","Northern","Fort Bragg","Fort Bragg-Eureka-Crescent City",2006,14,13937,91073
"CDFW 2007","landings06_cpfv2.pdf","Southern","Los Angeles","Newport Beach",2006,19,62996,232056
"CDFW 2007","landings06_cpfv2.pdf","Southern","Los Angeles","Oceanside-Dana Harbor",2006,23,57582,151143
"CDFW 2007","landings06_cpfv2.pdf","Southern","Los Angeles","Redondo-Marina del Rey-Malibu",2006,11,50075,221799
"CDFW 2007","landings06_cpfv2.pdf","Southern","Los Angeles","Seal Beach-Long Beach-San Pedro",2006,45,110824,656839
"CDFW 2007","landings06_cpfv2.pdf","Northern","Monterey","Monterey-Moss Landing-Santa Cruz",2006,19,17658,136139
"CDFW 2007","landings06_cpfv2.pdf","Northern","Morro Bay","Avila Beach-Morro Bay",2006,9,19682,188771
"CDFW 2007","landings06_cpfv2.pdf","Southern","San Diego","San Diego-Mission Bay",2006,89,133677,545663
"CDFW 2007","landings06_cpfv2.pdf","Northern","San Francisco","San Francisco-SF Bay-Delta",2006,47,45449,240468
"CDFW 2007","landings06_cpfv2.pdf","Southern","Santa Barbara","Port Hueneme-Oxnard-Ventura-Santa Barbara",2006,34,46014,318393
"CDFW 2008","landings07_cpfv2.pdf","Northern","Bodega Bay","Princeton-Bodega Bay",2007,22,18861,137862
"CDFW 2008","landings07_cpfv2.pdf","Northern","Fort Bragg","Fort Bragg-Eureka-Crescent City",2007,19,13759,80320
"CDFW 2008","landings07_cpfv2.pdf","Southern","Los Angeles","Newport Beach",2007,17,58321,209910
"CDFW 2008","landings07_cpfv2.pdf","Southern","Los Angeles","Oceanside-Dana Harbor",2007,20,59690,172349
"CDFW 2008","landings07_cpfv2.pdf","Southern","Los Angeles","Redondo-Marina del Rey-Malibu",2007,13,45241,192162
"CDFW 2008","landings07_cpfv2.pdf","Southern","Los Angeles","Seal Beach-Long Beach-San Pedro",2007,42,101059,628819
"CDFW 2008","landings07_cpfv2.pdf","Northern","Monterey","Monterey-Moss Landing-Santa Cruz",2007,18,16569,147713
"CDFW 2008","landings07_cpfv2.pdf","Northern","Morro Bay","Avila Beach-Morro Bay",2007,10,18353,167561
"CDFW 2008","landings07_cpfv2.pdf","Southern","San Diego","San Diego-Mission Bay",2007,88,134401,499335
"CDFW 2008","landings07_cpfv2.pdf","Northern","San Francisco","San Francisco-SF Bay-Delta",2007,45,39379,187741
"CDFW 2008","landings07_cpfv2.pdf","Southern","Santa Barbara","Port Hueneme-Oxnard-Ventura-Santa Barbara",2007,36,40289,290551
"CDFW 2009","landings08_cpfv2.pdf","Northern","Bodega Bay","Princeton-Bodega Bay",2008,18,12068,103405
"CDFW 2009","landings08_cpfv2.pdf","Northern","Fort Bragg","Fort Bragg-Eureka-Crescent City",2008,17,5876,44529
"CDFW 2009","landings08_cpfv2.pdf","Southern","Los Angeles","Newport Beach",2008,19,49375,142463
"CDFW 2009","landings08_cpfv2.pdf","Southern","Los Angeles","Oceanside-Dana Harbor",2008,25,55051,124849
"CDFW 2009","landings08_cpfv2.pdf","Southern","Los Angeles","Redondo-Marina del Rey-Malibu",2008,12,42137,173595
"CDFW 2009","landings08_cpfv2.pdf","Southern","Los Angeles","Seal Beach-Long Beach-San Pedro",2008,43,92185,511280
"CDFW 2009","landings08_cpfv2.pdf","Northern","Monterey","Monterey-Moss Landing-Santa Cruz",2008,13,12465,125100
"CDFW 2009","landings08_cpfv2.pdf","Northern","Morro Bay","Avila Beach-Morro Bay",2008,9,17470,155726
"CDFW 2009","landings08_cpfv2.pdf","Southern","San Diego","San Diego-Mission Bay",2008,80,119910,458554
"CDFW 2009","landings08_cpfv2.pdf","Northern","San Francisco","San Francisco-SF Bay-Delta",2008,49,30663,106562
"CDFW 2009","landings08_cpfv2.pdf","Southern","Santa Barbara","Port Hueneme-Oxnard-Ventura-Santa Barbara",2008,33,40863,291859
"CDFW 2010","landings09_cpfv1.pdf","Northern","Bodega Bay","Princeton-Bodega Bay",2009,16,10706,92607
"CDFW 2010","landings09_cpfv1.pdf","Northern","Fort Bragg","Fort Bragg-Eureka-Crescent City",2009,17,7389,58250
"CDFW 2010","landings09_cpfv1.pdf","Southern","Los Angeles","Newport Beach",2009,20,42559,117444
"CDFW 2010","landings09_cpfv1.pdf","Southern","Los Angeles","Oceanside-Dana Harbor",2009,23,49452,110448
"CDFW 2010","landings09_cpfv1.pdf","Southern","Los Angeles","Redondo-Marina del Rey-Malibu",2009,11,39662,165428
"CDFW 2010","landings09_cpfv1.pdf","Southern","Los Angeles","Seal Beach-Long Beach-San Pedro",2009,46,80988,465966
"CDFW 2010","landings09_cpfv1.pdf","Northern","Monterey","Monterey-Moss Landing-Santa Cruz",2009,13,12624,132684
"CDFW 2010","landings09_cpfv1.pdf","Northern","Morro Bay","Avila Beach-Morro Bay",2009,8,16890,138143
"CDFW 2010","landings09_cpfv1.pdf","Southern","San Diego","San Diego-Mission Bay",2009,83,104780,446821
"CDFW 2010","landings09_cpfv1.pdf","Northern","San Francisco","San Francisco-SF Bay-Delta",2009,47,26606,83424
"CDFW 2010","landings09_cpfv1.pdf","Southern","Santa Barbara","Port Hueneme-Oxnard-Ventura-Santa Barbara",2009,31,41207,281283
"CDFW 2011","CPFV Annual Report - Page 1.pdf","Northern","Bodega Bay","Princeton-Bodega Bay",2010,21,12160,85040
"CDFW 2011","CPFV Annual Report - Page 1.pdf","Northern","Fort Bragg","Fort Bragg-Eureka-Crescent City",2010,18,6217,52520
"CDFW 2011","CPFV Annual Report - Page 1.pdf","Southern","Los Angeles","Newport Beach",2010,16,40335,112698
"CDFW 2011","CPFV Annual Report - Page 1.pdf","Southern","Los Angeles","Oceanside-Dana Harbor",2010,18,40849,87732
"CDFW 2011","CPFV Annual Report - Page 1.pdf","Southern","Los Angeles","Redondo-Marina del Rey-Malibu",2010,12,34692,146052
"CDFW 2011","CPFV Annual Report - Page 1.pdf","Southern","Los Angeles","Seal Beach-Long Beach-San Pedro",2010,42,73518,422437
"CDFW 2011","CPFV Annual Report - Page 1.pdf","Northern","Monterey","Monterey-Moss Landing-Santa Cruz",2010,16,15765,122941
"CDFW 2011","CPFV Annual Report - Page 1.pdf","Northern","Morro Bay","Avila Beach-Morro Bay",2010,10,16297,128630
"CDFW 2011","CPFV Annual Report - Page 1.pdf","Southern","San Diego","San Diego-Mission Bay",2010,83,85680,321882
"CDFW 2011","CPFV Annual Report - Page 1.pdf","Northern","San Francisco","San Francisco-SF Bay-Delta",2010,54,27636,95199
"CDFW 2011","CPFV Annual Report - Page 1.pdf","Southern","Santa Barbara","Port Hueneme-Oxnard-Ventura-Santa Barbara",2010,28,36376,256930
"CDFW 2012","CPFV Annual Report - Page 1.pdf","Northern","Bodega Bay","Princeton-Bodega Bay",2011,25,17004,139796
"CDFW 2012","CPFV Annual Report - Page 1.pdf","Northern","Fort Bragg","Fort Bragg-Eureka-Crescent City",2011,23,10699,72741
"CDFW 2012","CPFV Annual Report - Page 1.pdf","Southern","Los Angeles","Newport Beach",2011,25,52899,191943
"CDFW 2012","CPFV Annual Report - Page 1.pdf","Southern","Los Angeles","Oceanside-Dana Harbor",2011,21,43142,102783
"CDFW 2012","CPFV Annual Report - Page 1.pdf","Southern","Los Angeles","Redondo-Marina del Rey-Malibu",2011,10,40359,209872
"CDFW 2012","CPFV Annual Report - Page 1.pdf","Southern","Los Angeles","Seal Beach-Long Beach-San Pedro",2011,53,78329,536458
"CDFW 2012","CPFV Annual Report - Page 1.pdf","Northern","Monterey","Monterey-Moss Landing-Santa Cruz",2011,16,17879,136771
"CDFW 2012","CPFV Annual Report - Page 1.pdf","Northern","Morro Bay","Avila Beach-Morro Bay",2011,12,19238,166284
"CDFW 2012","CPFV Annual Report - Page 1.pdf","Southern","San Diego","San Diego-Mission Bay",2011,81,90357,414099
"CDFW 2012","CPFV Annual Report - Page 1.pdf","Northern","San Francisco","San Francisco-SF Bay-Delta",2011,62,33908,150125
"CDFW 2012","CPFV Annual Report - Page 1.pdf","Southern","Santa Barbara","Port Hueneme-Oxnard-Ventura-Santa Barbara",2011,30,51788,399518
"CDFW 2013","CPFV ANNUAL 2.pdf","Northern","Bodega Bay","Princeton-Bodega Bay",2012,32,19047,126143
"CDFW 2013","CPFV ANNUAL 2.pdf","Northern","Fort Bragg","Fort Bragg-Eureka-Crescent City",2012,22,12023,72185
"CDFW 2013","CPFV ANNUAL 2.pdf","Southern","Los Angeles","Newport Beach",2012,19,58915,214799
"CDFW 2013","CPFV ANNUAL 2.pdf","Southern","Los Angeles","Oceanside-Dana Harbor",2012,23,43947,96501
"CDFW 2013","CPFV ANNUAL 2.pdf","Southern","Los Angeles","Redondo-Marina del Rey-Malibu",2012,15,43221,215036
"CDFW 2013","CPFV ANNUAL 2.pdf","Southern","Los Angeles","Seal Beach-Long Beach-San Pedro",2012,56,74457,509417
"CDFW 2013","CPFV ANNUAL 2.pdf","Northern","Monterey","Monterey-Moss Landing-Santa Cruz",2012,22,22721,145185
"CDFW 2013","CPFV ANNUAL 2.pdf","Northern","Morro Bay","Avila Beach-Morro Bay",2012,9,16998,132708
"CDFW 2013","CPFV ANNUAL 2.pdf","Southern","San Diego","San Diego-Mission Bay",2012,102,117335,493977
"CDFW 2013","CPFV ANNUAL 2.pdf","Northern","San Francisco","San Francisco-SF Bay-Delta",2012,58,36910,161523
"CDFW 2013","CPFV ANNUAL 2.pdf","Southern","Santa Barbara","Port Hueneme-Oxnard-Ventura-Santa Barbara",2012,30,62355,491817
"CDFW 2014","CPFV 2.pdf","Northern","Bodega Bay","Princeton-Bodega Bay",2013,32,18827,139857
"CDFW 2014","CPFV 2.pdf","Northern","Fort Bragg","Fort Bragg-Eureka-Crescent City",2013,24,12134,69711
"CDFW 2014","CPFV 2.pdf","Southern","Los Angeles","Newport Beach",2013,16,58355,265926
"CDFW 2014","CPFV 2.pdf","Southern","Los Angeles","Oceanside-Dana Harbor",2013,24,43388,112301
"CDFW 2014","CPFV 2.pdf","Southern","Los Angeles","Redondo-Marina del Rey-Malibu",2013,17,47326,267375
"CDFW 2014","CPFV 2.pdf","Southern","Los Angeles","Seal Beach-Long Beach-San Pedro",2013,58,79740,527140
"CDFW 2014","CPFV 2.pdf","Northern","Monterey","Monterey-Moss Landing-Santa Cruz",2013,19,21943,203566
"CDFW 2014","CPFV 2.pdf","Northern","Morro Bay","Avila Beach-Morro Bay",2013,9,21202,178942
"CDFW 2014","CPFV 2.pdf","Southern","San Diego","San Diego-Mission Bay",2013,106,127559,551420
"CDFW 2014","CPFV 2.pdf","Northern","San Francisco","San Francisco-SF Bay-Delta",2013,63,46908,238285
"CDFW 2014","CPFV 2.pdf","Southern","Santa Barbara","Port Hueneme-Oxnard-Ventura-Santa Barbara",2013,32,64307,488966
"CDFW 2015","Annual CPFV 2.pdf","Northern","Bodega Bay","Princeton-Bodega Bay",2014,29,17883,158506
"CDFW 2015","Annual CPFV 2.pdf","Northern","Fort Bragg","Fort Bragg-Eureka-Crescent City",2014,34,12565,83141
"CDFW 2015","Annual CPFV 2.pdf","Southern","Los Angeles","Newport Beach",2014,17,65379,231728
"CDFW 2015","Annual CPFV 2.pdf","Southern","Los Angeles","Oceanside-Dana Harbor",2014,26,49210,101353
"CDFW 2015","Annual CPFV 2.pdf","Southern","Los Angeles","Redondo-Marina del Rey-Malibu",2014,18,39036,215266
"CDFW 2015","Annual CPFV 2.pdf","Southern","Los Angeles","Seal Beach-Long Beach-San Pedro",2014,63,91701,547062
"CDFW 2015","Annual CPFV 2.pdf","Northern","Monterey","Monterey-Moss Landing-Santa Cruz",2014,20,23941,306834
"CDFW 2015","Annual CPFV 2.pdf","Northern","Morro Bay","Avila Beach-Morro Bay",2014,11,23651,204832
"CDFW 2015","Annual CPFV 2.pdf","Southern","San Diego","San Diego-Mission Bay",2014,120,132737,591331
"CDFW 2015","Annual CPFV 2.pdf","Northern","San Francisco","San Francisco-SF Bay-Delta",2014,74,50238,250868
"CDFW 2015","Annual CPFV 2.pdf","Southern","Santa Barbara","Port Hueneme-Oxnard-Ventura-Santa Barbara",2014,36,65357,548527
"CDFW 2016","Annual CPFV 2.pdf","Northern","Bodega Bay","Princeton-Bodega Bay",2015,32,18776,166071
"CDFW 2016","Annual CPFV 2.pdf","Northern","Fort Bragg","Fort Bragg-Eureka-Crescent City",2015,30,12877,96678
"CDFW 2016","Annual CPFV 2.pdf","Southern","Los Angeles","Newport Beach",2015,19,67876,198499
"CDFW 2016","Annual CPFV 2.pdf","Southern","Los Angeles","Oceanside-Dana Harbor",2015,23,58116,114718
"CDFW 2016","Annual CPFV 2.pdf","Southern","Los Angeles","Redondo-Marina del Rey-Malibu",2015,18,48742,243458
"CDFW 2016","Annual CPFV 2.pdf","Southern","Los Angeles","Seal Beach-Long Beach-San Pedro",2015,68,109967,439718
"CDFW 2016","Annual CPFV 2.pdf","Northern","Monterey","Monterey-Moss Landing-Santa Cruz",2015,18,23458,282589
"CDFW 2016","Annual CPFV 2.pdf","Northern","Morro Bay","Avila Beach-Morro Bay",2015,16,24705,228580
"CDFW 2016","Annual CPFV 2.pdf","Southern","San Diego","San Diego-Mission Bay",2015,114,141427,555898
"CDFW 2016","Annual CPFV 2.pdf","Northern","San Francisco","San Francisco-SF Bay-Delta",2015,79,50941,218851
"CDFW 2016","Annual CPFV 2.pdf","Southern","Santa Barbara","Port Hueneme-Oxnard-Ventura-Santa Barbara",2015,33,63938,530184
"CDFW 2017","AnnualPortSideLogReport.pdf","Northern","Bodega Bay","Princeton-Bodega Bay",2016,30,17413,162617
"CDFW 2017","AnnualPortSideLogReport.pdf","Northern","Fort Bragg","Fort Bragg-Eureka-Crescent City",2016,31,10463,71586
"CDFW 2017","AnnualPortSideLogReport.pdf","Southern","Los Angeles","Newport Beach",2016,14,49934,146850
"CDFW 2017","AnnualPortSideLogReport.pdf","Southern","Los Angeles","Oceanside-Dana Harbor",2016,22,48378,106014
"CDFW 2017","AnnualPortSideLogReport.pdf","Southern","Los Angeles","Redondo-Marina del Rey-Malibu",2016,13,43172,259507
"CDFW 2017","AnnualPortSideLogReport.pdf","Southern","Los Angeles","Seal Beach-Long Beach-San Pedro",2016,58,86081,417206
"CDFW 2017","AnnualPortSideLogReport.pdf","Northern","Monterey","Monterey-Moss Landing-Santa Cruz",2016,16,18217,183036
"CDFW 2017","AnnualPortSideLogReport.pdf","Northern","Morro Bay","Avila Beach-Morro Bay",2016,16,26934,240537
"CDFW 2017","AnnualPortSideLogReport.pdf","Southern","San Diego","San Diego-Mission Bay",2016,98,98656,310584
"CDFW 2017","AnnualPortSideLogReport.pdf","Northern","San Francisco","San Francisco-SF Bay-Delta",2016,71,45872,225071
"CDFW 2017","AnnualPortSideLogReport.pdf","Southern","Santa Barbara","Port Hueneme-Oxnard-Ventura-Santa Barbara",2016,34,57105,452917
"CDFW 2018","AnnualPortSideLogReport.pdf","Northern","Bodega Bay","Princeton-Bodega Bay",2017,35,19756,171355
"CDFW 2018","AnnualPortSideLogReport.pdf","Northern","Fort Bragg","Fort Bragg-Eureka-Crescent City",2017,27,8220,69673
"CDFW 2018","AnnualPortSideLogReport.pdf","Southern","Los Angeles","Newport Beach",2017,14,44349,125172
"CDFW 2018","AnnualPortSideLogReport.pdf","Southern","Los Angeles","Oceanside-Dana Harbor",2017,26,50792,111786
"CDFW 2018","AnnualPortSideLogReport.pdf","Southern","Los Angeles","Redondo-Marina del Rey-Malibu",2017,14,32341,208065
"CDFW 2018","AnnualPortSideLogReport.pdf","Southern","Los Angeles","Seal Beach-Long Beach-San Pedro",2017,54,91922,446264
"CDFW 2018","AnnualPortSideLogReport.pdf","Northern","Monterey","Monterey-Moss Landing-Santa Cruz",2017,20,23188,200117
"CDFW 2018","AnnualPortSideLogReport.pdf","Northern","Morro Bay","Avila Beach-Morro Bay",2017,8,27828,252768
"CDFW 2018","AnnualPortSideLogReport.pdf","Southern","San Diego","San Diego-Mission Bay",2017,86,87523,321555
"CDFW 2018","AnnualPortSideLogReport.pdf","Northern","San Francisco","San Francisco-SF Bay-Delta",2017,64,46853,174506
"CDFW 2018","AnnualPortSideLogReport.pdf","Southern","Santa Barbara","Port Hueneme-Oxnard-Ventura-Santa Barbara",2017,34,65862,612850
"CDFW 2019","AnnualPortSideLogReport_07192019.pdf","Northern","Bodega Bay","Princeton-Bodega Bay",2018,35,23281,200518
"CDFW 2019","AnnualPortSideLogReport_07192019.pdf","Northern","Fort Bragg","Fort Bragg-Eureka-Crescent City",2018,37,12867,96812
"CDFW 2019","AnnualPortSideLogReport_07192019.pdf","Southern","Los Angeles","Newport Beach",2018,25,48784,185376
"CDFW 2019","AnnualPortSideLogReport_07192019.pdf","Southern","Los Angeles","Oceanside-Dana Harbor",2018,33,55107,129157
"CDFW 2019","AnnualPortSideLogReport_07192019.pdf","Southern","Los Angeles","Redondo-Marina del Rey-Malibu",2018,19,37811,246264
"CDFW 2019","AnnualPortSideLogReport_07192019.pdf","Southern","Los Angeles","Seal Beach-Long Beach-San Pedro",2018,61,85415,541638
"CDFW 2019","AnnualPortSideLogReport_07192019.pdf","Northern","Monterey","Monterey-Moss Landing-Santa Cruz",2018,15,18602,172138
"CDFW 2019","AnnualPortSideLogReport_07192019.pdf","Northern","Morro Bay","Avila Beach-Morro Bay",2018,10,28176,272110
"CDFW 2019","AnnualPortSideLogReport_07192019.pdf","Southern","San Diego","San Diego-Mission Bay",2018,101,94551,388565
