"source","table","category","species","year","landings_lb","value_usd"
"FB 181","Table 4a","Fish","Butterfish (Pacific pompano)",1990,29474,16320
"FB 181","Table 4a","Fish","Butterfish (Pacific pompano)",1991,22719,23518
"FB 181","Table 4a","Fish","Butterfish (Pacific pompano)",1992,14123,12168
"FB 181","Table 4a","Fish","Butterfish (Pacific pompano)",1993,20339,17575
"FB 181","Table 4a","Fish","Butterfish (Pacific pompano)",1994,14411,20711
"FB 181","Table 4a","Fish","Butterfish (Pacific pompano)",1995,6450,9209
"FB 181","Table 4a","Fish","Butterfish (Pacific pompano)",1996,7494,11833
"FB 181","Table 4a","Fish","Butterfish (Pacific pompano)",1997,2367,2482
"FB 181","Table 4a","Fish","Butterfish (Pacific pompano)",1998,2191,1530
"FB 181","Table 4a","Fish","Butterfish (Pacific pompano)",1999,1591,2610
"FB 181","Table 4a","Fish","Cabezon",1987,8832,2765
"FB 181","Table 4a","Fish","Cabezon",1988,12732,5596
"FB 181","Table 4a","Fish","Cabezon",1989,24995,8732
"FB 181","Table 4a","Fish","Cabezon",1990,25952,9404
"FB 181","Table 4a","Fish","Cabezon",1991,16282,13636
"FB 181","Table 4a","Fish","Cabezon",1992,36613,54114
"FB 181","Table 4a","Fish","Cabezon",1993,39307,123617
"FB 181","Table 4a","Fish","Cabezon",1994,82924,274370
"FB 181","Table 4a","Fish","Cabezon",1995,193802,665842
"FB 181","Table 4a","Fish","Cabezon",1996,245230,842609
"FB 181","Table 4a","Fish","Cabezon",1997,264887,858279
"FB 181","Table 4a","Fish","Cabezon",1998,372760,1231924
"FB 181","Table 4a","Fish","Cabezon",1999,274706,1014958
"FB 181","Table 4a","Fish","Cabrilla, spotted",1992,211,109
"FB 181","Table 4a","Fish","Cabrilla, spotted",1994,100,50
"FB 181","Table 4a","Fish","Cabrilla, spotted",1995,635,635
"FB 181","Table 4a","Fish","Cabrilla, spotted",1998,16,18
"FB 181","Table 4a","Fish","Cabrilla, spotted",1999,3,5
"FB 181","Table 4a","Fish","Cod, Pacific",1987,144938,45943
"FB 181","Table 4a","Fish","Cod, Pacific",1988,11017,3193
"FB 181","Table 4a","Fish","Cod, Pacific",1989,228,84
"FB 181","Table 4a","Fish","Cod, Pacific",1990,12,3
"FB 181","Table 4a","Fish","Cod, Pacific",1991,459,201
"FB 181","Table 4a","Fish","Cod, Pacific",1992,1843,2046
"FB 181","Table 4a","Fish","Cod, Pacific",1993,294,553
"FB 181","Table 4a","Fish","Cod, Pacific",1994,28,8
"FB 181","Table 4a","Fish","Cod, Pacific",1995,4,1
"FB 181","Table 4a","Fish","Cod, Pacific",1996,10,4
"FB 181","Table 4a","Fish","Cod, Pacific",1997,38,52
"FB 181","Table 4a","Fish","Cod, Pacific",1998,47,21
"FB 181","Table 4a","Fish","Cod, Pacific",1999,49,22
"FB 181","Table 4a","Fish","Corbina, California",1987,43,65
"FB 181","Table 4a","Fish","Corbina, California",1988,13,21
"FB 181","Table 4a","Fish","Corvina, shortfin",1995,1047,819
"FB 181","Table 4a","Fish","Corvina, shortfin",1996,1245,929
"FB 181","Table 4a","Fish","Corvina, shortfin",1997,462,365
"FB 181","Table 4a","Fish","Corvina, shortfin",1998,2131,2126
"FB 181","Table 4a","Fish","Corvina, shortfin",1999,58,58
"FB 181","Table 4a","Fish","Croaker, black",1989,50,25
"FB 181","Table 4a","Fish","Croaker, black",1990,2660,1824
"FB 181","Table 4a","Fish","Croaker, black",1991,525,367
"FB 181","Table 4a","Fish","Croaker, black",1992,4388,3084
"FB 181","Table 4a","Fish","Croaker, black",1993,230,173
"FB 181","Table 4a","Fish","Croaker, black",1997,33,31
"FB 181","Table 4a","Fish","Croaker, black",1998,29,40
"FB 181","Table 4a","Fish","Croaker, unspecified",1987,80,32
"FB 181","Table 4a","Fish","Croaker, unspecified",1988,46,20
"FB 181","Table 4a","Fish","Croaker, unspecified",1989,45,20
"FB 181","Table 4a","Fish","Croaker, unspecified",1990,40,12
"FB 181","Table 4a","Fish","Croaker, unspecified",1991,37,15
"FB 181","Table 4a","Fish","Croaker, unspecified",1992,77,62
"FB 181","Table 4a","Fish","Croaker, unspecified",1993,420,210
"FB 181","Table 4a","Fish","Croaker, unspecified",1996,20,10
"FB 181","Table 4a","Fish","Croaker, unspecified",1998,374,206
"FB 181","Table 4a","Fish","Croaker, unspecified",1999,593,238
"FB 181","Table 4a","Fish","Croaker, white",1987,912952,340054
"FB 181","Table 4a","Fish","Croaker, white",1988,1135750,433314
"FB 181","Table 4a","Fish","Croaker, white",1989,1042291,423025
"FB 181","Table 4a","Fish","Croaker, white",1990,774854,338014
"FB 181","Table 4a","Fish","Croaker, white",1991,996314,439215
"FB 181","Table 4a","Fish","Croaker, white",1992,715950,347930
"FB 181","Table 4a","Fish","Croaker, white",1993,714249,410514
"FB 181","Table 4a","Fish","Croaker, white",1994,474552,282683
"FB 181","Table 4a","Fish","Croaker, white",1995,565313,348756
"FB 181","Table 4a","Fish","Croaker, white",1996,528786,315536
"FB 181","Table 4a","Fish","Croaker, white",1997,345034,223235
"FB 181","Table 4a","Fish","Croaker, white",1998,142441,101559
"FB 181","Table 4a","Fish","Croaker, white",1999,203161,134202
"FB 181","Table 4a","Fish","Croaker, yellowfin",1995,55,28
"FB 181","Table 4a","Fish","Croaker, yellowfin",1999,755,378
"FB 181","Table 4a","Fish","Dolphin (fish)",1987,714,357
"FB 181","Table 4a","Fish","Dolphin (fish)",1988,377,510
"FB 181","Table 4a","Fish","Dolphin (fish)",1989,828,59
"FB 181","Table 4a","Fish","Dolphin (fish)",1990,1510,1978
"FB 181","Table 4a","Fish","Dolphin (fish)",1991,713,1155
"FB 181","Table 4a","Fish","Dolphin (fish)",1992,7123,6253
"FB 181","Table 4a","Fish","Dolphin (fish)",1993,37250,43346
"FB 181","Table 4a","Fish","Dolphin (fish)",1994,82211,74889
"FB 181","Table 4a","Fish","Dolphin (fish)",1995,10915,5443
"FB 181","Table 4a","Fish","Dolphin (fish)",1996,19502,10656
"FB 181","Table 4a","Fish","Dolphin (fish)",1997,10318,10129
"FB 181","Table 4a","Fish","Dolphin (fish)",1998,6970,10284
"FB 181","Table 4a","Fish","Dolphin (fish)",1999,35795,47825
"FB 181","Table 4a","Fish","Eel",1987,227,31
"FB 181","Table 4a","Fish","Eel",1988,117,77
"FB 181","Table 4a","Fish","Eel",1989,1742,822
"FB 181","Table 4a","Fish","Eel",1990,570,273
"FB 181","Table 4a","Fish","Eel",1991,1284,3272
"FB 181","Table 4a","Fish","Eel",1992,6104,14858
"FB 181","Table 4a","Fish","Eel",1993,5826,12561
"FB 181","Table 4a","Fish","Eel",1994,1514,4594
"FB 181","Table 4a","Fish","Eel",1995,54,132
"FB 181","Table 4a","Fish","Eel",1996,132,333
"FB 181","Table 4a","Fish","Eel",1997,1171,3803
"FB 181","Table 4a","Fish","Eel",1998,215,595
"FB 181","Table 4a","Fish","Eel",1999,6,12
"FB 181","Table 4a","Fish","Eel, California moray",1987,5,3
"FB 181","Table 4a","Fish","Eel, California moray",1990,1187,4345
"FB 181","Table 4a","Fish","Eel, California moray",1991,1110,3329
"FB 181","Table 4a","Fish","Eel, California moray",1992,1219,3323
"FB 181","Table 4a","Fish","Eel, California moray",1993,775,2457
"FB 181","Table 4a","Fish","Eel, California moray",1994,5598,13959
"FB 181","Table 4a","Fish","Eel, California moray",1995,7516,26801
"FB 181","Table 4a","Fish","Eel, California moray",1996,4891,16344
"FB 181","Table 4a","Fish","Eel, California moray",1997,4819,13326
"FB 181","Table 4a","Fish","Eel, California moray",1998,4726,13636
"FB 181","Table 4a","Fish","Eel, California moray",1999,581,3941
"FB 181","Table 4a","Fish","Eel, spotted cusk-",1994,117,58
"FB 181","Table 4a","Fish","Eel, spotted cusk-",1996,128,64
"FB 181","Table 4a","Fish","Eel, spotted cusk-",1997,45,22
"FB 181","Table 4a","Fish","Eel, spotted cusk-",1998,1,1
"FB 181","Table 4a","Fish","Eel, wolf (wolf-eel)",1987,6657,2685
"FB 181","Table 4a","Fish","Eel, wolf (wolf-eel)",1988,2043,714
"FB 181","Table 4a","Fish","Eel, wolf (wolf-eel)",1989,12612,3316
"FB 181","Table 4a","Fish","Eel, wolf (wolf-eel)",1990,2270,905
"FB 181","Table 4a","Fish","Eel, wolf (wolf-eel)",1991,1044,654
"FB 181","Table 4a","Fish","Eel, wolf (wolf-eel)",1992,1101,652
"FB 181","Table 4a","Fish","Eel, wolf (wolf-eel)",1993,1556,715
"FB 181","Table 4a","Fish","Eel, wolf (wolf-eel)",1994,1497,2716
"FB 181","Table 4a","Fish","Eel, wolf (wolf-eel)",1995,434,283
"FB 181","Table 4a","Fish","Eel, wolf (wolf-eel)",1996,43,77
"FB 181","Table 4a","Fish","Eel, wolf (wolf-eel)",1997,11,9
"FB 181","Table 4a","Fish","Eel, wolf (wolf-eel)",1998,21,15
"FB 181","Table 4a","Fish","Eel, wolf (wolf-eel)",1999,4,2
"FB 181","Table 4a","Fish","Escolar",1994,10244,11113
"FB 181","Table 4a","Fish","Escolar",1995,2987,3633
"FB 181","Table 4a","Fish","Escolar",1996,1519,1633
"FB 181","Table 4a","Fish","Escolar",1997,568,519
"FB 181","Table 4a","Fish","Escolar",1998,5372,6786
"FB 181","Table 4a","Fish","Escolar",1999,3816,4454
"FB 181","Table 4a","Fish","Eulachon",1987,3046,361
"FB 181","Table 4a","Fish","Eulachon",1990,20,20
"FB 181","Table 4a","Fish","Eulachon",1993,25,5
"FB 181","Table 4a","Fish","Fish, unspecified",1987,143249,10320
"FB 181","Table 4a","Fish","Fish, unspecified",1988,101550,14051
"FB 181","Table 4a","Fish","Fish, unspecified",1989,46052,9562
"FB 181","Table 4a","Fish","Fish, unspecified",1990,25463,16158
"FB 181","Table 4a","Fish","Fish, unspecified",1991,23957,6053
"FB 181","Table 4a","Fish","Fish, unspecified",1992,14779,8462
"FB 181","Table 4a","Fish","Fish, unspecified",1993,8208,38275
"FB 181","Table 4a","Fish","Fish, unspecified",1994,2333,1983
"FB 181","Table 4a","Fish","Fish, unspecified",1995,9695,4730
"FB 181","Table 4a","Fish","Fish, unspecified",1996,6522,2897
"FB 181","Table 4a","Fish","Fish, unspecified",1997,4599,2710
"FB 181","Table 4a","Fish","Fish, unspecified",1998,4675,4131
"FB 181","Table 4a","Fish","Fish, unspecified",1999,1213,1281
"FB 181","Table 4a","Fish","Flounder, arrowtooth",1987,100182,14548
"FB 181","Table 4a","Fish","Flounder, arrowtooth",1988,79997,12446
"FB 181","Table 4a","Fish","Flounder, arrowtooth",1989,62465,8675
"FB 181","Table 4a","Fish","Flounder, arrowtooth",1990,119468,12759
"FB 181","Table 4a","Fish","Flounder, arrowtooth",1991,345090,41464
"FB 181","Table 4a","Fish","Flounder, arrowtooth",1992,218173,23874
"FB 181","Table 4a","Fish","Flounder, arrowtooth",1993,125347,12590
"FB 181","Table 4a","Fish","Flounder, arrowtooth",1994,161936,20996
"FB 181","Table 4a","Fish","Flounder, arrowtooth",1995,259994,31969
"FB 181","Table 4a","Fish","Flounder, arrowtooth",1996,110415,11844
"FB 181","Table 4a","Fish","Flounder, arrowtooth",1997,104739,11093
"FB 181","Table 4a","Fish","Flounder, arrowtooth",1998,82109,9849
"FB 181","Table 4a","Fish","Flounder, arrowtooth",1999,94500,10292
"FB 181","Table 4a","Fish","Flounder, starry",1987,210972,94742
"FB 181","Table 4a","Fish","Flounder, starry",1988,217395,102284
"FB 181","Table 4a","Fish","Flounder, starry",1989,135934,61171
"FB 181","Table 4a","Fish","Flounder, starry",1990,80390,35197
"FB 181","Table 4a","Fish","Flounder, starry",1991,102933,51233
"FB 181","Table 4a","Fish","Flounder, starry",1992,78185,39671
"FB 181","Table 4a","Fish","Flounder, starry",1993,41897,17982
"FB 181","Table 4a","Fish","Flounder, starry",1994,33244,17041
"FB 181","Table 4a","Fish","Flounder, starry",1995,25580,14816
"FB 181","Table 4a","Fish","Flounder, starry",1996,49286,21316
"FB 181","Table 4a","Fish","Flounder, starry",1997,94591,43416
"FB 181","Table 4a","Fish","Flounder, starry",1998,100303,44234
"FB 181","Table 4a","Fish","Flounder, starry",1999,76463,35755
"FB 181","Table 4a","Fish","Flounder, unspecified",1987,70875,33643
"FB 181","Table 4a","Fish","Flounder, unspecified",1988,47449,22449
"FB 181","Table 4a","Fish","Flounder, unspecified",1989,69245,39057
"FB 181","Table 4a","Fish","Flounder, unspecified",1990,35797,18458
"FB 181","Table 4a","Fish","Flounder, unspecified",1991,12052,6550
"FB 181","Table 4a","Fish","Flounder, unspecified",1992,27594,17237
"FB 181","Table 4a","Fish","Flounder, unspecified",1993,24498,15962
"FB 181","Table 4a","Fish","Flounder, unspecified",1994,5294,4010
"FB 181","Table 4a","Fish","Flounder, unspecified",1995,7125,8651
"FB 181","Table 4a","Fish","Flounder, unspecified",1996,11326,14723
"FB 181","Table 4a","Fish","Flounder, unspecified",1997,6928,3462
"FB 181","Table 4a","Fish","Flounder, unspecified",1998,34971,18282
"FB 181","Table 4a","Fish","Flounder, unspecified",1999,29372,14957
"FB 181","Table 4a","Fish","Flyingfish",1987,179528,74548
"FB 181","Table 4a","Fish","Flyingfish",1988,107032,42386
"FB 181","Table 4a","Fish","Flyingfish",1989,107369,41373
"FB 181","Table 4a","Fish","Flyingfish",1990,83889,33612
"FB 181","Table 4a","Fish","Flyingfish",1991,77638,34496
"FB 181","Table 4a","Fish","Flyingfish",1992,19720,10478
"FB 181","Table 4a","Fish","Flyingfish",1993,26476,13122
"FB 181","Table 4a","Fish","Flyingfish",1994,254,109
"FB 181","Table 4a","Fish","Flyingfish",1998,6,9
"FB 181","Table 4a","Fish","Flyingfish",1999,257,162
"FB 181","Table 4a","Fish","Garibaldi",1987,95,2012
"FB 181","Table 4a","Fish","Garibaldi",1988,261,6969
"FB 181","Table 4a","Fish","Garibaldi",1990,43,128
"FB 181","Table 4a","Fish","Garibaldi",1995,25,90
"FB 181","Table 4a","Fish","Goby, bluebanded",1987,18,5
"FB 181","Table 4a","Fish","Goby, bluebanded",1988,32,37
"FB 181","Table 4a","Fish","Goby, bluebanded",1993,120,60
"FB 181","Table 4a","Fish","Goby, yellowfin",1990,3869,16897
"FB 181","Table 4a","Fish","Goby, yellowfin",1991,379,2052
"FB 181","Table 4a","Fish","Goby, yellowfin",1992,2059,2797
"FB 181","Table 4a","Fish","Goby, yellowfin",1993,12279,12960
"FB 181","Table 4a","Fish","Goby, yellowfin",1994,1091,3414
"FB 181","Table 4a","Fish","Goby, yellowfin",1995,678,2069
"FB 181","Table 4a","Fish","Goby, yellowfin",1996,1367,1761
"FB 181","Table 4a","Fish","Goby, yellowfin",1997,60,360
"FB 181","Table 4a","Fish","Goby, yellowfin",1998,731,2378
"FB 181","Table 4a","Fish","Goby, yellowfin",1999,290,945
"FB 181","Table 4a","Fish","Greenling, kelp",1987,1578,393
"FB 181","Table 4a","Fish","Greenling, kelp",1988,4180,1234
"FB 181","Table 4a","Fish","Greenling, kelp",1989,5783,2990
"FB 181","Table 4a","Fish","Greenling, kelp",1990,3334,2758
"FB 181","Table 4a","Fish","Greenling, kelp",1991,1645,1121
"FB 181","Table 4a","Fish","Greenling, kelp",1992,4626,2092
"FB 181","Table 4a","Fish","Greenling, kelp",1993,1651,3718
"FB 181","Table 4a","Fish","Greenling, kelp",1994,2550,7357
"FB 181","Table 4a","Fish","Greenling, kelp",1995,2577,5018
"FB 181","Table 4a","Fish","Greenling, kelp",1996,5710,14975
"FB 181","Table 4a","Fish","Greenling, kelp",1997,17445,50590
"FB 181","Table 4a","Fish","Greenling, kelp",1998,14177,50768
"FB 181","Table 4a","Fish","Greenling, kelp",1999,30925,123107
"FB 181","Table 4a","Fish","Grenadiers",1987,127104,19155
"FB 181","Table 4a","Fish","Grenadiers",1988,262779,40107
"FB 181","Table 4a","Fish","Grenadiers",1989,100622,11556
"FB 181","Table 4a","Fish","Grenadiers",1990,176963,26455
"FB 181","Table 4a","Fish","Grenadiers",1991,156290,19926
"FB 181","Table 4a","Fish","Grenadiers",1992,314012,30374
"FB 181","Table 4a","Fish","Grenadiers",1993,844891,98773
"FB 181","Table 4a","Fish","Grenadiers",1994,1167200,158516
"FB 181","Table 4a","Fish","Grenadiers",1995,1051886,164764
"FB 181","Table 4a","Fish","Grenadiers",1996,2509944,352865
"FB 181","Table 4a","Fish","Grenadiers",1997,1408463,177146
"FB 181","Table 4a","Fish","Grenadiers",1998,1112316,155492
"FB 181","Table 4a","Fish","Grenadiers",1999,692549,85553
"FB 181","Table 4a","Fish","Grouper",1987,218,157
"FB 181","Table 4a","Fish","Grouper",1988,115,152
"FB 181","Table 4a","Fish","Grouper",1991,49,54
"FB 181","Table 4a","Fish","Grouper",1993,383,243
"FB 181","Table 4a","Fish","Grouper",1994,40,20
"FB 181","Table 4a","Fish","Grouper",1999,2,4
"FB 181","Table 4a","Fish","Grouper, broomtail",1995,29,58
"FB 181","Table 4a","Fish","Grunion, California",1992,1089,327
"FB 181","Table 4a","Fish","Guitarfish, shovelnose",1987,55037,21966
"FB 181","Table 4a","Fish","Guitarfish, shovelnose",1988,52707,22669
"FB 181","Table 4a","Fish","Guitarfish, shovelnose",1989,53728,23223
"FB 181","Table 4a","Fish","Guitarfish, shovelnose",1990,52393,20142
"FB 181","Table 4a","Fish","Guitarfish, shovelnose",1991,52704,20784
"FB 181","Table 4a","Fish","Guitarfish, shovelnose",1992,39623,15558
"FB 181","Table 4a","Fish","Guitarfish, shovelnose",1993,31743,12566
"FB 181","Table 4a","Fish","Guitarfish, shovelnose",1994,10687,6929
"FB 181","Table 4a","Fish","Guitarfish, shovelnose",1995,7679,4806
"FB 181","Table 4a","Fish","Guitarfish, shovelnose",1996,12578,10447
"FB 181","Table 4a","Fish","Guitarfish, shovelnose",1997,24333,9982
"FB 181","Table 4a","Fish","Guitarfish, shovelnose",1998,31171,14369
"FB 181","Table 4a","Fish","Guitarfish, shovelnose",1999,37354,17831
"FB 181","Table 4a","Fish","Hagfish",1988,690655,299144
"FB 181","Table 4a","Fish","Hagfish",1989,2642540,1061859
"FB 181","Table 4a","Fish","Hagfish",1990,4900596,2159512
"FB 181","Table 4a","Fish","Hagfish",1991,303228,158993
"FB 181","Table 4a","Fish","Hagfish",1992,405374,76621
"FB 181","Table 4a","Fish","Hagfish",1993,473,144
"FB 181","Table 4a","Fish","Hagfish",1994,1206,672
"FB 181","Table 4a","Fish","Hagfish",1995,72,72
"FB 181","Table 4a","Fish","Hagfish",1996,182445,36718
"FB 181","Table 4a","Fish","Hagfish",1997,86,181
"FB 181","Table 4a","Fish","Hagfish",1998,523,2312
"FB 181","Table 4a","Fish","Hagfish",1999,206,117
"FB 181","Table 4a","Fish","Halfmoon",1987,2865,1814
"FB 181","Table 4a","Fish","Halfmoon",1988,4321,3694
"FB 181","Table 4a","Fish","Halfmoon",1989,5205,4159
"FB 181","Table 4a","Fish","Halfmoon",1990,5038,4011
"FB 181","Table 4a","Fish","Halfmoon",1991,3383,2952
"FB 181","Table 4a","Fish","Halfmoon",1992,1435,1189
"FB 181","Table 4a","Fish","Halfmoon",1993,2845,2595
"FB 181","Table 4a","Fish","Halfmoon",1994,2067,1821
"FB 181","Table 4a","Fish","Halfmoon",1995,757,732
"FB 181","Table 4a","Fish","Halfmoon",1996,541,606
"FB 181","Table 4a","Fish","Halfmoon",1997,169,231
"FB 181","Table 4a","Fish","Halfmoon",1998,43,39
"FB 181","Table 4a","Fish","Halfmoon",1999,37,36
"FB 181","Table 4a","Fish","Halibut, California",1987,1188596,2552378
"FB 181","Table 4a","Fish","Halibut, California",1988,1107207,2469965
"FB 181","Table 4a","Fish","Halibut, California",1989,1219321,2720709
"FB 181","Table 4a","Fish","Halibut, California",1990,938572,2157683
"FB 181","Table 4a","Fish","Halibut, California",1991,1040864,2478805
"FB 181","Table 4a","Fish","Halibut, California",1992,885346,2138355
"FB 181","Table 4a","Fish","Halibut, California",1993,726550,1846736
"FB 181","Table 4a","Fish","Halibut, California",1994,535018,1520105
"FB 181","Table 4a","Fish","Halibut, California",1995,771641,2169094
"FB 181","Table 4a","Fish","Halibut, California",1996,914236,2488430
"FB 181","Table 4a","Fish","Halibut, California",1997,1325175,3321403
"FB 181","Table 4a","Fish","Halibut, California",1998,1187503,2814031
"FB 181","Table 4a","Fish","Halibut, California",1999,1314628,3298315
"FB 181","Table 4a","Fish","Halibut, Pacific",1987,62056,123325
"FB 181","Table 4a","Fish","Halibut, Pacific",1988,42802,73506
"FB 181","Table 4a","Fish","Halibut, Pacific",1989,304,570
"FB 181","Table 4a","Fish","Halibut, Pacific",1990,18,44
"FB 181","Table 4a","Fish","Halibut, Pacific",1991,4583,11638
"FB 181","Table 4a","Fish","Halibut, Pacific",1992,2102,3813
"FB 181","Table 4a","Fish","Halibut, Pacific",1993,3625,6502
"FB 181","Table 4a","Fish","Halibut, Pacific",1994,371,1163
"FB 181","Table 4a","Fish","Halibut, Pacific",1995,8506,20826
"FB 181","Table 4a","Fish","Halibut, Pacific",1996,7504,19106
"FB 181","Table 4a","Fish","Halibut, Pacific",1997,13707,28485
"FB 181","Table 4a","Fish","Halibut, Pacific",1998,6313,10981
"FB 181","Table 4a","Fish","Halibut, Pacific",1999,4011,8648
"FB 181","Table 4a","Fish","Halibut, unspecified",1987,395,886
"FB 181","Table 4a","Fish","Halibut, unspecified",1989,43,115
"FB 181","Table 4a","Fish","Halibut, unspecified",1990,34,78
"FB 181","Table 4a","Fish","Halibut, unspecified",1991,294,833
"FB 181","Table 4a","Fish","Halibut, unspecified",1992,8204,18374
"FB 181","Table 4a","Fish","Halibut, unspecified",1994,185,546
"FB 181","Table 4a","Fish","Halibut, unspecified",1995,126,260
"FB 181","Table 4a","Fish","Halibut, unspecified",1996,27,36
"FB 181","Table 4a","Fish","Halibut, unspecified",1997,2239,5100
"FB 181","Table 4a","Fish","Halibut, unspecified",1998,13273,30029
"FB 181","Table 4a","Fish","Halibut, unspecified",1999,39120,95914
"FB 181","Table 4a","Fish","Herring roe on kelp",1987,43359,84739
"FB 181","Table 4a","Fish","Herring roe on kelp",1988,15877,31755
