"source","table","year","port_complex","category","species","landings_lb","value_usd"
"FB 181","Table 5a",1987,"Los Angeles","Rockfish","Rockfish, unspecified",115626,93359
"FB 181","Table 5a",1987,"Los Angeles","Rockfish","Rockfish, yelloweye",778,389
"FB 181","Table 5a",1987,"Monterey","Crustaceans","Crab, claws",7413,10807
"FB 181","Table 5a",1987,"Monterey","Crustaceans","Crab, Dungeness",18276,19456
"FB 181","Table 5a",1987,"Monterey","Crustaceans","Crab, rock unspecified",4823,4063
"FB 181","Table 5a",1987,"Monterey","Crustaceans","Lobster, California spiny",220,535
"FB 181","Table 5a",1987,"Monterey","Crustaceans","Prawn, spot",11147,58175
"FB 181","Table 5a",1987,"Monterey","Crustaceans","Shrimp, Pacific Ocean",179,126
"FB 181","Table 5a",1987,"Monterey","Crustaceans","Shrimp, unspecified",906,5292
"FB 181","Table 5a",1987,"Monterey","Echinoderms","Urchin, red",970,134
"FB 181","Table 5a",1987,"Monterey","Fish","Anchovy, northern",1491055,64486
"FB 181","Table 5a",1987,"Monterey","Fish","Bass, giant sea",78,153
"FB 181","Table 5a",1987,"Monterey","Fish","Bass, kelp",23,18
"FB 181","Table 5a",1987,"Monterey","Fish","Bonito, Pacific",18756,4532
"FB 181","Table 5a",1987,"Monterey","Fish","Butterfish (Pacific pompano)",9898,9154
"FB 181","Table 5a",1987,"Monterey","Fish","Cabezon",1275,413
"FB 181","Table 5a",1987,"Monterey","Fish","Cod, Pacific",270,75
"FB 181","Table 5a",1987,"Monterey","Fish","Croaker, white",301620,90801
"FB 181","Table 5a",1987,"Monterey","Fish","Eel",221,25
"FB 181","Table 5a",1987,"Monterey","Fish","Eel, wolf (wolf-eel)",53,15
"FB 181","Table 5a",1987,"Monterey","Fish","Fish, unspecified",128330,3067
"FB 181","Table 5a",1987,"Monterey","Fish","Flounder, starry",23588,12607
"FB 181","Table 5a",1987,"Monterey","Fish","Flounder, unspecified",21993,12082
"FB 181","Table 5a",1987,"Monterey","Fish","Greenling, kelp",245,80
"FB 181","Table 5a",1987,"Monterey","Fish","Guitarfish, shovelnose",153,113
"FB 181","Table 5a",1987,"Monterey","Fish","Halibut, California",94318,208178
"FB 181","Table 5a",1987,"Monterey","Fish","Herring, Pacific",49727,577
"FB 181","Table 5a",1987,"Monterey","Fish","Jacksmelt",391,51
"FB 181","Table 5a",1987,"Monterey","Fish","Lingcod",322082,117503
"FB 181","Table 5a",1987,"Monterey","Fish","Louvar",1987,2512
"FB 181","Table 5a",1987,"Monterey","Fish","Mackerel, jack",462329,31600
"FB 181","Table 5a",1987,"Monterey","Fish","Mackerel, Pacific",708621,37774
"FB 181","Table 5a",1987,"Monterey","Fish","Mackerel, unspecified",1400549,72755
"FB 181","Table 5a",1987,"Monterey","Fish","Opah",7361,2633
"FB 181","Table 5a",1987,"Monterey","Fish","Queenfish",9,4
"FB 181","Table 5a",1987,"Monterey","Fish","Sablefish",876453,240051
"FB 181","Table 5a",1987,"Monterey","Fish","Salmon",3454,10597
"FB 181","Table 5a",1987,"Monterey","Fish","Salmon, Chinook",701313,1998996
"FB 181","Table 5a",1987,"Monterey","Fish","Salmon, coho",794,1967
"FB 181","Table 5a",1987,"Monterey","Fish","Sanddab",82292,25394
"FB 181","Table 5a",1987,"Monterey","Fish","Sardine, Pacific",104843,5197
"FB 181","Table 5a",1987,"Monterey","Fish","Seabass, white",204,425
"FB 181","Table 5a",1987,"Monterey","Fish","Shad, American",25,3
"FB 181","Table 5a",1987,"Monterey","Fish","Shark, bigeye thresher",3095,2867
"FB 181","Table 5a",1987,"Monterey","Fish","Shark, blue",190,77
"FB 181","Table 5a",1987,"Monterey","Fish","Shark, brown smoothhound",3,3
"FB 181","Table 5a",1987,"Monterey","Fish","Shark, leopard",7758,5555
"FB 181","Table 5a",1987,"Monterey","Fish","Shark, Pacific angel",6961,3240
"FB 181","Table 5a",1987,"Monterey","Fish","Shark, shortfin mako",12160,14193
"FB 181","Table 5a",1987,"Monterey","Fish","Shark, soupfin",12901,8420
"FB 181","Table 5a",1987,"Monterey","Fish","Shark, spiny dogfish",283,75
"FB 181","Table 5a",1987,"Monterey","Fish","Shark, thresher",49986,76764
"FB 181","Table 5a",1987,"Monterey","Fish","Shark, unspecified",8683,4968
"FB 181","Table 5a",1987,"Monterey","Fish","Sheephead, California",15,7
"FB 181","Table 5a",1987,"Monterey","Fish","Skate, unspecified",26864,7199
"FB 181","Table 5a",1987,"Monterey","Fish","Smelt, surf",545,300
"FB 181","Table 5a",1987,"Monterey","Fish","Smelt, whitebait",1841,919
"FB 181","Table 5a",1987,"Monterey","Fish","Smelts, true",915,298
"FB 181","Table 5a",1987,"Monterey","Fish","Sole, butter",14111,2430
"FB 181","Table 5a",1987,"Monterey","Fish","Sole, Dover",1236920,296017
"FB 181","Table 5a",1987,"Monterey","Fish","Sole, English",372760,120508
"FB 181","Table 5a",1987,"Monterey","Fish","Sole, petrale",218552,153863
"FB 181","Table 5a",1987,"Monterey","Fish","Sole, rex",128456,45373
"FB 181","Table 5a",1987,"Monterey","Fish","Sole, rock",15,6
"FB 181","Table 5a",1987,"Monterey","Fish","Sole, sand",5573,3231
"FB 181","Table 5a",1987,"Monterey","Fish","Sole, unspecified",6591,1349
"FB 181","Table 5a",1987,"Monterey","Fish","Stingray",265,2650
"FB 181","Table 5a",1987,"Monterey","Fish","Surfperch, redtail",171,145
"FB 181","Table 5a",1987,"Monterey","Fish","Surfperch, unspecified",2905,581
