"port_code","port_name","port_desc","agency","state","port_name_long"
"DNA","Dana Point","Dana Point","CDFW","California","Dana Point, California"
"DPO","Depoe Bay","Depoe Bay","ODFW","Oregon","Depoe Bay, Oregon"
"ALP","Domestic","All Shore Based And Catcher Processor Catch (Catcher Processor)","GLOB","Other","Domestic, Other"
"4O","Dutch Harbor","Dutch Harbor","ADFG","Alaska","Dutch Harbor, Alaska"
"EGR","East Germany","East Germany","NWAFC","Foreign","East Germany, Foreign"
"ERK","Eureka","Eureka","CDFW","California","Eureka, California"
"ERA","Eureka Area ports","Eureka Area Ports","CDFW","California","Eureka Area ports, California"
"EVR","Everett","Everett","WDFW","Washington","Everett, Washington"
"FLN","Fields Landing","Fields Landing","CDFW","California","Fields Landing, California"
"AKF","Fl/Akr","Internal Waters Floating Processors Catch","AKR","Other","Fl/Akr, Other"
"FL3","Fl/Akr 1","Internal Waters Floating Processors Catch","AKR","Other","Fl/Akr 1, Other"
"BD1","Floating Bait Deliveries 1","Floating Bait Deliveries","ADFG","Alaska","Floating Bait Deliveries 1, Alaska"
"FBD","Floating Bait Deliveries 2","Floating Bait Deliveries","ADFG","Alaska","Floating Bait Deliveries 2, Alaska"
"FLR","Florence","Florence","ODFW","Oregon","Florence, Oregon"
"BRG","Fort Bragg","Fort Bragg","CDFW","California","Fort Bragg, California"
"BGA","Fort Bragg Area ports","Fort Bragg Area Ports","CDFW","California","Fort Bragg Area ports, California"
"FRI","Friday Harbor","Friday Harbor","WDFW","Washington","Friday Harbor, Washington"
"GSS","Gearhart","Gearhart - Seaside","ODFW","Oregon","Gearhart, Oregon"
"GLD","Gold Beach","Gold Beach","ODFW","Oregon","Gold Beach, Oregon"
"GRH","Grays Harbor","Grays Harbor","WDFW","Washington","Grays Harbor, Washington"
"GRC","Greece","Greece","NWAFC","Foreign","Greece, Foreign"
"JVG","Greece-JV","Usa-Greece Joint Ventures","NWAFC","Foreign","Greece-JV, Foreign"
"LWC","Ilwaco/Chinook","Ilwaco/Chinook","WDFW","Washington","Ilwaco/Chinook, Washington"
"JPN","Japan","Japan","NWAFC","Foreign","Japan, Foreign"
"1A","Juneau","Juneau","ADFG","Alaska","Juneau, Alaska"
"1B","Ketchikan","Ketchikan","ADFG","Alaska","Ketchikan, Alaska"
"4K","Kodiak","Kodiak","ADFG","Alaska","Kodiak, Alaska"
"KRA","Korea","Korea","NWAFC","Foreign","Korea, Foreign"
"JVK","Korea-JV","Usa-Korea Joint Ventures","NWAFC","Foreign","Korea-JV, Foreign"
"3X","Kotzebue","Kotzebue","ADFG","Alaska","Kotzebue, Alaska"
"3W","Kuskokwim","Kuskokwim","ADFG","Alaska","Kuskokwim, Alaska"
"LAC","La Conner","La Conner","WDFW","Washington","La Conner, Washington"
"LAP","La Push","La Push","WDFW","Washington","La Push, Washington"
"OR1","Landed in WA, transported to OR 1","Landed In Wa; Transported To Or","ODFW","Oregon","Landed in WA, transported to OR 1, Oregon"
"WAL","Landed in WA, transported to OR 2","Landed In Washington; Transported To Oregon","ODFW","Oregon","Landed in WA, transported to OR 2, Oregon"
"LGB","Long Beach","Long Beach","CDFW","California","Long Beach, California"
"LAA","Los Angeles Area ports","Los Angeles Area Ports","CDFW","California","Los Angeles Area ports, California"
"MXO","Mexico","Mexico","NWAFC","Foreign","Mexico, Foreign"
"MCR","Mill Creek","Mill Creek","CDFW","California","Mill Creek, California"
"MNT","Monterey","Monterey","CDFW","California","Monterey, California"
"MNA","Monterey Area ports","Monterey Area Ports","CDFW","California","Monterey Area ports, California"
"MRO","Morro Bay","Morro Bay","CDFW","California","Morro Bay, California"
"MRA","Morro Bay Area ports","Morro Bay Area Ports","CDFW","California","Morro Bay Area ports, California"
"MOS","Moss Landing","Moss Landing","CDFW","California","Moss Landing, California"
"NEA","Neah Bay","Neah Bay","WDFW","Washington","Neah Bay, Washington"
"NHL","Nehalem Bay","Nehalem Bay","ODFW","Oregon","Nehalem Bay, Oregon"
"NTR","Netarts Bay","Netarts Bay","ODFW","Oregon","Netarts Bay, Oregon"
"NEW","Newport","Newport","ODFW","Oregon","Newport, Oregon"
"NPA","Newport Area ports","Newport Area Ports","ODFW","Oregon","Newport Area ports, Oregon"
"NWB","Newport Beach","Newport Beach","CDFW","California","Newport Beach, California"
"AKR","NMFS/Akr","All Catch Reported By Nmfs/Akr","AKR","Other","NMFS/Akr, Other"
"NPS","North Puget Sound ports","North Puget Sound Ports","WDFW","Washington","North Puget Sound ports, Washington"
"3Z","Norton Sound","Norton Sound","ADFG","Alaska","Norton Sound, Alaska"
"OAK","Oakland","Oakland","CDFW","California","Oakland, California"
"OCN","Oceanside","Oceanside","CDFW","California","Oceanside, California"
"OLY","Olympia","Olympia","WDFW","Washington","Olympia, Washington"
"AS4","Oregon At Sea 1","Fish At Sea, Oregon","ODFW","Oregon","Oregon At Sea 1, Oregon"
"ASO","Oregon At Sea 2","Fish At Sea, Oregon","ODFW","Oregon","Oregon At Sea 2, Oregon"
"OCR","Other Columbia River ports","Other Columbia River Ports","WDFW","Washington","Other Columbia River ports, Washington"
"OCT","Other Countries","Other Countries","NWAFC","Foreign","Other Countries, Foreign"
"ODN","Other Del Norte County ports","Other Del Norte County Ports","CDFW","California","Other Del Norte County ports, California"
"OHB","Other Humboldt County ports","Other Humboldt County Ports","CDFW","California","Other Humboldt County ports, California"
"OJV","Other Joint Ventures","Other Joint-Ventures","NWAFC","Foreign","Other Joint Ventures, Foreign"
"OLA","Other Los Angeles/Orange County ports","Other La And Orange Cnty Ports","CDFW","California","Other Los Angeles/Orange County ports, California"
"OMD","Other Mendocino County ports","Other Mendocino County Ports","CDFW","California","Other Mendocino County ports, California"
"ONP","Other North Puget Sound ports","Other North Puget Sound Ports","WDFW","Washington","Other North Puget Sound ports, Washington"
"OSD","Other San Diego County ports","Other San Diego County Ports","CDFW","California","Other San Diego County ports, California"
"OSF","Other San Franciscio Bay/San Mateo County ports","Other S. F. Bay And San Mateo County Ports","CDFW","California","Other San Franciscio Bay/San Mateo County ports, California"
"OSL","Other San Luis Obispo County ports","Other San Luis Obispo County Ports","CDFW","California","Other San Luis Obispo County ports, California"
"OBV","Other Santa Barbara/Ventura County ports","Other Santa Barbara And Ventura County Ports","CDFW","California","Other Santa Barbara/Ventura County ports, California"
"OCM","Other Santa Cruz/Monterey County ports","Other Santa Cruz And Monterey County Ports","CDFW","California","Other Santa Cruz/Monterey County ports, California"
"OSM","Other Sononoma/Marin County Outer Coast ports","Other Sonoma And Marin County Outer Coast Ports","CDFW","California","Other Sononoma/Marin County Outer Coast ports, California"
"OSP","Other South Puget Sound ports","Other South Puget Sound Ports","WDFW","Washington","Other South Puget Sound ports, Washington"
"OWC","Other Washingtion Coastal ports","Other Washingtion Coastal Ports","WDFW","Washington","Other Washingtion Coastal ports, Washington"
"AL1","Other/Unknown Alaska ports 1","Other Or Unknown Alaska Sub-Region","ADFG","Alaska","Other/Unknown Alaska ports 1, Alaska"
"OAL","Other/Unknown Alaska ports 2","Other Or Unknown Alaska Sub-Region","ADFG","Alaska","Other/Unknown Alaska ports 2, Alaska"
"OCA","Other/Unknown California ports 1","Other Or Unknown California Ports","CDFW","California","Other/Unknown California ports 1, California"
"CA2","Other/Unknown California ports 2","Other Or Unknown California Ports","CDFW","California","Other/Unknown California ports 2, California"
"OOR","Other/Unknown Oregon ports 1","Other Or Unknown Oregon Ports","ODFW","Oregon","Other/Unknown Oregon ports 1, Oregon"
"OR4","Other/Unknown Oregon ports 2","Other Or Unknown Oregon Ports","ODFW","Oregon","Other/Unknown Oregon ports 2, Oregon"
"OWA","Other/Unknown Washington ports 1","Other Or Unknown Washington Ports","WDFW","Washington","Other/Unknown Washington ports 1, Washington"
"WA5","Other/Unknown Washington ports 2","Other Or Unknown Washington Ports","WDFW","Washington","Other/Unknown Washington ports 2, Washington"
"OXN","Oxnard","Oxnard","CDFW","California","Oxnard, California"
"PCC","Pacific City","Pacific City","ODFW","Oregon","Pacific City, Oregon"
"FPP","PFMC floating processor","Floating Processor Landings - Pfmc","AFSC","Alaska","PFMC floating processor, Alaska"
"ARE","Point Arena","Point Arena","CDFW","California","Point Arena, California"
"RYS","Point Reyes","Point Reyes","CDFW","California","Point Reyes, California"
"PLD","Poland","Poland","NWAFC","Foreign","Poland, Foreign"
"JVP","Poland-JV","Usa-Poland Joint Ventures","NWAFC","Foreign","Poland-JV, Foreign"
"PAG","Port Angeles","Port Angeles","WDFW","Washington","Port Angeles, Washington"
"HNM","Port Hueneme","Port Hueneme","CDFW","California","Port Hueneme, California"
"ORF","Port Orford","Port Orford","ODFW","Oregon","Port Orford, Oregon"
"TNS","Port Townsend","Port Townsend","WDFW","Washington","Port Townsend, Washington"
"PRT","Portugal","Portugal","NWAFC","Foreign","Portugal, Foreign"
"2E","Prince William Sound","Prince William Sound","ADFG","Alaska","Prince William Sound, Alaska"
"PRN","Princeton-Half Moon Bay","Princeton / Half Moon Bay","CDFW","California","Princeton-Half Moon Bay, California"
"RCH","Richmond","Richmond","CDFW","California","Richmond, California"
"SRV","Salmon River","Salmon River","ODFW","Oregon","Salmon River, Oregon"
"SD","San Diego","San Diego","CDFW","California","San Diego, California"
"SDA","San Diego Area ports","San Diego Area Ports","CDFW","California","San Diego Area ports, California"
"SF","San Francisco","San Francisco","CDFW","California","San Francisco, California"
"SFA","San Francisco Area ports","San Francisco Area Ports","CDFW","California","San Francisco Area ports, California"
"SP","San Pedro","San Pedro","CDFW","California","San Pedro, California"
"SIM","San Simeon","San Simeon","CDFW","California","San Simeon, California"
"SLK","Sand Lake","Sand Lake","ODFW","Oregon","Sand Lake, Oregon"
"SB","Santa Barbara","Santa Barbara","CDFW","California","Santa Barbara, California"
"SBA","Santa Barbara Area ports","Santa Barbara Area Ports","CDFW","California","Santa Barbara Area ports, California"
"CRZ","Santa Cruz","Santa Cruz","CDFW","California","Santa Cruz, California"
"SLT","Sausalito","Sausalito","CDFW","California","Sausalito, California"
"SEA","Seattle","Seattle","WDFW","Washington","Seattle, Washington"
"SEQ","Sequim","Sequim","WDFW","Washington","Sequim, Washington"
"SHL","Shelton","Shelton","WDFW","Washington","Shelton, Washington"
"SLZ","Siletz Bay","Siletz Bay","ODFW","Oregon","Siletz Bay, Oregon"
"1D","Sitka","Sitka","ADFG","Alaska","Sitka, Alaska"
"SPS","South Puget Sound ports","South Puget Sound Ports","WDFW","Washington","South Puget Sound ports, Washington"
"SE","Southeastern Region ports","Southeastern Region","ADFG","Alaska","Southeastern Region ports, Alaska"
"AKS","Ss/Akr","Shore-Side Processing Catch Reported By Akr","AKR","Other","Ss/Akr, Other"
"SR3","Ss/Akr 1","Shore-Side Processing Catch Reported By Akr","AKR","Other","Ss/Akr 1, Other"
"TAC","Tacoma","Tacoma","WDFW","Washington","Tacoma, Washington"
"TWN","Taiwan","Taiwan","NWAFC","Foreign","Taiwan, Foreign"
"TRM","Terminal Island","Terminal Island","CDFW","California","Terminal Island, California"
"TLA","Tillamook Area ports","Tillamook Area Ports","ODFW","Oregon","Tillamook Area ports, Oregon"
"TLL","Tillamook/Garibaldi","Tillamook/Garibaldi","ODFW","Oregon","Tillamook/Garibaldi, Oregon"
"TML","Tomales Bay","Tomales Bay","CDFW","California","Tomales Bay, California"
"TI","Tribal","Treaty Indian","GLOB","Other","Tribal, Other"
"TRN","Trinidad","Trinidad","CDFW","California","Trinidad, California"
"2","U.S. Ports","Dfo,Canada Port Group 2 (U.s.)","DFO - CANADA","Other","U.S. Ports, Other"
"DF2","U.S. Ports 1","Dfo,Canada Port Group 2 (U.s.)","DFO - CANADA","Other","U.S. Ports 1, Other"
"DF3","Unkn Dfo","Other Or Unknown Dfo,Canada Ports","DFO - CANADA","Other","Unkn Dfo, Other"
"ODF","Unkn Dfo 1","Other Or Unknown Dfo,Canada Ports","DFO - CANADA","Other","Unkn Dfo 1, Other"
"XXX","Unknown","Unknown Port For Bio. Data Sys.","XXXXX","Other","Unknown, Other"
"SSR","USSR","Ussr","NWAFC","Foreign","USSR, Foreign"
"JVR","USSR-JV","Usa-Ussr Joint Ventures","NWAFC","Foreign","USSR-JV, Foreign"
"VEN","Ventura","Ventura","CDFW","California","Ventura, California"
"WLD","Waldport","Waldport","ODFW","Oregon","Waldport, Oregon"
"AS5","Washington At Sea 1","Fish At Sea, Washington","WDFW","Washington","Washington At Sea 1, Washington"
"ASW","Washington At Sea 2","Fish At Sea, Washington","WDFW","Washington","Washington At Sea 2, Washington"
"WGR","West Germany","West Germany","NWAFC","Foreign","West Germany, Foreign"
"WPT","Westport","Westport","WDFW","Washington","Westport, Washington"
"WST","Westward Region ports","Westward Region","ADFG","Alaska","Westward Region ports, Alaska"
"WLB","Willapa Bay","Willapa Bay","WDFW","Washington","Willapa Bay, Washington"
"WLM","Willmington","Willmington","CDFW","California","Willmington, California"
"WIN","Winchester Bay","Winchester Bay","ODFW","Oregon","Winchester Bay, Oregon"
"1C","Wrangell-Petersburg","Petersburg / Wrangell","ADFG","Alaska","Wrangell-Petersburg, Alaska"
"YAC","Yachats","Yachats","ODFW","Oregon","Yachats, Oregon"
"CYB","Youngs Bay","Youngs Bay On Columbia River","ODFW","Oregon","Youngs Bay, Oregon"
"3Y","Yukon River","Yukon River","ADFG","Alaska","Yukon River, Alaska"
